station,distance,services_per_day,n_of_disruptions
AC,159,0,383
AH,117,0,156
AHP,116,0,160
AHPR,114,0,159
AHZ,125,0,413
AKL,182,0,472
AKM,125,0,84
ALM,129,0,45
ALMB,123,0,45
ALMM,130,0,176
ALMO,121,0,34
ALMP,127,0,50
AMF,114,0,34
AMFS,111,0,34
AML,33,0,17
AMPO,132,0,177
AMR,198,0,461
AMRI,35,0,87
AMRN,199,0,536
ANA,228,0,547
APD,87,0,153
APDM,88,0,188
APDO,84,0,153
APG,188,0,114
APN,170,0,284
ARN,311,0,900
ASA,156,0,179
ASB,156,0,179
ASD,159,0,176
ASDL,166,0,455
ASDM,155,0,293
ASDZ,158,0,176
ASHD,157,0,193
ASN,126,0,34
ASS,163,0,434
ASSP,154,0,293
ATN,145,0,167
AVAT,108,0,40
BD,222,0,541
BDE,261,0,615
BDG,162,0,275
BDM,169,0,103
BDPB,227,0,864
BET,201,0,571
BF,173,0,103
BGN,259,0,869
BHDV,193,0,492
BHV,126,0,278
BK,254,0,615
BKF,217,0,519
BKG,216,0,515
BKL,147,0,350
BL,110,0,39
BLL,181,0,471
BMN,95,0,153
BMR,161,0,448
BN,42,0,87
BNC,133,0,275
BNK,143,0,347
BNN,130,0,274
BNZ,135,0,291
BP,167,0,51
BR,196,0,477
BRD,202,0,517
BRN,123,0,274
BSD,168,0,471
BSK,176,0,365
BSKS,177,0,388
BSMZ,135,0,275
BTL,191,0,528
BV,188,0,494
BZL,291,0,900
CAS,186,0,458
CK,151,0,445
CL,153,0,375
CO,7,0,0
CPS,180,0,432
CVM,271,0,632
DA,22,0,16
DB,147,0,347
DDN,52,0,106
DDR,210,0,505
DDRS,207,0,503
DDZD,211,0,622
DEI,147,0,51
DID,134,0,165
DL,36,0,13
DLD,123,0,274
DLN,11,0,14
DMN,152,0,292
DMNZ,152,0,292
DN,224,0,529
DR,101,0,153
DRH,186,0,490
DRON,80,0,34
DRP,154,0,65
DT,204,0,447
DTC,145,0,185
DTCH,143,0,185
DTCP,204,0,502
DV,72,0,87
DVC,68,0,94
DVD,154,0,176
DVN,124,0,162
DVNK,188,0,382
DWE,160,0,51
DZ,192,0,132
DZW,191,0,132
EC,234,0,612
ED,134,0,413
EDC,136,0,435
EDN,276,0,616
EEM,199,0,131
EGH,270,0,631
EGHM,271,0,631
EHS,210,0,647
EHV,211,0,528
EKZ,220,0,527
EML,91,0,37
EMN,27,0,15
EMNZ,23,0,14
ES,55,0,106
ESE,61,0,135
ESK,51,0,106
EST,128,0,413
ETN,233,0,864
FN,160,0,51
FWD,157,0,51
GBR,64,0,135
GD,167,0,347
GDG,164,0,347
GDM,161,0,428
GDR,150,0,202
GERP,152,0,87
GK,173,0,102
GLN,250,0,614
