Station Code,Distance from GDG,Services from/to GDG,Disruptions on path to GDG
AC,44,36.483870967741936,34
AH,87,0.0,73
AHP,88,0.0,330
AHPR,90,0.0,330
AHZ,95,0.0,330
AKL,75,0.0,285
AKM,193,0.0,377
ALM,76,0.0,18
ALMB,82,0.0,149
ALMM,75,0.0,167
ALMO,84,0.0,149
ALMP,78,0.0,149
AMF,50,0.0,73
AMFS,53,0.0,313
AML,147,0.0,379
AMPO,73,0.0,167
AMR,98,2.838709677419355,286
AMRI,149,0.0,449
AMRN,99,0.0,361
ANA,128,0.0,372
APD,93,0.0,313
APDM,94,0.0,348
APDO,96,0.0,348
APG,256,0.0,407
APN,21,0.0,108
ARN,150,0.0,160
ASA,53,36.483870967741936,15
ASB,49,36.483870967741936,1
ASD,59,36.483870967741936,1
ASDL,66,0.0,259
ASDM,55,36.483870967741936,15
ASDZ,55,0.0,15
ASHD,48,36.483870967741936,161
ASN,194,0.0,327
ASS,63,36.193548387096776,259
ASSP,56,0.0,29
ATN,139,0.0,367
AVAT,56,0.0,319
BD,77,0.0,155
BDE,201,0.0,262
BDG,24,0.0,1
BDM,237,0.0,396
BDPB,72,0.0,277
BET,99,0.0,73
BF,241,0.0,396
BGN,98,0.0,276
BHDV,64,0.0,283
BHV,38,0.0,73
BK,194,0.0,263
BKF,117,0.0,344
BKG,116,0.0,340
BKL,32,36.483870967741936,1
BL,178,0.0,327
BLL,68,0.0,206
BMN,109,0.0,333
BMR,131,0.0,365
BN,156,0.0,449
BNC,69,0.0,314
BNK,37,0.0,73
BNN,66,0.0,313
BNZ,71,0.0,330
BP,235,0.0,330
BR,159,0.0,243
BRD,38,0.0,161
BRN,53,0.0,97
BSD,62,0.0,116
BSK,15,0.0,85
BSKS,14,0.0,85
BSMZ,52,0.0,74
BTL,89,0.0,146
BV,78,0.0,208
BZL,130,0.0,307
CAS,86,2.838709677419355,283
CK,121,0.0,362
CL,47,36.25806451612903,101
CO,171,0.0,347
CPS,16,38.516129032258064,85
CVM,186,0.0,118
DA,158,0.0,449
DB,41,0.0,73
DDN,151,0.0,363
DDR,47,0.0,155
DDRS,50,0.0,272
DDZD,48,0.0,272
DEI,215,0.0,330
DID,106,0.0,330
DL,128,0.0,327
DLD,41,0.0,93
DLN,175,0.0,361
DMN,58,0.0,29
DMNZ,53,0.0,18
DN,131,0.0,215
DR,103,0.0,330
DRH,73,0.0,207
DRON,125,0.0,163
DRP,222,0.0,344
DT,40,0.0,100
DTC,117,0.0,350
DTCH,115,0.0,350
DTCP,40,0.0,155
DV,108,0.0,313
DVC,112,0.0,348
DVD,51,36.483870967741936,15
DVN,96,0.0,332
DVNK,39,0.0,206
DWE,228,0.0,330
DZ,260,0.0,425
DZW,259,0.0,425
EC,174,0.0,260
ED,70,0.0,73
EDC,72,0.0,95
EDN,215,0.0,119
EEM,267,0.0,424
EGH,185,0.0,117
EGHM,186,0.0,117
EHS,108,0.0,149
EHV,109,0.0,149
EKZ,120,0.0,352
EML,73,0.0,313
EMN,191,0.0,362
EMNZ,187,0.0,361
ES,164,0.0,415
ESK,160,0.0,415
EST,98,0.0,330
ETN,88,0.0,478
FN,228,0.0,330
FWD,225,0.0,330
GBG,164,0.0,347
GD,3,81.93548387096774,0
GDG,0,0.0,0
GDM,55,36.25806451612903,73
GDR,122,0.0,367
GERP,220,0.0,380
GK,241,0.0,395
GLN,190,0.0,262
GN,222,0.0,380
GND,61,0.0,273
GNN,226,0.0,395
GO,141,0.0,355
GP,115,0.0,211
GR,70,0.0,283
GS,135,0.0,160
GV,32,0.0,85
GVC,31,42.354838709677416,85
GVM,35,0.0,114
GVMW,33,0.0,100
GW,198,0.0,384
GZ,87,0.0,478
HAD,61,0.0,206
HB,184,0.0,117
HBZM,58,0.0,273
HD,77,0.0,316
HDB,158,0.0,334
HDE,98,0.0,313
HDG,221,0.0,330
HDR,140,0.0,381
HDRZ,139,0.0,381
HFD,60,0.0,206
HGL,156,0.0,396
HGLG,154,0.0,396
HGLO,158,0.0,415
HGV,164,0.0,327
HGZ,233,0.0,403
HIL,54,0.0,206
HK,81,0.0,226
HKS,112,0.0,336
HLG,237,0.0,331
HLGH,238,0.0,335
HLM,65,0.0,206
HLMS,66,0.0,206
HLO,93,2.838709677419355,286
HM,122,0.0,211
HMBH,123,0.0,215
