station,distance,services_per_day,n_of_disruptions
AC,50,0,190
AH,56,0,17
AHP,57,0,274
AHPR,59,0,276
AHZ,48,0,17
AKL,21,32.193548387096776,1
AKM,190,0,458
ALM,75,0,167
ALMB,81,0,298
ALMM,74,0,166
ALMO,83,0,298
ALMP,77,0,298
AMF,47,0,154
AMFS,50,0,394
AML,140,0,343
AMPO,72,0,166
AMR,104,0.12903225806451613,439
AMRI,142,0,413
AMRN,105,0,514
ANA,134,0,525
APD,90,0,394
APDM,91,0,429
APDO,93,0,429
APG,253,0,488
APN,61,0,164
ARN,152,0,187
ASA,59,0.12903225806451613,154
ASB,55,0,154
ASD,65,0.12903225806451613,154
ASDL,72,0,433
ASDM,61,0,191
ASDZ,61,0,157
ASHD,56,0,168
ASN,191,0,408
ASS,69,0.12903225806451613,412
ASSP,62,0,205
ATN,108,0,311
AVAT,53,0,400
BD,65,0,86
BDE,146,0,187
BDG,53,0,155
BDM,234,0,477
BDPB,70,0,409
BET,44,0,116
BF,238,0,477
BGN,100,0,156
BHDV,32,32.12903225806452,21
BHV,35,0,154
BK,139,0,187
BKF,123,0,497
BKG,122,0,493
BKL,38,0,157
BL,175,0,413
BLL,87,0,449
BMN,78,0,277
BMR,78,0,52
BN,135,0,344
BNC,66,0,395
BNK,32,0,81
BNN,63,0,394
BNZ,68,0,411
BP,232,0,425
BR,104,0.03225806451612903,167
BRD,58,0,151
BRN,50,0,178
BSD,7,32.225806451612904,0
BSK,67,0,245
BSKS,68,0,268
BSMZ,49,0,155
BTL,34,0,73
BV,94,0,472
BZL,132,0,187
CAS,92,0.12903225806451613,436
CK,68,0,49
CL,8,74.25806451612904,0
CO,168,0,428
CPS,71,0,239
CVM,156,0,204
DA,151,0,413
DB,36,0,125
DDN,125,0,292
DDR,49,32.193548387096776,34
DDRS,46,32.12903225806452,32
DDZD,50,0,151
DEI,212,0,425
DID,75,0,274
DL,125,0,408
DLD,38,0,174
DLN,172,0,442
DMN,64,0,205
DMNZ,59,0,157
DN,76,0.03225806451612903,139
DR,72,0,274
DRH,92,0,468
DRON,124,0,312
DRP,219,0,439
DT,83,0,221
DTC,86,0,294
DTCH,84,0,294
DTCP,82,0,221
DV,101,0,277
DVC,105,0,343
DVD,57,0,154
DVN,65,0,276
DVNK,79,0,262
DWE,225,0,425
DZ,257,0,506
DZW,256,0,506
EC,119,0,184
ED,65,0,157
EDC,67,0,179
EDN,161,0,188
EEM,264,0,505
EGH,155,0,203
EGHM,156,0,203
EHS,53,0,192
EHV,54,0.12903225806451613,73
EKZ,126,0,505
EML,70,0,397
EMN,188,0,443
EMNZ,184,0,442
ES,138,0,344
ESE,144,0,373
ESK,134,0,344
EST,45,0,3
ETN,76,0,409
FN,225,0,425
FWD,222,0,425
GBG,161,0,428
GBR,147,0,373
GD,58,35.483870967741936,154
GDG,55,35.483870967741936,154
GDR,91,0,311
GERP,217,0,461
GK,238,0,476
GLN,135,0,186
GN,219,0,461
GND,35,32.193548387096776,21
GNN,223,0,476
GO,115,0,284
GP,60,0,135
GR,26,32.193548387096776,19
GS,137,0,187
GV,87,0,239
GVC,86,34.41935483870968,239
GVM,87,0,347
GVMW,88,0,254
GW,195,0,465
GZ,55,0,88
HAD,88,0,449
HB,146,0,217
HBZM,38,32.12903225806452,31
HD,74,0,397
HDB,155,0,415
HDE,95,0,394
HDG,218,0,425
HDR,146,0,534
HDRZ,145,0,534
HFD,77,0,218
HGL,130,0,325
HGLG,128,0,325
HGLO,132,0,344
HGV,161,0,408
HGZ,230,0,484
HIL,94,0,262
HK,91,0,472
HKS,118,0,489
HLG,234,0,426
HLGH,235,0,430
HLM,84,0,412
HLMS,83,0,433
HLO,99,0,439
HM,67,0.03225806451612903,135
HMBH,68,0,139
HMBV,64,0,135
HMH,66,0,135
HMN,31,0,3
HN,108,0,433
HNK,109,0,489
HNO,125,0,408
HNP,250,0,428
HON,120,0,343
HOR,38,0,154
HR,179,0,408
HRL,150,0,186
HRLW,152,0,203
HRN,213,0,461
HRT,94,0.03225806451612903,167
[HRY,inf,0,0
HT,22,37.096774193548384,0
HTN,18,74.25806451612904,53
HTNC,17,74.25806451612904,53
HTO,23,0,73
HVL,53,0,394
HVS,44,0,154
HVSM,45,0,155
HVSP,43,0,154
HWD,111,0,515
HWZB,76,0,433
HZE,65,0,141
IJT,233,0,426
KBD,119,0,187
KBK,94,0,277
KLP,58,0,157
KMA,83,0,446
KMR,158,0,203
KMW,255,0,433
KPN,128,0,408
KPNZ,128,0,408
KRD,158,0,214
KRG,126,0,187
KTR,24,0,0
KW,227,0,482
KZ,77,0,436
LAA,87,0,268
LC,102,0,277
LDL,75,0,245
LDM,14,32.225806451612904,1
LEDN,76,0,252
LEER,288,0,500
LG,153,0,203
LLS,99,0,298
LLZM,71,34.41935483870968,239
LP,245,0,488
LTN,73,0,180
LTV,120,0,279
LUT,135,0,186
LW,208,0,408
LWC,211,0,425
MAS,33,0,154
MDB,156,0,187
MES,158,0,188
MG,218,0,425
MMLH,63,0,38
MP,141,0,408
MRB,147,0,415
MRN,44,0,157
MT,152,0.0967741935483871,186
MTH,228,0,484
MTN,155,0,188
MTR,153,0,188
MZ,75,0,146
[NEA,inf,0,0
NDB,50,0,155
NH,143,0,217
NKK,58,0,394
NM,53,0,17
NMD,58,0,38
NMGO,56,0,38
NMH,56,0,38
NML,52,0,17
NS,86,0,394
NSCH,263,0,491
NVD,143,0,350
NVP,82,0,346
NWK,67,0,239
O,41,0,73
OBD,117,0,525
ODB,80,0,156
ODZ,141,0,344
OMN,136,0,415
OP,28,0,3
OST,111,0,343
OT,43,0,116
OTB,60,0,274
OVN,86,0,449
OW,40,0,76
PMO,90,0,434
PMR,89,0,433
PMW,88,0,436
PT,65,0,397
RAI,60,0,157
RAT,131,0,408
RB,116,0,187
RD,257,0,492
RH,66,0,277
RHN,67,0,160
RL,107,0,279
RLB,62,0,250
RM,106,0.0967741935483871,135
RS,29,0,76
RSD,87,0,151
RSN,127,0,343
RSW,88,0,322
RTA,72,0,239
RTB,68,0,151
RTD,69,0,151
RTN,74,0,221
RTST,64,0,256
RTZ,65,0,256
RV,117,0,184
RVS,49,0,94
SBK,138,0,216
SD,46,0,178
SDA,246,0,482
SDM,73,0,221
SDT,39,32.193548387096776,31
SDTB,42,32.193548387096776,32
SGL,162,0,202
SGN,125,0,525
SHL,72,0,168
SK,230,0,425
SKND,229,0,425
SM,111,0,184
SN,140,0,217
SOG,160,0,203
SPTN,91,0,467
SPTZ,89,0,467
SRN,124,0,213
SSH,84,0,262
ST,45,0,178
STD,131,0.0967741935483871,184
STM,241,0,488
STV,259,0,433
STZ,44,0,178
SWD,230,0,476
SWK,155,0,458
TB,44,0,73
TBG,92,0,311
TBR,49,0,86
TBU,45,0,86
TG,111,0,220
TL,12,37.25806451612903,0
TPSW,10,37.25806451612903,0
TWL,100,0,429
UHM,254,0,492
UHZ,251,0,492
UST,246,0,491
UT,26,74.41935483870968,81
UTG,88,0,471
UTLN,22,74.25806451612904,81
UTLR,29,35.483870967741936,154
UTM,34,0,154
UTO,29,0,154
UTT,31,35.483870967741936,154
UTVR,25,74.25806451612904,81
UTZL,28,0,154
VB,83,34.41935483870968,239
VD,97,0,277
VDL,154,0,203
VDM,246,0,489
VEM,89,0,277
VG,26,0,73
VH,84,0,262
VHP,153,0,418
VK,163,0,203
VL,106,0.03225806451612903,219
VLB,85,0,80
VNDC,59,0,159
VNDW,58,0,159
VP,62,0,277
VRY,92,0,81
VS,162,0,189
VSS,161,0,189
VST,81,0,347
VSV,99,0,311
VTN,33,35.483870967741936,159
VZ,146,0,413
WAD,66,0,239
WADN,67,0,239
WADT,65,0,239
WC,56,0,97
WD,42,35.483870967741936,154
WDN,135,0,350
WF,64,0,274
WFM,243,0,491
WH,118,0,353
WK,246,0,428
WL,81,0,294
WM,81,0,436
WP,59,0,166
WR,273,0,500
WS,251,0,491
WSM,235,0,477
WT,82,0.0967741935483871,135
WTV,61,0,276
WV,168,0,408
WW,120,0,330
WWW,121,0,330
WZ,104,0,407
YPB,79,34.41935483870968,239
ZA,34,0,3
ZB,238,0,485
ZBM,9,37.03225806451613,0
ZD,75,0.12903225806451613,433
ZDK,78,0,436
ZH,231,0,476
ZL,113,0,394
ZLSH,118,0,408
ZLW,64,0,151
ZP,85,0,277
ZTM,74,26.451612903225808,239
ZTMO,73,34.41935483870968,239
ZV,70,0,274
ZVB,72,0,156
ZVT,92,0,450
ZWD,51,0,151
ZZS,78,0,436
