Station Code,distance_GERP,services_per_day_GERP,n_of_disruptions_GERP
AC,215,0,416
AH,180,0,146
AHP,179,0,150
AHPR,177,0,149
AHZ,188,0,403
AKL,238,0,505
AKM,74,0,57
ALM,185,2.225806451612903,78
ALMB,179,0,78
ALMM,186,0,209
ALMO,177,0.03225806451612903,67
ALMP,183,0,83
AMF,170,1.032258064516129,67
AMFS,167,0.03225806451612903,67
AML,149,0,79
AMPO,188,0,210
AMR,254,0,494
AMRI,151,0,149
AMRN,255,0,569
ANA,284,0,580
APD,150,0,67
APDM,151,0,102
APDO,147,0,143
APG,36,0,27
APN,226,0,317
ARN,369,0,691
ASA,212,0,212
ASB,212,0,212
ASD,215,0.12903225806451613,209
ASDL,222,0,488
ASDM,211,0,326
ASDZ,214,2.096774193548387,209
ASHD,213,0,226
ASN,26,36.096774193548384,0
ASS,219,0,467
ASSP,210,0,326
ATN,208,0,157
AVAT,164,0.03225806451612903,73
BD,282,0,466
BDE,324,0,605
BDG,218,0,308
BDM,17,0,16
BDPB,287,0,789
BET,261,0,496
BF,21,0,16
BGN,317,0,660
BHDV,249,0,525
BHV,182,0,311
BK,317,0,605
BKF,273,0,552
BKG,272,0,548
BKL,203,0,383
BL,42,35.354838709677416,53
BLL,237,0,504
BMN,158,0,143
BMR,224,0,438
BN,158,0,149
BNC,189,0,308
BNK,199,0,380
BNN,186,0,307
BNZ,191,0,324
BP,32,0,15
BR,259,0,467
BRD,258,0,550
BRN,179,0,307
BSD,224,0,504
BSK,232,0,398
BSKS,233,0,421
BSMZ,191,0,308
BTL,251,0,453
BV,244,0,527
BZL,349,0,691
CAS,242,0,491
CK,214,0,435
CL,209,0,408
CO,159,0,87
CPS,236,0,465
CVM,334,0,622
DA,146,0,77
DB,203,0,380
DDN,168,0,168
DDR,266,0,538
DDRS,263,0,536
DDZD,267,0,655
DEI,60,0,55
DID,197,0,155
DL,116,0,67
DLD,179,0,307
DLN,163,0,101
DMN,208,0,325
DMNZ,208,0,325
DN,287,0,519
DR,164,0,143
DRH,242,0,523
DRON,136,0,67
DRP,67,0,69
DT,260,0,480
DTC,208,0,175
DTCH,206,0,175
DTCP,260,0,535
DV,135,0,77
DVC,139,0,143
DVD,210,0,209
DVN,187,0,152
DVNK,244,0,415
DWE,39,0,38
DZ,40,0,45
DZW,39,0,45
EC,297,0,602
ED,197,0,403
EDC,199,0,425
EDN,339,0,606
EEM,47,0,44
EGH,333,0,621
EGHM,334,0,621
EHS,270,0,572
EHV,271,0,453
EKZ,276,0,560
EML,147,0.03225806451612903,70
EMN,179,0,102
EMNZ,175,0,101
ES,171,0,168
ESK,167,0,168
EST,191,0,403
ETN,293,0,789
FN,73,0,55
FWD,42,0,38
GBG,152,0,87
GD,223,1.0,380
GDG,220,0,308
GDM,217,0,461
GDR,213,0,192
GERP,0,0,0
GK,21,0,15
GLN,313,0,604
GN,2,108.87096774193549,0
GND,252,0,525
GNN,6,0,15
GO,178,0,201
GP,277,0,515
GR,243,0,523
