Station Code,distance_GK,services_per_day_GK,n_of_disruptions_GK
AC,236,0,431
AH,201,0,161
AHP,200,0,165
AHPR,198,0,164
AHZ,209,0,418
AKL,259,0,520
AKM,53,0,42
ALM,206,0,93
ALMB,200,0,93
ALMM,207,0,224
ALMO,198,0,82
ALMP,204,0,98
AMF,191,0,82
AMFS,188,0,82
AML,170,0,94
AMPO,209,0,225
AMR,275,0,509
AMRI,172,0,164
AMRN,276,0,584
ANA,305,0,595
APD,171,0,82
APDM,172,0,117
APDO,168,0,158
APG,53,0,27
APN,247,0,332
ARN,390,0,706
ASA,233,0,227
ASB,233,0,227
ASD,236,0,224
ASDL,243,0,503
ASDM,232,0,341
ASDZ,235,0,224
ASHD,234,0,241
ASN,47,0,15
ASS,240,0,482
ASSP,231,0,341
ATN,229,0,172
AVAT,185,0,88
BD,303,0,481
BDE,345,0,620
BDG,239,0,323
BDM,34,0,16
BDPB,308,0,804
BET,282,0,511
BF,38,0,16
BGN,338,0,675
BHDV,270,0,540
BHV,203,0,326
BK,338,0,620
BKF,294,0,567
BKG,293,0,563
BKL,224,0,398
BL,63,0,68
BLL,258,0,519
BMN,179,0,158
BMR,245,0,453
BN,179,0,164
BNC,210,0,323
BNK,220,0,395
BNN,207,0,322
BNZ,212,0,339
BP,11,31.451612903225808,0
BR,280,0,482
BRD,279,0,565
BRN,200,0,322
BSD,245,0,519
BSK,253,0,413
BSKS,254,0,436
BSMZ,212,0,323
BTL,272,0,468
BV,265,0,542
BZL,370,0,706
CAS,263,0,506
CK,235,0,450
CL,230,0,423
CO,180,0,102
CPS,257,0,480
CVM,355,0,637
DA,167,0,92
DB,224,0,395
DDN,189,0,183
DDR,287,0,553
DDRS,284,0,551
DDZD,288,0,670
DEI,39,0,40
DID,218,0,170
DL,137,0,82
DLD,200,0,322
DLN,184,0,116
DMN,229,0,340
DMNZ,229,0,340
DN,308,0,534
DR,185,0,158
DRH,263,0,538
DRON,157,0,82
DRP,46,0,54
DT,281,0,495
DTC,229,0,190
DTCH,227,0,190
DTCP,281,0,550
DV,156,0,92
