station,distance,services_per_day,n_of_disruptions
AC,221,0,431
AH,186,0,161
AHP,185,0,165
AHPR,183,0,164
AHZ,194,0,418
AKL,244,0,520
AKM,76,0,57
ALM,191,0,93
ALMB,185,0,93
ALMM,192,0,224
ALMO,183,0,82
ALMP,189,0,98
AMF,176,0,82
AMFS,173,0,82
AML,155,0,94
AMPO,194,0,225
AMR,260,0,509
AMRI,157,0,164
AMRN,261,0,584
ANA,290,0,595
APD,156,0,82
APDM,157,0,117
APDO,153,0,158
APG,30,31.096774193548388,12
APN,232,0,332
ARN,375,0,706
ASA,218,0,227
ASB,218,0,227
ASD,221,0,224
ASDL,228,0,503
ASDM,217,0,341
ASDZ,220,0,224
ASHD,219,0,241
ASN,32,0,15
ASS,225,0,482
ASSP,216,0,341
ATN,214,0,172
AVAT,170,0,88
BD,288,0,481
BDE,330,0,620
BDG,224,0,323
BDM,11,31.096774193548388,1
BDPB,293,0,804
BET,267,0,511
BF,15,33.935483870967744,1
BGN,323,0,675
BHDV,255,0,540
BHV,188,0,326
BK,323,0,620
BKF,279,0,567
BKG,278,0,563
BKL,209,0,398
BL,48,0,68
BLL,243,0,519
BMN,164,0,158
BMR,230,0,453
BN,164,0,164
BNC,195,0,323
BNK,205,0,395
BNN,192,0,322
BNZ,197,0,339
BP,34,0,15
BR,265,0,482
BRD,264,0,565
BRN,185,0,322
BSD,230,0,519
BSK,238,0,413
BSKS,239,0,436
BSMZ,197,0,323
BTL,257,0,468
BV,250,0,542
BZL,355,0,706
CAS,248,0,506
CK,220,0,450
CL,215,0,423
CO,165,0,102
CPS,242,0,480
CVM,340,0,637
DA,152,0,92
DB,209,0,395
DDN,174,0,183
DDR,272,0,553
DDRS,269,0,551
DDZD,273,0,670
DEI,62,0,55
DID,203,0,170
DL,122,0,82
DLD,185,0,322
DLN,169,0,116
DMN,214,0,340
DMNZ,214,0,340
DN,293,0,534
DR,170,0,158
DRH,248,0,538
DRON,142,0,82
DRP,69,0,69
DT,266,0.12903225806451613,495
DTC,214,0,190
DTCH,212,0,190
DTCP,266,0,550
DV,141,0,92
DVC,145,0,158
DVD,216,0,224
DVN,193,0,167
DVNK,250,0,430
DWE,41,0,38
DZ,34,31.096774193548388,30
DZW,33,31.096774193548388,30
EC,303,0,617
ED,203,0,418
EDC,205,0,440
EDN,345,0,621
EEM,41,4.709677419354839,29
EGH,339,0,636
EGHM,340,0,636
EHS,276,0,587
EHV,277,0,468
EKZ,282,0,575
EML,153,0,85
EMN,185,0,117
EMNZ,181,0,116
ES,177,0,183
ESE,183,0,212
ESK,173,0,183
EST,197,0,418
