Station Code,Distance from GR,Services from/to GR,Disruptions on path to GR
AC,76,0.0,252
AH,82,0.0,79
AHP,83,0.0,336
AHPR,85,0.0,338
AHZ,74,0.0,79
AKL,5,32.225806451612904,0
AKM,216,0.0,520
ALM,101,0.0,229
ALMB,107,0.0,360
ALMM,100,0.0,228
ALMO,109,0.0,360
ALMP,103,0.0,360
AMF,73,0.0,216
AMFS,76,0.0,456
AML,166,0.0,405
AMPO,98,0.0,228
AMR,130,0.0,501
AMRI,168,0.0,475
AMRN,131,0.0,576
ANA,160,0.0,587
APD,116,0.0,456
APDM,117,0.0,491
APDO,119,0.0,491
APG,279,0.0,550
APN,85,0.0,308
ARN,126,0.0,166
ASA,85,0.0,216
ASB,81,0.0,216
ASD,91,0.0,216
ASDL,98,0.0,495
ASDM,87,0.0,253
ASDZ,87,0.0,219
ASHD,82,0.0,230
ASN,217,0.0,470
ASS,95,0.0,474
ASSP,88,0.0,267
ATN,134,0.0,373
AVAT,79,0.0,462
BD,53,0.0,130
BDE,172,0.0,249
BDG,79,0.0,217
BDM,260,0.0,539
BDPB,48,0.0,135
BET,70,0.0,178
BF,264,0.0,539
BGN,74,0.0,135
BHDV,6,56.2258064516129,0
BHV,61,0.0,216
BK,165,0.0,249
BKF,149,0.0,559
BKG,148,0.0,555
BKL,64,0.0,219
BL,201,0.0,475
BLL,113,0.0,403
BMN,104,0.0,339
BMR,104,0.0,114
BN,161,0.0,406
BNC,92,0.0,457
BNK,58,0.0,143
BNN,89,0.0,456
BNZ,94,0.0,473
BP,258,0.0,487
BR,130,0.0,229
BRD,32,0.0,130
BRN,76,0.0,240
BSD,19,32.225806451612904,18
BSK,79,0.0,285
BSKS,78,0.0,285
BSMZ,75,0.0,217
BTL,60,0.0,135
BV,120,0.0,534
BZL,106,0.0,166
CAS,118,0.0,498
CK,94,0.0,111
CL,34,0.0,62
CO,194,0.0,490
CPS,54,0.0,202
CVM,182,0.0,266
DA,177,0.0,475
DB,62,0.0,187
DDN,151,0.0,354
DDR,23,56.32258064516129,13
DDRS,20,56.25806451612903,11
DDZD,24,0.0,130
DEI,238,0.0,487
DID,101,0.0,336
DL,151,0.0,470
DLD,64,0.0,236
DLN,198,0.0,504
DMN,90,0.0,267
DMNZ,85,0.0,219
DN,102,0.0,201
DR,98,0.0,336
DRH,118,0.0,422
DRON,150,0.0,374
DRP,245,0.0,501
DT,57,0.0,200
DTC,112,0.0,356
DTCH,110,0.0,356
DTCP,56,0.0,200
DV,127,0.0,339
DVC,131,0.0,405
DVD,83,0.0,216
DVN,91,0.0,338
DVNK,78,0.0,319
DWE,251,0.0,487
DZ,283,0.0,568
DZW,282,0.0,568
EC,145,0.0,246
ED,91,0.0,219
EDC,93,0.0,241
EDN,187,0.0,250
EEM,290,0.0,567
EGH,181,0.0,265
EGHM,182,0.0,265
EHS,79,0.0,254
EHV,80,0.0,135
EKZ,152,0.0,567
EML,96,0.0,459
EMN,214,0.0,505
EMNZ,210,0.0,504
ES,164,0.0,406
ESK,160,0.0,406
EST,71,0.0,65
ETN,64,0.0,453
FN,251,0.0,487
FWD,248,0.0,487
GBG,187,0.0,490
GD,67,0.0,200
GDG,70,0.0,285
GDM,26,32.225806451612904,19
GDR,117,0.0,373
GERP,243,0.0,523
GK,264,0.0,538
GLN,161,0.0,248
GN,245,0.0,523
GND,9,56.32258064516129,0
GNN,249,0.0,538
GO,141,0.0,346
GP,86,0.0,197
GR,0,0.0,0
GS,111,0.0,166
GV,65,0.0,301
GVC,66,0.0,316
GVM,70,0.0,316
GVMW,64,0.0,301
GW,221,0.0,527
GZ,63,0.0,453
HAD,106,0.0,326
HB,172,0.0,279
HBZM,12,32.12903225806452,10
HD,100,0.0,459
HDB,181,0.0,477
HDE,121,0.0,456
HDG,244,0.0,487
HDR,172,0.0,596
HDRZ,171,0.0,596
HFD,103,0.0,280
HGL,156,0.0,387
HGLG,154,0.0,387
HGLO,158,0.0,406
HGV,187,0.0,470
HGZ,256,0.0,546
HIL,99,0.0,326
HK,117,0.0,534
HKS,144,0.0,551
HLG,260,0.0,488
HLGH,261,0.0,492
HLM,110,0.0,474
HLMS,109,0.0,495
HLO,125,0.0,501
HM,93,0.0,197
HMBH,94,0.0,201
HMBV,90,0.0,197
HMH,92,0.0,197
HMN,57,0.0,65
HN,134,0.0,495
HNK,135,0.0,551
HNO,151,0.0,470
HNP,276,0.0,490
HON,146,0.0,405
HOR,64,0.0,216
HR,205,0.0,470
HRL,176,0.0,248
HRLW,178,0.0,265
HRN,239,0.0,523
HRT,120,0.0,229
HT,48,0.0,62
HTN,44,0.0,115
HTNC,43,0.0,115
HTO,49,0.0,135
HVL,79,0.0,456
HVS,70,0.0,216
HVSM,71,0.0,217
HVSP,69,0.0,216
HWD,137,0.0,577
HWZB,102,0.0,495
HZE,91,0.0,203
IJT,259,0.0,488
KBD,93,0.0,166
KBK,120,0.0,339
KLP,84,0.0,219
KMA,109,0.0,508
KMR,184,0.0,265
KMW,281,0.0,495
KPN,154,0.0,470
KPNZ,154,0.0,470
KRD,184,0.0,276
KRG,100,0.0,166
KTR,50,0.0,62
KW,253,0.0,544
KZ,103,0.0,498
LAA,67,0.0,316
LC,128,0.0,339
LDL,82,0.0,326
LDM,12,32.225806451612904,18
LEDN,81,0.0,316
LG,179,0.0,265
LLS,125,0.0,360
LLZM,80,0.0,285
LP,271,0.0,550
LTN,99,0.0,242
LTV,146,0.0,341
LUT,161,0.0,248
