station,distance,services_per_day,n_of_disruptions
AC,179,0,233
AH,179,0,487
AHP,180,0,744
AHPR,182,0,746
AHZ,171,0,501
AKL,116,0,168
AKM,327,0,688
ALM,212,0,397
ALMB,218,0,528
ALMM,211,0,396
ALMO,220,0,528
ALMP,214,0,528
AMF,184,0,384
AMFS,187,0,624
AML,263,0,813
AMPO,209,0,396
AMR,210,0,351
AMRI,265,0,883
AMRN,211,0,426
ANA,240,0,437
APD,226,0,747
APDM,225,0,748
APDO,229,0,782
APG,390,0,718
APN,150,0,214
ARN,15,0,0
ASA,192,0,233
ASB,192,0,156
ASD,194,0,156
ASDL,187,0,156
ASDM,194,0,270
ASDZ,186,0,156
ASHD,193,0,170
ASN,328,0,638
ASS,190,0,156
ASSP,195,0,284
ATN,231,0,781
AVAT,190,0,630
BD,74,0,36
BDE,224,0,473
BDG,158,0,295
BDM,371,0,707
BDPB,79,0,359
BET,122,0,415
BF,375,0,707
BGN,37,0,0
BHDV,105,0,166
BHV,172,0,384
BK,217,0,473
BKF,244,0,241
BKG,243,0,237
BKL,167,0,200
BL,312,0,643
BLL,178,0,309
BMN,201,0,747
BMR,185,0,501
BN,258,0,814
BNC,203,0,625
BNK,169,0,311
BNN,200,0,624
BNZ,205,0,641
BP,369,0,655
BR,182,0,453
BRD,97,0,153
BRN,187,0,408
BSD,130,0,186
BSK,144,0,191
BSKS,143,0,191
BSMZ,186,0,385
BTL,112,0,372
BV,188,0,329
BZL,5,0,0
CAS,198,0,348
CK,175,0,498
CL,145,0,230
CO,303,0,900
CPS,119,0,108
CVM,234,0,490
DA,274,0,883
DB,173,0,355
DDN,248,0,762
DDR,88,0,36
DDRS,91,0,153
DDZD,87,0,41
DEI,349,0,655
DID,198,0,744
DL,262,0,638
DLD,175,0,404
DLN,307,0,914
DMN,197,0,284
DMNZ,192,0,233
DN,154,0,425
DR,195,0,744
DRH,183,0,328
DRON,261,0,542
DRP,356,0,669
DT,122,0,106
DTC,209,0,764
DTCH,207,0,764
DTCP,121,0,106
DV,224,0,747
DVC,228,0,813
DVD,190,0,230
DVN,188,0,746
DVNK,143,0,225
DWE,362,0,655
DZ,394,0,736
DZW,393,0,736
EC,197,0,470
ED,196,0,744
EDC,198,0,766
EDN,239,0,474
EEM,401,0,735
EGH,233,0,489
EGHM,234,0,489
EHS,131,0,491
EHV,132,0,359
EKZ,247,0,249
EML,207,0,627
EMN,323,0,915
EMNZ,319,0,914
ES,261,0,814
ESE,267,0,843
ESK,257,0,814
EST,168,0,487
ETN,63,0,36
FN,362,0,655
FWD,359,0,655
GBG,296,0,900
GBR,270,0,843
GD,132,0,106
GDG,135,0,191
GDM,137,0,187
GDR,214,0,781
GERP,354,0,691
GK,375,0,706
GLN,213,0,472
GN,356,0,691
GND,102,0,156
GNN,360,0,706
GO,238,0,754
GP,138,0,421
GR,111,0,166
GV,130,0,207
GVC,131,0,222
GVM,135,0,222
GVMW,129,0,207
GW,332,0,695
GZ,84,0,359
HAD,171,0,232
HB,224,0,503
HBZM,99,0,156
HD,211,0,627
HDB,290,0,887
HDE,232,0,624
HDG,355,0,655
HDR,252,0,446
HDRZ,251,0,446
HFD,170,0,222
HGL,253,0,795
HGLG,251,0,795
HGLO,255,0,814
HGV,298,0,638
HGZ,367,0,714
HIL,164,0,232
HK,191,0,347
HKS,239,0,233
HLG,371,0,656
HLGH,372,0,660
HLM,175,0,272
HLMS,176,0,309
HLO,205,0,351
HM,145,0,421
HMBH,146,0,425
HMBV,142,0,421
HMH,144,0,421
HMN,168,0,233
HN,229,0,177
HNK,230,0,233
HNO,262,0,638
HNP,387,0,658
HON,243,0,813
HOR,175,0,384
HR,316,0,638
HRL,228,0,472
HRLW,230,0,489
HRN,350,0,691
HRT,172,0,453
[HRY,inf,0,0
HT,117,0,372
HTN,155,0,283
HTNC,154,0,283
HTO,118,0,445
HVL,190,0,624
HVS,181,0,384
HVSM,182,0,385
HVSP,180,0,384
HWD,217,0,427
HWZB,183,0,309
HZE,143,0,427
IJT,370,0,656
KBD,18,0,0
KBK,217,0,747
KLP,195,0,387
KMA,199,0,348
KMR,236,0,489
KMW,392,0,663
KPN,265,0,638
KPNZ,265,0,638
KRD,236,0,500
KRG,11,0,0
KTR,161,0,230
KW,364,0,712
KZ,198,0,180
LAA,132,0,222
LC,225,0,747
LDL,147,0,232
LDM,123,0,186
LEDN,146,0,222
LEER,425,0,730
LG,231,0,489
LLS,236,0,528
LLZM,145,0,191
LP,382,0,718
LTN,204,0,767
LTV,243,0,749
LUT,213,0,472
LW,345,0,638
LWC,348,0,655
MAS,170,0,384
MDB,19,0,0
MES,236,0,474
MG,355,0,655
MMLH,170,0,487
MP,278,0,638
MRB,282,0,884
MRN,181,0,387
MT,230,0,472
MTH,365,0,714
MTN,233,0,474
MTR,231,0,474
MZ,153,0,432
[NEA,inf,0,0
NDB,187,0,385
NH,221,0,503
NKK,195,0,624
NM,160,0,466
NMD,155,0,469
NMGO,157,0,470
NMH,163,0,487
NML,161,0,487
NS,223,0,624
NSCH,400,0,721
NVD,266,0,820
NVP,165,0,232
NWK,123,0,164
O,136,0,445
OBD,223,0,437
ODB,57,0,36
ODZ,264,0,814
OMN,273,0,645
OP,165,0,233
OST,234,0,813
OT,103,0,372
OTB,183,0,744
OVN,177,0,309
OW,135,0,448
PMO,211,0,178
PMR,210,0,177
PMW,209,0,180
PT,202,0,627
RAI,187,0,230
RAT,268,0,638
RB,21,0,0
RD,394,0,722
RH,189,0,747
RHN,204,0,390
RL,230,0,749
RLB,101,0,252
RM,184,0,421
RS,124,0,448
RSD,50,0,31
RSN,250,0,813
RSW,127,0,207
RTA,118,0,106
RTB,107,0,153
RTD,108,0,36
RTN,113,0,106
RTST,103,0,258
RTZ,104,0,258
RV,195,0,470
RVS,144,0,466
SBK,216,0,502
SD,183,0,408
SDA,383,0,712
SDM,112,0,106
SDT,98,0,155
SDTB,95,0,155
SGL,240,0,488
SGN,231,0,437
SHL,175,0,106
SK,367,0,655
SKND,366,0,655
SM,189,0,470
SN,218,0,503
SOG,238,0,489
SPTN,182,0,327
SPTZ,180,0,327
SRN,202,0,499
SSH,154,0,232
ST,182,0,408
STD,209,0,470
STM,378,0,718
STV,396,0,663
STZ,181,0,408
SWD,367,0,706
SWK,292,0,688
TB,95,0,359
TBG,215,0,781
TBR,90,0,378
TBU,94,0,380
TG,189,0,506
TL,149,0,230
TPSW,147,0,230
TWL,229,0,813
UHM,391,0,722
UHZ,388,0,722
UST,383,0,721
UT,163,0,311
UTG,194,0,347
UTLN,159,0,311
UTLR,161,0,214
UTM,171,0,384
UTO,166,0,384
UTT,159,0,209
UTVR,162,0,311
UTZL,165,0,384
VB,134,0,251
VD,220,0,747
VDL,232,0,489
VDM,383,0,719
VEM,212,0,747
VG,120,0,415
VH,154,0,232
VHP,276,0,884
VK,241,0,489
VL,184,0,505
VLB,192,0,529
VNDC,196,0,389
VNDW,195,0,389
VP,185,0,747
