Station Code,distance_GV,services_per_day_GV,n_of_disruptions_GV
AC,67,0,74
AH,119,0.3870967741935484,158
AHP,120,0,415
AHPR,122,0,417
AHZ,127,0,415
AKL,70,0,303
AKM,225,0,462
ALM,85,6.903225806451613,134
ALMB,91,6.903225806451613,265
ALMM,84,0.0967741935483871,152
ALMO,93,0.12903225806451613,265
ALMP,87,0.0967741935483871,265
AMF,82,0,158
AMFS,85,0,398
AML,179,0,464
AMPO,82,0.0967741935483871,152
AMR,80,0,129
AMRI,181,0,534
AMRN,81,0,204
ANA,110,0,215
APD,125,0,398
APDM,126,0,433
APDO,128,0,433
APG,288,0,492
APN,31,0,17
ARN,145,19.70967741935484,207
ASA,62,0,137
ASB,62,2.3225806451612905,60
ASD,64,36.12903225806452,10
ASDL,57,0.0967741935483871,60
ASDM,64,0.0967741935483871,174
ASDZ,56,8.580645161290322,60
ASHD,63,0,74
ASN,226,0,412
ASS,60,30.258064516129032,60
ASSP,65,0.0967741935483871,188
ATN,171,0,452
AVAT,88,0,404
BD,72,33.58064516129032,171
BDE,222,0,608
BDG,39,0,98
BDM,269,0,481
BDPB,67,0,293
BET,120,0,550
BF,273,0,481
BGN,93,31.096774193548388,176
BHDV,59,0,301
BHV,70,0,158
BK,215,0,608
BKF,114,0,145
BKG,113,0,141
BKL,64,0,94
BL,210,0,417
BLL,48,0,87
BMN,141,0,418
BMR,163,0,450
BN,188,0,534
BNC,101,0,399
BNK,69,0,158
BNN,98,0,398
BNZ,103,0,415
BP,267,0,429
BR,180,0.6774193548387096,588
BRD,33,57.354838709677416,186
BRN,85,0,182
BSD,84,0,321
BSK,37,0,98
BSKS,38,0,121
BSMZ,79,0,163
BTL,110,0,507
BV,58,0,107
BZL,125,19.70967741935484,207
CAS,68,0,126
CK,153,0,447
CL,79,0,186
CO,203,0,432
CPS,33,0,173
CVM,232,0,625
DA,190,0,534
DB,73,0,158
DDN,183,0,448
DDR,42,112.80645161290323,171
DDRS,45,0,288
DDZD,43,0,288
DEI,247,0,429
DID,138,0,415
DL,160,0,412
DLD,73,0,178
DLN,207,0,446
DMN,67,0.0967741935483871,188
DMNZ,62,0,137
DN,152,0.6774193548387096,560
DR,135,0,415
DRH,53,0,106
DRON,134,0.0967741935483871,279
DRP,254,0,443
DT,8,179.67741935483872,0
DTC,149,0,435
DTCH,147,0,435
DTCP,9,58.516129032258064,101
DV,140,0,398
DVC,144,0,464
DVD,60,6.806451612903226,134
DVN,128,0,417
DVNK,13,1.064516129032258,3
DWE,260,0,429
DZ,292,0,510
DZW,291,0,510
EC,195,0,605
ED,102,0.3870967741935484,158
EDC,104,0,180
EDN,237,0,609
EEM,299,0,509
EGH,231,0,624
EGHM,232,0,624
EHS,129,0,626
EHV,130,34.25806451612903,494
EKZ,117,0,153
EML,105,0,401
EMN,223,0,447
EMNZ,219,0,446
ES,196,0,500
ESK,192,0,500
EST,130,0,415
ETN,83,0,494
FN,260,0,429
FWD,257,0,429
GBG,196,0,432
GD,29,0.3870967741935484,0
GDG,32,0,85
GDM,87,0,239
GDR,154,0,452
GERP,252,0,465
GK,273,0,480
GLN,211,0,607
GN,254,0.06451612903225806,465
GND,56,0,291
GNN,258,0.06451612903225806,480
GO,173,0,440
GP,136,0,556
GR,65,0,301
GS,130,30.35483870967742,207
GV,0,0,0
GVC,1,114.64516129032258,0
GVM,5,1.064516129032258,0
GVMW,1,82.83870967741936,0
GW,230,0,469
GZ,82,0,494
HAD,41,30.580645161290324,10
HB,222,0,638
HBZM,53,0,291
HD,109,0,401
HDB,190,0,419
HDE,130,0,398
HDG,253,0,429
HDR,122,0,224
HDRZ,121,0,224
HFD,40,0.16129032258064516,0
HGL,188,0,481
HGLG,186,0,481
HGLO,190,0,500
HGV,0,0,0
HGZ,265,0,488
HIL,34,0.6774193548387096,10
HK,61,0,125
HKS,109,0,156
HLG,269,0,430
HLGH,270,0,434
HLM,45,30.612903225806452,50
HLMS,46,0.03225806451612903,87
HLO,75,0,129
HM,143,0.6774193548387096,556
HMBH,144,0,560
HMBV,140,0,556
HMH,142,0,556
HMN,118,0,285
