station,distance,services_per_day,n_of_disruptions
AC,66,0,64
AH,118,0,158
AHP,119,0,415
AHPR,121,0,417
AHZ,126,0,415
AKL,71,0,318
AKM,224,0,462
ALM,84,0,124
ALMB,90,0,255
ALMM,83,0,142
ALMO,92,0,255
ALMP,86,0,255
AMF,81,0,158
AMFS,84,0,398
AML,178,0,464
AMPO,81,0,142
AMR,79,0,129
AMRI,180,0,534
AMRN,80,0,204
ANA,109,0,215
APD,124,0,398
APDM,125,0,433
APDO,127,0,433
APG,287,0,492
APN,30,0,17
ARN,146,0,222
ASA,61,0,127
ASB,61,0,50
ASD,63,0,50
ASDL,56,0,50
ASDM,63,0,164
ASDZ,55,0,50
ASHD,62,0,64
ASN,225,0,412
ASS,59,0,50
ASSP,64,0,178
ATN,170,0,452
AVAT,87,0,404
BD,73,0,186
BDE,223,0,623
BDG,38,0,98
BDM,268,0,481
BDPB,68,0,308
BET,121,0,565
BF,272,0,481
BGN,94,0,191
BHDV,60,0,316
BHV,69,0,158
BK,216,0,623
BKF,113,0,135
BKG,112,0,131
BKL,63,0,94
BL,209,0,417
BLL,47,0,87
BMN,140,0,418
BMR,162,0,450
BN,187,0,534
BNC,100,0,399
BNK,68,0,158
BNN,97,0,398
BNZ,102,0,415
BP,266,0,429
BR,181,0,603
BRD,34,0,201
BRN,84,0,182
BSD,85,0,336
BSK,36,0,98
BSKS,37,0,121
BSMZ,78,0,153
BTL,111,0,522
BV,57,0,107
BZL,126,0,222
CAS,67,0,126
CK,152,0,447
CL,78,0,186
CO,202,0,432
CPS,34,0,188
CVM,233,0,640
DA,189,0,534
DB,72,0,158
DDN,182,0,448
DDR,43,0,186
DDRS,46,0,303
DDZD,44,0,303
DEI,246,0,429
DID,137,0,415
DL,159,0,412
DLD,72,0,178
DLN,206,0,446
DMN,66,0,178
DMNZ,61,0,127
DN,153,0,575
DR,134,0,415
DRH,52,0,106
DRON,133,0,269
DRP,253,0,443
DT,9,0,15
DTC,148,0,435
DTCH,146,0,435
DTCP,10,0,116
DV,139,0,398
DVC,143,0,464
DVD,59,0,124
