station,distance,services_per_day,n_of_disruptions
AC,105,0,197
AH,95,8.35483870967742,130
AHP,96,0,387
AHPR,98,0,389
AHZ,87,7.354838709677419,144
AKL,68,0,455
AKM,245,0,465
ALM,130,0,174
ALMB,136,0,305
ALMM,129,0,173
ALMO,138,0,305
ALMP,132,0,305
AMF,102,0,161
AMFS,105,0,401
AML,179,0,456
AMPO,127,0,173
AMR,159,0,446
AMRI,181,0,526
AMRN,160,0,521
ANA,189,0,532
APD,142,0,390
APDM,141,0,391
APDO,145,0,425
APG,308,0,495
APN,102,0,501
ARN,99,0,359
ASA,114,0,161
ASB,110,0,161
ASD,120,0,161
ASDL,127,0,440
ASDM,116,0,198
ASDZ,116,0,164
ASHD,111,0,175
ASN,246,0,415
ASS,124,0,419
ASSP,117,0,212
ATN,147,0,424
AVAT,108,0,407
BD,10,30.193548387096776,0
BDE,140,0,129
BDG,108,0,162
BDM,289,0,484
BDPB,15,29.193548387096776,323
BET,38,0,58
BF,293,0,484
BGN,47,0,328
BHDV,57,0,453
BHV,90,0,161
BK,133,0,129
BKF,178,0,504
BKG,177,0,500
BKL,93,0,164
BL,230,0,420
BLL,130,0,596
BMN,117,0,390
BMR,101,0,144
BN,174,0,457
BNC,121,0,402
BNK,87,0,212
BNN,118,0,401
BNZ,123,0,418
BP,287,0,432
BR,98,0,109
BRD,49,0,440
BRN,105,0,185
BSD,62,0,131
BSK,96,0,478
BSKS,95,0,478
BSMZ,104,0,162
BTL,28,0,15
BV,140,0,616
BZL,79,0,359
CAS,147,0,443
CK,91,0,141
CL,63,0,131
CO,219,0,543
CPS,71,0,395
CVM,150,0,146
DA,190,0,526
DB,91,0,256
DDN,164,0,405
DDR,40,29.193548387096776,323
DDRS,43,0,440
DDZD,39,29.193548387096776,346
DEI,267,0,432
DID,114,0,387
DL,180,0,415
DLD,93,0,181
DLN,223,0,557
DMN,119,0,212
DMNZ,114,0,164
DN,70,0,81
DR,111,1.0,387
DRH,135,0,615
DRON,179,0,319
DRP,274,0,446
DT,74,0,393
DTC,125,0,407
DTCH,123,0,407
DTCP,73,0,393
DV,140,0.9354838709677419,390
DVC,144,0,456
DVD,112,0,161
DVN,104,0,389
DVNK,95,0,512
DWE,280,0,432
DZ,312,0,513
DZW,311,0,513
EC,113,0,126
ED,112,0,387
EDC,114,0,409
EDN,155,0,130
EEM,319,0,512
EGH,149,0,145
EGHM,150,0,145
EHS,47,0,134
EHV,48,0,15
EKZ,181,0,512
EML,125,0,404
EMN,239,0,558
EMNZ,235,0,557
ES,177,0,457
ESE,183,0,486
ESK,173,0,457
EST,84,7.354838709677419,130
ETN,21,0.22580645161290322,323
FN,280,0,432
FWD,277,0,432
GBG,212,0,543
GBR,186,0,486
GD,84,0,393
GDG,87,0,478
GDM,55,0,88
GDR,130,0,424
GERP,272,0,468
GK,293,0,483
GLN,129,0,128
GN,274,0,468
GND,54,0,443
GNN,278,0,483
GO,154,0,397
GP,54,0,77
GR,63,0,453
GS,84,0,359
GV,82,0,494
GVC,83,0,509
GVM,87,0,509
GVMW,81,0,494
GW,250,0,422
HAD,123,0,519
HB,140,0,159
HBZM,51,0,443
HD,129,0,404
HDB,206,0,530
HDE,150,0,401
HDG,273,0,432
HDR,201,0,541
HDRZ,200,0,541
HFD,122,0,509
HGL,169,0,438
HGLG,167,0,438
HGLO,171,0,457
HGV,216,0,415
HIL,116,0,519
HK,143,0,634
HKS,173,0,496
HLG,289,0,433
HLGH,290,0,437
HLM,127,0,559
HLMS,128,0,596
HLO,154,0,446
HM,61,0,77
HMBH,62,0,81
HMBV,58,0,77
HMH,60,0,77
HMN,86,0,134
HN,163,0,440
HNK,164,0,496
HNO,180,0,415
HNP,305,0,435
HON,159,0,456
HOR,93,0,161
HR,234,0,415
HRL,144,0,128
HRLW,146,0,145
HRN,268,0,468
HRT,88,0,109
[HRY,inf,0,0
HT,33,29.161290322580644,15
HTN,73,0,184
HTNC,72,0,184
HTO,34,27.419354838709676,88
HVL,108,0,401
HVS,99,0,161
HVSM,100,0,162
HVSP,98,0,161
HWD,166,0,522
HWZB,131,0,440
HZE,59,0,83
IJT,288,0,433
KBD,66,0,359
KBK,133,0,390
KLP,113,0,288
KMA,138,0,453
KMR,152,0,145
KMW,310,0,440
KPN,183,0,415
KPNZ,183,0,415
KRD,152,0,156
KRG,73,0,359
KTR,79,0,131
KW,282,0,489
KZ,132,0,443
LAA,84,0,509
LC,141,0,390
LDL,99,0,519
LDM,69,0,132
LEDN,98,0,509
LEER,343,0,507
LG,147,0,145
LLS,154,0,305
LLZM,97,0,478
LP,300,0,495
LTN,120,0,410
LTV,159,0,392
LUT,129,0,128
LW,263,0,415
LWC,266,0,432
MAS,88,0,161
MDB,103,0,359
MES,152,0,130
MG,273,0,432
MMLH,86,0,130
MP,196,0,415
MRB,198,0,527
MRN,99,0,288
MT,146,0,128
MTH,283,0,491
MTN,149,0,130
MTR,147,0,130
MZ,69,0,88
[NEA,inf,0,0
NDB,105,0,162
NH,137,0,159
NKK,113,0,401
NM,76,28.419354838709676,109
NMD,71,27.419354838709676,112
