Station Code,Distance from HB,Services from/to HB,Disruptions on path to HB
AC,196,0.0,231
AH,144,0.0,232
AHP,145,0.0,489
AHPR,147,0.0,489
AHZ,136,0.0,246
AKL,167,0.0,242
AKM,297,0.0,632
ALM,221,0.0,284
ALMB,227,0.0,415
ALMM,220,0.0,283
ALMO,229,0.0,415
ALMP,223,0.0,415
AMF,193,0.0,271
AMFS,196,0.0,511
AML,228,0.0,558
AMPO,218,0.0,283
AMR,232,0.0,82
AMRI,230,0.0,628
AMRN,233,0.0,157
ANA,262,0.0,168
APD,191,0.0,492
APDM,190,0.0,493
APDO,194,0.0,527
APG,360,0.0,662
APN,183,0.0,49
ARN,239,0.0,472
ASA,205,0.0,271
ASB,201,0.0,271
ASD,211,0.0,271
ASDL,209,0.0,111
ASDM,207,0.0,308
ASDZ,207,0.0,285
ASHD,200,0.0,358
ASN,298,0.0,582
ASS,212,0.0,42
ASSP,208,0.0,322
ATN,196,0.0,526
AVAT,199,0.0,517
BD,150,0.0,144
BDE,30,0.0,33
BDG,191,0.0,130
BDM,341,0.0,651
BDPB,155,0.0,467
BET,102,0.0,144
BF,345,0.0,651
BGN,187,0.0,472
BHDV,178,0.0,262
BHV,181,0.0,271
BK,23,0.0,34
BKF,266,0.0,127
BKG,265,0.0,123
BKL,184,0.0,198
BL,282,0.0,582
BLL,200,0.0,42
BMN,166,0.0,492
BMR,100,0.0,169
BN,223,0.0,559
BNC,176,0.0,255
BNK,178,0.0,322
BNN,179,0.0,271
BNZ,174,0.0,255
BP,339,0.0,599
BR,65,0.0,116
BRD,183,0.0,194
BRN,196,0.0,295
BSD,153,0.0,241
BSK,189,0.0,130
BSKS,190,0.0,153
BSMZ,195,0.0,272
BTL,112,0.0,82
BV,210,0.0,44
BZL,219,0.0,503
CAS,220,0.0,79
CK,110,0.0,197
CL,154,0.0,241
CO,268,0.0,645
CPS,183,0.0,190
CVM,10,0.0,18
DA,239,0.0,628
DB,182,0.0,366
DDN,213,0.0,507
DDR,180,0.0,467
DDRS,183,0.0,584
DDZD,179,0.0,490
DEI,319,0.0,599
DID,163,0.0,489
DL,232,0.0,582
DLD,184,0.0,291
DLN,272,0.0,659
DMN,210,0.0,322
DMNZ,205,0.0,274
DN,93,0.0,116
DR,160,0.0,489
DRH,205,0.0,43
DRON,252,0.0,582
DRP,326,0.0,613
DT,158,0.0,17
DTC,174,0.0,509
DTCH,172,0.0,509
DTCP,159,0.0,118
DV,189,0.0,492
DVC,193,0.0,558
DVD,203,0.0,271
DVN,153,0.0,491
DVNK,165,0.0,35
DWE,332,0.0,599
DZ,364,0.0,680
DZW,363,0.0,680
EC,27,0.0,35
ED,161,0.0,232
EDC,163,0.0,254
EDN,39,0.0,19
EEM,371,0.0,679
EGH,9,0.0,17
EGHM,10,0.0,17
EHS,93,0.0,144
EHV,92,0.0,82
EKZ,269,0.0,135
EML,216,0.0,511
EMN,288,0.0,660
EMNZ,284,0.0,659
ES,226,0.0,559
ESK,222,0.0,559
EST,133,0.0,232
ETN,161,0.0,467
FN,332,0.0,599
FWD,329,0.0,599
GBG,261,0.0,645
GD,181,0.0,32
GDG,184,0.0,117
GDM,146,0.0,198
GDR,179,0.0,526
GERP,324,0.0,635
GK,345,0.0,650
GLN,11,26.64516129032258,1
GN,326,0.0,635
GND,181,0.0,262
GNN,330,0.0,650
GO,203,0.0,499
GP,86,0.0,89
GR,172,0.0,260
GS,224,0.0,472
GV,152,0.0,17
GVC,153,0.0,32
GVM,157,0.0,32
GVMW,151,0.0,17
GW,302,0.0,639
GZ,140,0.0,140
HAD,193,0.0,42
HB,0,0.0,0
HBZM,184,0.0,272
HD,220,0.0,514
HDB,255,0.0,632
HDE,238,0.0,582
HDG,325,0.0,599
HDR,274,0.0,177
HDRZ,273,0.0,177
HFD,192,0.0,32
HGL,218,0.0,540
HGLG,216,0.0,540
HGLO,220,0.0,559
HGV,268,0.0,582
HGZ,337,0.0,658
HIL,186,0.0,42
HK,213,0.0,62
HKS,261,0.0,119
HLG,341,0.0,600
HLGH,342,0.0,604
HLM,197,0.0,42
HLMS,198,0.0,42
HLO,227,0.0,62
HM,102,0.0,144
HMBH,101,0.0,144
HMBV,102,0.0,144
HMH,103,0.0,148
HMN,147,0.0,246
HN,251,0.0,63
HNK,252,0.0,119
HNO,232,0.0,582
HNP,357,0.0,602
HON,208,0.0,492
HOR,184,0.0,271
HR,286,0.0,639
HRL,4,26.61290322580645,0
HRLW,6,0.0,17
HRN,320,0.0,635
HRT,75,0.0,168
HT,124,0.0,125
HTN,164,0.0,294
HTNC,163,0.0,294
HTO,125,0.0,198
HVL,189,0.0,272
HVS,190,0.0,271
HVSM,191,0.0,272
HVSP,189,0.0,271
HWD,239,0.0,158
HWZB,205,0.0,42
HZE,81,0.0,84
IJT,340,0.0,600
KBD,206,0.0,472
KBK,182,0.0,492
KLP,168,0.0,254
KMA,221,0.0,63
KMR,12,0.0,17
KMW,362,0.0,607
KPN,235,0.0,582
KPNZ,235,0.0,582
KRD,12,0.0,28
KRG,213,0.0,472
KTR,154,0.0,246
KW,334,0.0,656
KZ,220,0.0,66
LAA,154,0.0,32
LC,190,0.0,492
LDL,169,0.0,42
LDM,160,0.0,242
LEDN,168,0.0,32
LG,7,0.0,17
LLS,245,0.0,415
LLZM,168,0.0,61
LP,352,0.0,662
LTN,169,0.0,255
LTV,208,0.0,494
LUT,19,0.0,33
LW,315,0.0,582
LWC,318,0.0,599
MAS,179,0.0,271
MDB,243,0.0,499
MES,24,0.0,17
MG,325,0.0,599
MMLH,115,0.0,200
MP,248,0.0,582
MRB,247,0.0,629
MRN,190,0.0,398
MT,30,0.0,17
MTH,335,0.0,658
MTN,27,0.0,31
MTR,31,0.0,19
MZ,71,0.0,82
NDB,196,0.0,272
NH,3,26.64516129032258,0
NKK,204,0.0,511
NM,125,0.0,211
NMD,130,0.0,232
NMGO,128,0.0,232
NMH,122,0.0,211
NML,126,0.0,232
NS,232,0.0,511
NSCH,370,0.0,665
NVD,231,0.0,499
NVP,187,0.0,42
NWK,187,0.0,246
O,143,0.0,198
OBD,245,0.0,168
ODB,181,0.0,472
ODZ,229,0.0,559
OMN,243,0.0,589
OP,150,0.0,246
OST,199,0.0,558
OT,121,0.0,125
OTB,148,0.0,489
OVN,199,0.0,42
OW,142,0.0,198
PMO,233,0.0,63
PMR,232,0.0,63
PMW,231,0.0,66
PT,211,0.0,511
RAI,206,0.0,274
RAT,238,0.0,582
RB,203,0.0,503
RD,364,0.0,666
RH,154,0.0,490
RHN,213,0.0,401
RL,195,0.0,494
RLB,179,0.0,188
RM,40,0.0,33
RS,131,0.0,198
RSD,174,0.0,467
RSN,215,0.0,492
RSW,153,0.0,17
RTA,182,0.0,188
RTB,173,0.0,188
RTD,172,0.0,118
RTN,177,0.0,188
RTST,177,0.0,188
RTZ,176,0.0,188
