station,distance,services_per_day,n_of_disruptions
AC,72,0,352
AH,78,0,283
AHP,79,0,540
AHPR,81,0,542
AHZ,86,0,540
AKL,95,0,441
AKM,116,0,64
ALM,74,0,256
ALMB,80,0,387
ALMM,73,0,255
ALMO,82,0,387
ALMP,76,0,387
AMF,27,36.83870967741935,3
AMFS,24,35.83870967741935,11
AML,84,0,26
AMPO,71,0,255
AMR,111,0,529
AMRI,86,0,96
AMRN,112,0,604
ANA,141,0,615
APD,70,0,243
APDM,71,0,278
APDO,73,0,278
APG,179,0,94
APN,83,0,253
ARN,226,0,627
ASA,69,0,247
ASB,69,0,247
ASD,72,0,244
ASDL,79,0,523
ASDM,68,0,262
ASDZ,71,0,247
ASHD,70,0,261
ASN,117,0,14
ASS,76,0,502
ASSP,67,0,262
ATN,130,0,577
AVAT,21,35.83870967741935,3
BD,139,0,402
BDE,220,0,503
BDG,75,0,244
BDM,160,0,83
BDPB,144,0,725
BET,118,0,432
BF,164,0,83
BGN,174,0,596
BHDV,106,0,461
BHV,39,35.483870967741936,247
BK,213,0,503
BKF,130,0,587
BKG,129,0,583
BKL,60,0,319
BL,101,0,19
BLL,94,0,539
BMN,93,0,90
BMR,122,0,575
BN,93,0,96
BNC,46,0,244
BNK,56,0,316
BNN,43,0,243
BNZ,48,0,260
BP,158,0,31
BR,157,0,604
BRD,115,0,486
BRN,36,0,243
BSD,81,0,440
BSK,89,0,334
BSKS,90,0,357
BSMZ,48,0,244
BTL,108,0,389
BV,101,0,562
BZL,206,0,627
CAS,99,0,526
CK,112,0,572
CL,66,0,344
CO,94,0,34
CPS,93,0,401
CVM,230,0,520
DA,81,0,24
DB,60,0,316
DDN,103,0,115
DDR,123,0,474
DDRS,120,0,472
DDZD,124,0,591
DEI,138,0,31
DID,97,0,540
DL,51,0,14
DLD,36,35.483870967741936,243
DLN,98,0,48
DMN,65,0,261
DMNZ,65,0,261
DN,150,0,455
DR,94,0,540
DRH,99,0,558
DRON,71,0,14
DRP,145,0,45
DT,117,0,416
DTC,108,0,560
DTCH,106,0,560
DTCP,117,0,471
DV,70,0,24
DVC,74,0,90
DVD,67,0,244
DVN,87,0,542
DVNK,101,0,351
DWE,151,0,31
DZ,183,0,112
DZW,182,0,112
EC,193,0,500
ED,61,0,261
EDC,59,0,260
EDN,235,0,504
EEM,190,0,111
EGH,229,0,519
EGHM,230,0,519
EHS,127,0,508
EHV,128,0,389
EKZ,133,0,595
EML,4,35.83870967741935,0
EMN,114,0,49
EMNZ,110,0,48
ES,106,0,115
ESE,112,0,144
ESK,102,0,115
EST,89,0,540
ETN,150,0,725
FN,151,0,31
FWD,148,0,31
GBG,87,0,34
GBR,115,0,144
GD,80,0.967741935483871,316
GDG,77,0,244
GDM,74,0,397
GDR,113,0,577
GERP,143,0,67
GK,164,0,82
GLN,209,0,502
GN,145,0,67
GND,109,0,461
GNN,149,0,82
GO,113,0,148
GP,134,0,451
GR,100,0,459
GS,211,0,627
GV,109,0,401
GVC,108,0,401
GVM,109,0,436
GVMW,110,0,416
GW,121,0,21
GZ,129,0,404
HAD,95,0,539
HB,220,0,533
HBZM,112,0,471
HDB,81,0,21
HDE,21,36.67741935483871,0
HDG,144,0,31
HDR,153,0,624
HDRZ,152,0,624
HFD,87,0,371
HGL,98,0,96
HGLG,100,0,115
HGLO,100,0,115
HGV,87,0,14
HGZ,156,0,90
HIL,102,0,579
HK,98,0,562
HKS,125,0,579
HLG,160,0,32
HLGH,161,0,36
HLM,91,0,502
HLMS,90,0,523
HLO,106,0,529
HM,141,0,451
