Station Code,Distance from HDR,Services from/to HDR,Disruptions on path to HDR
AC,96,0.1612903225806451,394
AH,177,32.903225806451616,674
AHP,178,0.0,931
AHPR,180,0.0,931
AHZ,185,0.8064516129032258,931
AKL,167,0.0,497
AKM,269,0.0,444
ALM,111,0.0,380
ALMB,117,0.0,511
ALMM,110,0.0,387
ALMO,119,0.0,511
ALMP,113,0.0,511
AMF,126,0.0,394
AMFS,129,0.0,634
AML,223,0.0,700
AMPO,108,0.0,387
AMR,42,37.29032258064516,20
AMRI,225,0.0,770
AMRN,41,37.29032258064516,19
ANA,12,40.064516129032256,0
APD,169,0.0,634
APDM,170,0.0,669
APDO,172,0.0,669
APG,332,0.0,474
APN,121,0.0,152
ARN,267,0.0,336
ASA,87,34.54838709677419,380
ASB,91,0.3870967741935484,380
ASD,81,36.83870967741935,122
ASDL,80,0.0,122
ASDM,85,0.1612903225806451,380
ASDZ,93,0.0,380
ASHD,92,0.1612903225806451,394
ASN,270,0.0,394
ASS,77,36.83870967741935,101
ASSP,86,0.0,380
ATN,229,0.0,968
AVAT,132,0.0,640
BD,194,0.0,331
BDE,292,0.0,642
BDG,129,0.0,233
BDM,313,0.0,463
BDPB,189,0.0,383
BET,190,0.0,453
BF,317,0.0,463
BGN,215,0.0,382
BHDV,178,0.0,517
BHV,129,0.0,453
BK,285,0.0,643
BKF,67,0.0,83
BKG,66,0.0,79
BKL,108,0.1612903225806451,521
BL,254,0.0,394
BLL,74,0.0,118
BMN,194,0.0,669
BMR,221,0.0,709
BN,232,0.0,770
BNC,145,0.0,635
BNK,128,0.1612903225806451,453
BNN,142,0.0,634
BNZ,147,0.0,651
BP,311,0.0,651
BR,250,0.0,623
BRD,155,0.0,337
BRN,117,0.0,381
BSD,153,0.0,496
BSK,127,0.0,233
BSKS,128,0.0,256
BSMZ,105,0.0,398
BTL,180,0.0,526
BV,64,0.0967741935483871,98
BZL,247,0.0,413
CAS,54,36.83870967741935,95
CK,211,0.0,706
CL,138,0.0,481
CO,247,0.0,414
CPS,152,0.0,341
CVM,276,0.0,178
DA,234,0.0,404
DB,132,33.064516129032256,453
DDN,227,0.0,684
DDR,164,0.0,261
DDRS,167,0.0,378
DDZD,165,0.0,378
DEI,291,0.0,651
DID,196,0.0,931
DL,204,0.0,394
DLD,129,0.0,395
DLN,251,0.0,428
DMN,88,0.0,380
DMNZ,91,0.0,420
DN,222,0.0,595
DR,193,0.0,931
DRH,69,0.0,116
DRON,160,0.0,525
DRP,298,0.0,665
DT,130,0.0,160
DTC,207,0.0,951
DTCH,205,0.0,951
DTCP,131,0.0,261
DV,184,0.0,634
DVC,188,0.0,669
DVD,89,0.3548387096774194,417
DVN,186,0.0,933
DVNK,109,0.0,145
DWE,304,0.0,651
DZ,336,0.0,492
DZW,335,0.0,492
EC,265,0.0,640
ED,160,32.903225806451616,652
EDC,158,0.0,651
EDN,305,0.0,179
EEM,343,0.0,491
EGH,275,0.0,177
EGHM,276,0.0,177
EHS,199,0.0,529
EHV,200,1.1612903225806452,529
EKZ,70,0.0,91
EML,149,0.0,634
EMN,267,0.0,429
EMNZ,263,0.0,428
ES,240,0.0,736
ESK,236,0.0,736
EST,188,0.8387096774193549,931
ETN,205,0.0,654
FN,304,0.0,651
FWD,301,0.0,651
GBG,240,0.0,414
GD,139,0.0,256
GDG,140,0.0,381
GDM,146,0.0,453
GDR,212,0.0,968
GERP,296,0.0,447
GK,317,0.0,462
GLN,281,0.0,642
GN,298,0.0,447
GND,178,0.0,379
GNN,302,0.0,462
GO,217,0.0,676
GP,206,0.0,591
GR,172,0.0,515
GS,252,0.0,336
GV,122,0.0,145
GVC,121,0.0,145
GVM,117,0.0,230
GVMW,123,0.0,160
GW,274,0.0,451
GZ,201,0.0,541
HAD,81,0.0,135
HB,274,0.0,177
HBZM,175,0.0,379
HD,153,0.0,637
HDB,234,0.0,401
HDE,174,0.0,634
HDG,297,0.0,651
HDR,0,0.0,0
HDRZ,1,40.064516129032256,0
HFD,97,0.0,172
HGL,232,0.0,717
HGLG,230,0.0,717
HGLO,234,0.0,736
HGV,240,0.0,394
HGZ,309,0.0,470
HIL,88,0.0,175
HK,61,0.0,99
HKS,62,0.0,75
HLG,313,0.0,652
HLGH,314,0.0,656
HLM,77,0.0967741935483871,98
HLMS,78,0.0,135
HLO,47,35.67741935483871,95
HM,213,0.0,591
HMBH,214,0.0,595
HMBV,210,0.0,591
HMH,212,0.0,591
HMN,177,0.0,499
HN,52,2.548387096774193,19
HNK,53,0.0,75
HNO,204,0.0,394
HNP,329,0.0,654
HON,203,0.0,669
HOR,116,0.0,380
HR,258,0.0,451
HRL,270,0.0,160
HRLW,272,0.0,177
HRN,292,0.0,447
HRT,240,0.0,623
HT,168,1.1612903225806452,453
HTN,128,0.0,453
HTNC,129,0.0,481
HTO,169,0.0,526
HVL,132,0.0,634
HVS,110,0.0,380
HVSM,109,0.0,431
HVSP,111,0.0,381
HWD,35,40.064516129032256,9
HWZB,84,0.0,122
HZE,211,0.0,597
IJT,312,0.0,652
KBD,234,0.0,336
KBK,178,0.0,670
KLP,154,13.64516129032258,453
KMA,63,0.8709677419354839,99
KMR,278,0.0,177
KMW,334,0.0,659
KPN,207,0.0,101
KPNZ,177,0.0,526
KRD,278,0.0,188
KRG,241,0.0,336
KTR,170,0.0,496
KW,306,0.0,468
KZ,69,0.8709677419354839,108
LAA,120,0.0,145
LC,204,0.0,669
LDL,107,0.0,145
LDM,160,0.0,497
LEDN,106,0.0,135
LG,273,0.0,177
LLS,135,0.0,511
LLZM,136,0.0,174
LP,324,0.0,474
LTN,152,0.0,651
LTV,222,0.0,671
LUT,281,0.0,642
LW,287,0.0,634
LWC,290,0.0,651
MAS,113,0.1612903225806451,394
MDB,271,0.0,363
MES,290,0.0,177
MG,297,0.0,651
MMLH,206,0.0,695
