Station Code,Distance from HDRZ,Services from/to HDRZ,Disruptions on path to HDRZ
AC,95,0.1612903225806451,394
AH,176,32.903225806451616,674
AHP,177,0.0,931
AHPR,179,0.0,931
AHZ,184,0.8064516129032258,931
AKL,166,0.0,497
AKM,268,0.0,444
ALM,110,0.0,380
ALMB,116,0.0,511
ALMM,109,0.0,387
ALMO,118,0.0,511
ALMP,112,0.0,511
AMF,125,0.0,394
AMFS,128,0.0,634
AML,222,0.0,700
AMPO,107,0.0,387
AMR,41,37.29032258064516,20
AMRI,224,0.0,770
AMRN,40,37.29032258064516,19
ANA,11,40.064516129032256,0
APD,168,0.0,634
APDM,169,0.0,669
APDO,171,0.0,669
APG,331,0.0,474
APN,120,0.0,152
ARN,266,0.0,336
ASA,86,34.54838709677419,380
ASB,90,0.3870967741935484,380
ASD,80,36.83870967741935,122
ASDL,79,0.0,122
ASDM,84,0.1612903225806451,380
ASDZ,92,0.0,380
ASHD,91,0.1612903225806451,394
ASN,269,0.0,394
ASS,76,36.83870967741935,101
ASSP,85,0.0,380
ATN,228,0.0,968
AVAT,131,0.0,640
BD,193,0.0,331
BDE,291,0.0,642
BDG,128,0.0,233
BDM,312,0.0,463
BDPB,188,0.0,383
BET,189,0.0,453
BF,316,0.0,463
BGN,214,0.0,382
BHDV,177,0.0,517
BHV,128,0.0,453
BK,284,0.0,643
BKF,66,0.0,83
BKG,65,0.0,79
BKL,107,0.1612903225806451,521
BL,253,0.0,394
BLL,73,0.0,118
BMN,193,0.0,669
BMR,220,0.0,709
BN,231,0.0,770
BNC,144,0.0,635
BNK,127,0.1612903225806451,453
BNN,141,0.0,634
BNZ,146,0.0,651
BP,310,0.0,651
BR,249,0.0,623
BRD,154,0.0,337
BRN,116,0.0,381
BSD,152,0.0,496
BSK,126,0.0,233
BSKS,127,0.0,256
BSMZ,104,0.0,398
BTL,179,0.0,526
BV,63,0.0967741935483871,98
BZL,246,0.0,413
CAS,53,36.83870967741935,95
CK,210,0.0,706
CL,137,0.0,481
CO,246,0.0,414
CPS,151,0.0,341
CVM,275,0.0,178
DA,233,0.0,404
DB,131,33.064516129032256,453
DDN,226,0.0,684
DDR,163,0.0,261
DDRS,166,0.0,378
DDZD,164,0.0,378
DEI,290,0.0,651
DID,195,0.0,931
DL,203,0.0,394
DLD,128,0.0,395
DLN,250,0.0,428
DMN,87,0.0,380
DMNZ,90,0.0,420
DN,221,0.0,595
DR,192,0.0,931
DRH,68,0.0,116
DRON,159,0.0,525
DRP,297,0.0,665
DT,129,0.0,160
DTC,206,0.0,951
DTCH,204,0.0,951
DTCP,130,0.0,261
DV,183,0.0,634
DVC,187,0.0,669
DVD,88,0.3548387096774194,417
DVN,185,0.0,933
DVNK,108,0.0,145
DWE,303,0.0,651
DZ,335,0.0,492
DZW,334,0.0,492
EC,264,0.0,640
ED,159,32.903225806451616,652
EDC,157,0.0,651
EDN,304,0.0,179
EEM,342,0.0,491
EGH,274,0.0,177
EGHM,275,0.0,177
EHS,198,0.0,529
EHV,199,1.1612903225806452,529
EKZ,69,0.0,91
EML,148,0.0,634
EMN,266,0.0,429
EMNZ,262,0.0,428
ES,239,0.0,736
ESK,235,0.0,736
EST,187,0.8387096774193549,931
ETN,204,0.0,654
FN,303,0.0,651
FWD,300,0.0,651
GBG,239,0.0,414
GD,138,0.0,256
GDG,139,0.0,381
GDM,145,0.0,453
GDR,211,0.0,968
GERP,295,0.0,447
GK,316,0.0,462
GLN,280,0.0,642
GN,297,0.0,447
GND,177,0.0,379
GNN,301,0.0,462
GO,216,0.0,676
GP,205,0.0,591
GR,171,0.0,515
GS,251,0.0,336
GV,121,0.0,145
GVC,120,0.0,145
GVM,116,0.0,230
GVMW,122,0.0,160
GW,273,0.0,451
GZ,200,0.0,541
HAD,80,0.0,135
HB,273,0.0,177
HBZM,174,0.0,379
HD,152,0.0,637
HDB,233,0.0,401
HDE,173,0.0,634
HDG,296,0.0,651
HDR,1,38.83870967741935,0
HDRZ,0,0.0,0
HFD,96,0.0,172
HGL,231,0.0,717
HGLG,229,0.0,717
HGLO,233,0.0,736
HGV,239,0.0,394
HGZ,308,0.0,470
HIL,87,0.0,175
HK,60,0.0,99
HKS,61,0.0,75
HLG,312,0.0,652
HLGH,313,0.0,656
