Station Code,Distance from HFD,Services from/to HFD,Disruptions on path to HFD
AC,27,0.0,64
AH,109,0.0,137
AHP,110,0.0,394
AHPR,112,0.0,396
AHZ,117,0.0,394
AKL,98,0.0,262
AKM,203,0.0,276
ALM,45,72.64516129032258,124
ALMB,51,57.58064516129032,255
ALMM,44,72.58064516129032,142
ALMO,53,57.58064516129032,255
ALMP,47,57.58064516129032,255
AMF,60,17.612903225806452,128
AMFS,63,14.806451612903226,368
AML,157,0.0,434
AMPO,42,72.58064516129032,142
AMR,55,0.0,77
AMRI,159,0.0,504
AMRN,56,0.0,152
ANA,85,0.0,163
APD,103,0.0,368
APDM,104,0.0,403
APDO,106,0.0,403
APG,266,0.0,354
APN,39,0.0,17
ARN,185,0.0,222
ASA,22,0.0,127
ASB,22,0.0,50
ASD,24,56.87096774193548,50
ASDL,17,83.0,50
ASDM,24,52.87096774193548,164
ASDZ,16,53.193548387096776,50
ASHD,23,0.0,64
ASN,204,0.0,274
ASS,20,83.0,50
ASSP,25,52.903225806451616,178
ATN,161,0.0,431
AVAT,66,14.806451612903226,374
BD,112,0.0,186
BDE,223,0.0,324
BDG,47,0.0,98
BDM,247,0.0,343
BDPB,107,0.0,308
BET,121,0.0,253
BF,251,0.0,343
BGN,133,0.0,191
BHDV,99,0.0,316
BHV,60,0.0,137
BK,216,0.0,324
BKF,74,0.6774193548387096,135
BKG,73,0.6774193548387096,131
BKL,49,0.0,67
BL,188,0.0,274
BLL,38,0.0,108
BMN,128,0.0,403
BMR,153,0.0,429
BN,166,0.0,504
BNC,79,0.0,369
BNK,59,0.0,137
BNN,76,0.0,368
BNZ,81,0.0,385
BP,245,0.0,286
BR,181,0.0,304
BRD,73,0.0,201
BRN,51,17.612903225806452,128
BSD,84,0.0,261
BSK,45,0.0,98
BSKS,46,0.0,121
BSMZ,39,33.45161290322581,153
BTL,111,0.0,210
BV,45,0.0,110
BZL,165,0.0,222
CAS,43,0.0,74
CK,143,0.0,426
CL,69,0.0,165
CO,181,0.0,303
CPS,70,0.0,206
CVM,233,0.0,341
DA,168,0.0,504
DB,63,0.0,137
DDN,161,0.0,418
DDR,82,0.032258064516129,186
DDRS,85,0.0,303
DDZD,83,0.0,303
DEI,225,0.0,286
DID,128,0.0,394
DL,138,0.0,283
DLD,63,0.0,157
DLN,185,0.0,317
DMN,27,52.903225806451616,178
DMNZ,22,53.12903225806452,127
DN,153,0.0,276
DR,125,0.0,394
DRH,43,0.0,127
DRON,94,32.70967741935484,269
DRP,232,0.0,300
DT,48,0.032258064516129,15
DTC,139,0.0,414
DTCH,137,0.0,414
DTCP,49,0.0,116
DV,118,0.0,368
DVC,122,0.0,434
DVD,20,53.12903225806452,124
DVN,118,0.0,396
DVNK,27,41.70967741935484,10
DWE,238,0.0,286
DZ,270,0.0,372
DZW,269,0.0,372
EC,196,0.0,321
ED,92,0.0,137
EDC,92,0.0,385
EDN,238,0.0,325
EEM,277,0.0,371
EGH,232,0.0,340
EGHM,233,0.0,340
EHS,130,0.0,329
EHV,131,0.0,210
EKZ,77,0.6774193548387096,143
EML,83,0.0,371
EMN,201,0.0,318
EMNZ,197,0.0,317
ES,174,0.0,470
ESK,170,0.0,470
EST,120,0.0,394
ETN,123,0.0,509
FN,238,0.0,286
FWD,235,0.0,286
GBG,174,0.0,303
GD,57,0.0,121
GDG,60,0.0,206
GDM,77,0.0,218
GDR,144,0.0,431
GERP,230,0.0,327
GK,251,0.0,342
GLN,212,0.0,323
GN,232,0.0,327
GND,96,0.0,306
GNN,236,0.0,342
GO,151,0.0,410
GP,137,0.0,272
GR,103,0.0,280
GS,170,0.0,222
GV,40,0.032258064516129,0
GVC,39,41.87096774193548,0
GVM,35,41.70967741935484,95
GVMW,41,0.0,15
GW,208,0.0,276
GZ,122,0.0,509
HAD,39,0.0,108
HB,223,0.0,354
HBZM,93,0.0,306
HD,87,0.0,371
HDB,168,0.0,290
HDE,108,0.0,368
HDG,231,0.0,286
HDR,97,0.0,172
HDRZ,96,0.0,172
HFD,0,0.0,0
HGL,166,0.0,451
HGLG,164,0.0,451
HGLO,168,0.0,470
HGV,174,0.0,269
HGZ,243,0.0,356
HIL,42,0.0,10
HK,42,0.0,110
HKS,69,0.6774193548387096,127
HLG,247,0.0,287
HLGH,248,0.0,291
HLM,35,0.0,71
HLMS,34,0.0,71
HLO,50,0.0,77
HM,144,0.0,272
HMBH,145,0.0,276
HMBV,141,0.0,272
HMH,143,0.0,272
HMN,108,0.0,264
HN,59,26.193548387096776,71
HNK,60,20.516129032258064,127
HNO,138,0.0,280
HNP,263,0.0,289
HON,137,0.0,434
HOR,50,15.838709677419354,128
HR,192,0.064516129032258,269
HRL,227,0.0,323
HRLW,229,0.0,340
HRN,226,0.0,333
HRT,171,0.0,304
HT,99,0.0,137
HTN,59,0.0,137
HTNC,60,0.0,165
HTO,100,0.0,210
HVL,66,0.0,368
HVS,44,33.45161290322581,127
HVSM,43,33.45161290322581,186
HVSP,45,15.838709677419354,128
HWD,62,0.0,153
HWZB,27,0.0,71
HZE,142,0.0,278
IJT,246,0.0,287
KBD,152,0.0,232
KBK,112,0.0,404
KLP,85,0.0,137
KMA,34,0.0,84
KMR,235,0.0,340
KMW,268,0.0,294
KPN,141,0.0,280
KPNZ,111,32.70967741935484,270
KRD,235,0.0,351
KRG,159,0.0,232
KTR,101,0.0,261
KW,240,0.0,354
KZ,28,0.0,74
LAA,38,41.74193548387097,0
LC,138,0.0,403
LDL,25,0.0,10
LDM,91,0.0,262
LEDN,24,62.64516129032258,0
LG,230,0.0,340
LLS,69,36.29032258064516,255
LLZM,54,0.0,42
LP,258,0.0,360
LTN,86,0.0,385
LTV,156,0.0,405
LUT,212,0.0,323
LW,221,0.064516129032258,269
LWC,224,0.0,286
MAS,44,0.0,64
MDB,189,0.0,232
MES,235,0.0,325
MG,231,0.0,286
MMLH,138,0.0,415
MP,154,0.064516129032258,280
MRB,160,0.0,287
MRN,71,0.0,169
MT,229,0.0,323
MTH,241,0.0,356
MTN,232,0.0,325
MTR,230,0.0,325
MZ,152,0.0,283
NDB,38,33.45161290322581,142
NH,220,0.0,354
NKK,71,0.0,368
NM,128,0.0,394
NMD,133,0.0,415
NMGO,131,0.0,415
NMH,131,0.0,415
NML,127,0.0,408
NS,99,0.0,368
NSCH,276,0.0,363
NVD,158,0.0,280
NVP,5,57.354838709677416,0
NWK,66,0.0,206
O,118,0.0,210
OBD,68,0.0,163
ODB,113,0.0,318
ODZ,177,0.0,470
OMN,149,0.0,287
OP,105,0.0,264
OST,128,0.0,434
OT,120,0.0,253
OTB,105,0.0,159
OVN,37,0.0,108
OW,117,0.0,213
PMO,41,26.193548387096776,72
PMR,40,26.193548387096776,71
PMW,39,26.193548387096776,74
PT,78,0.0,371
RAI,17,53.12903225806452,124
RAT,144,0.0,280
RB,149,0.0,232
RD,270,0.0,364
RH,119,0.0,397
RHN,94,0.0,172
RL,143,0.0,405
RLB,69,0.0,205
RM,183,0.0,272
RS,106,0.0,213
RSD,120,0.0,196
RSN,144,0.0,434
RSW,43,0.0,25
RTA,71,0.0,206
RTB,63,0.032258064516129,196
RTD,62,0.0967741935483871,126
RTN,67,0.0,196
RTST,67,0.0,205
RTZ,66,0.0,205
RV,194,0.0,321
RVS,126,0.0,231
SBK,215,0.0,353
SD,55,0.0,142
SDA,259,0.0,354
SDM,58,0.032258064516129,126
SDT,92,0.0,315
SDTB,89,0.0,315
SGL,239,0.0,339
SGN,76,0.0,163
SHL,5,136.4193548387097,0
SK,243,0.0,286
SKND,242,0.0,286
SM,188,0.0,321
SN,217,0.0,354
SOG,237,0.0,340
SPTN,42,0.0,126
SPTZ,40,0.0,126
SRN,201,0.0,350
SSH,16,57.29032258064516,0
ST,56,0.0,142
STD,208,0.0,321
STM,254,0.0,360
STV,272,0.0,294
STZ,57,0.0,142
SWD,243,0.0,348
SWK,168,0.064516129032258,330
TB,121,0.0,210
TBG,145,0.0,431
TBR,126,0.0,223
TBU,122,0.0,223
TG,188,0.0,357
TL,89,0.0,261
TPSW,87,0.0,261
TWL,113,0.0,403
UHM,267,0.0,364
UHZ,264,0.0,364
UST,259,0.0,363
UT,51,15.838709677419354,64
UTG,39,0.0,109
UTLN,55,0.0,137
UTLR,54,0.0,137
UTO,54,15.838709677419354,137
UTT,56,0.0,137
UTVR,52,0.0,137
UTZL,49,0.0,67
VB,42,0.0,39
VD,133,0.0,403
VDL,231,0.0,340
VDM,259,0.0,361
VEM,117,0.0,405
VG,103,0.0,210
VH,32,0.0,10
VHP,166,0.0,290
VK,240,0.0,340
VL,183,0.0,356
VLB,160,0.0,457
VNDC,86,0.0,171
VNDW,85,0.0,171
VP,115,0.0,397
VRY,167,0.0,458
VS,195,0.0,234
VSS,194,0.0,234
VST,29,41.70967741935484,95
VSV,152,0.0,431
VTN,58,0.0,142
VZ,163,0.0,504
WAD,49,0.0,121
WADN,48,0.0,121
WADT,50,0.0,121
WC,133,0.0,234
WD,58,0.0,107
WDN,152,0.0,441
WF,101,0.0,159
WFM,256,0.0,363
WH,135,0.0,444
WK,259,0.0,289
WL,134,0.0,414
WM,32,0.0,74
WP,29,106.03225806451611,136
WR,286,0.0,372
WS,264,0.0,363
WSM,248,0.0,349
WT,159,0.0,272
WTV,114,0.0,396
WV,181,0.0,269
WW,166,0.0,417
WWW,165,0.0,417
WZ,117,0.0,381
YPB,46,0.0,42
ZA,111,0.0,264
ZB,251,0.0,357
ZBM,86,0.0,261
ZD,26,26.193548387096776,71
ZDK,29,26.193548387096776,74
ZH,244,0.0,348
ZL,126,32.774193548387096,266
ZLSH,131,0.0,280
ZLW,97,0.0,313
ZP,121,0.0,403
ZTM,51,0.0,39
ZTMO,52,0.0,42
ZV,123,0.0,394
ZVB,105,0.0,318
ZVT,43,0.0,109
ZWD,80,0.0,310
ZZS,29,0.0,74
