Station Code,Distance from HGLG,Services from/to HGLG,Disruptions on path to HGLG
AC,149,0.0,432
AH,72,0.0,51
AHP,71,0.0,55
AHPR,69,0.0,54
AHZ,80,0.0,308
AKL,149,0.0,369
AKM,138,0.0,165
ALM,142,0.0,126
ALMB,136,0.0,126
ALMM,143,0.0,257
ALMO,134,0.0,115
ALMP,140,0.0,131
AMF,104,0.0,83
AMFS,107,0.0,323
AML,16,0.0,19
AMPO,145,0.0,258
AMR,188,0.0,609
AMRI,14,0.0,20
AMRN,189,0.0,684
ANA,218,0.0,695
APD,61,0.0,48
APDM,60,0.0,49
APDO,64,0.0,83
APG,201,0.0,195
APN,160,0.0,333
ARN,266,0.0,795
ASA,146,0.0,327
ASB,146,0.0,327
ASD,149,0.0,324
ASDL,156,0.0,603
ASDM,145,0.0,342
ASDZ,148,0.0,327
ASHD,147,0.0,341
ASN,139,0.0,115
ASS,153,0.0,582
ASSP,144,0.0,342
ATN,100,0.0,62
AVAT,110,0.0,329
BD,177,0.0,436
BDE,216,0.0,510
BDG,152,0.0,324
BDM,182,0.0,184
BDPB,182,0.0,759
BET,156,0.0,466
BF,186,0.0,184
BGN,214,0.0,764
BHDV,160,0.0,389
BHV,116,0.0,327
BK,209,0.0,510
BKF,207,0.0,667
BKG,206,0.0,663
BKL,137,0.0,399
BL,123,0.0,120
BLL,171,0.0,619
BMN,50,0.0,48
BMR,116,0.0,343
BN,7,0.0,19
BNC,104,0.0,331
BNK,122,0.0,362
BNN,107,0.0,347
BNZ,102,0.0,331
BP,180,0.0,132
BR,151,0.0,372
BRD,186,0.0,519
BRN,113,0.0,323
BSD,135,0.0,368
BSK,166,0.0,414
BSKS,167,0.0,437
BSMZ,125,0.0,324
BTL,146,0.0,423
BV,178,0.0,642
BZL,246,0.0,795
CAS,176,0.0,606
CK,106,0.0,340
CL,136,0.0,368
CO,56,0.0,106
CPS,170,0.0,481
CVM,226,0.0,527
DA,27,0.0,89
DB,118,0.0,330
DDN,3,34.064516129032256,0
DDR,177,0.0,402
DDRS,174,0.0,400
DDZD,178,0.0,519
DEI,160,0.0,132
DID,89,0.0,60
DL,57,0.0,93
DLD,113,0.0,323
DLN,60,0.0,120
DMN,142,0.0,341
DMNZ,142,0.0,341
DN,179,0.0,424
DR,56,0.0,48
DRH,176,0.0,638
DRON,93,0.0,115
DRP,167,0.0,146
DT,194,0.0,496
DTC,100,0.0,80
DTCH,98,0.0,80
DTCP,194,0.0,551
DV,55,0.0,89
DVC,51,0.0,96
DVD,144,0.0,324
DVN,79,0.0,57
DVNK,178,0.0,431
DWE,173,0.0,132
DZ,205,0.0,213
DZW,204,0.0,213
EC,189,0.0,507
ED,89,0.0,308
EDC,91,0.0,330
EDN,231,0.0,511
EEM,212,0.0,212
EGH,225,0.0,526
EGHM,226,0.0,526
EHS,165,0.0,542
EHV,166,0.0,423
EKZ,210,0.0,675
EML,104,0.0,118
EMN,76,0.0,121
EMNZ,72,0.0,120
ES,10,0.0,19
ESK,6,0.0,19
EST,83,0.0,308
ETN,188,0.0,759
FN,173,0.0,132
FWD,170,0.0,132
GBG,49,0.0,106
GD,157,0.0,396
GDG,154,0.0,324
GDM,128,0.0,325
GDR,105,0.0,97
GERP,165,0.0,168
GK,186,0.0,183
GLN,205,0.0,509
GN,167,0.0,168
GND,163,0.0,389
GNN,171,0.0,183
GO,13,34.064516129032256,33
GP,172,0.0,485
GR,154,0.0,387
GS,251,0.0,795
GV,186,0.0,481
GVC,185,0.0,481
GVM,186,0.0,516
GVMW,187,0.0,496
GW,143,0.0,122
GZ,167,0.0,438
HAD,172,0.0,619
HB,216,0.0,540
HBZM,166,0.0,399
HD,100,0.0,115
HDB,43,0.0,93
HDE,79,0.0,115
HDG,166,0.0,132
HDR,230,0.0,704
HDRZ,229,0.0,704
HFD,164,0.0,451
HGL,2,34.096774193548384,0
HGLG,0,0.0,0
HGLO,4,34.03225806451613,19
HGV,109,0.0,115
HGZ,178,0.0,191
HIL,179,0.0,659
HK,175,0.0,642
HKS,202,0.0,659
HLG,182,0.0,133
HLGH,183,0.0,137
HLM,168,0.0,582
HLMS,167,0.0,603
HLO,183,0.0,609
HM,179,0.0,485
HMBH,180,0.0,489
HMBV,176,0.0,485
HMH,178,0.0,485
HMN,97,0.0,322
HN,192,0.0,603
HNK,193,0.0,659
HNO,49,0.0,101
HNP,198,0.0,135
HON,36,0.0,96
HOR,126,0.0,324
HR,127,0.0,115
HRL,220,0.0,509
HRLW,222,0.0,526
HRN,161,0.0,168
HRT,161,0.0,424
HT,134,0.0,350
HTN,133,0.0,396
HTNC,134,0.0,424
HTO,133,0.0,350
HVL,110,0.0,323
HVS,120,0.0,323
HVSM,121,0.0,324
HVSP,121,0.0,324
HWD,195,0.0,685
HWZB,160,0.0,603
HZE,177,0.0,491
IJT,181,0.0,133
KBD,233,0.0,795
KBK,52,0.0,48
KLP,96,0.0,330
KMA,167,0.0,616
KMR,228,0.0,526
KMW,203,0.0,140
KPN,76,0.0,115
KPNZ,76,0.0,115
KRD,228,0.0,537
KRG,240,0.0,795
KTR,104,0.0,322
KW,175,0.0,189
KZ,161,0.0,606
LAA,186,0.0,510
LC,26,32.225806451612904,41
LDL,174,0.0,414
LDM,142,0.0,369
LEDN,175,0.0,421
LG,223,0.0,526
LLS,118,0.0,115
LLZM,170,0.0,481
LP,193,0.0,195
LTN,97,0.0,331
LTV,78,0.0,50
LUT,205,0.0,509
LW,156,0.0,115
LWC,159,0.0,132
MAS,132,0.0,396
MDB,270,0.0,795
MES,228,0.0,511
MG,166,0.0,132
MMLH,101,0.0,329
MP,89,0.0,115
MRB,35,0.0,90
MRN,126,0.0,362
MT,222,0.0,509
MTH,176,0.0,191
MTN,225,0.0,511
MTR,223,0.0,511
MZ,187,0.0,496
NDB,126,0.0,324
NH,213,0.0,540
NKK,115,0.0,323
NM,91,0.0,308
NMD,96,0.0,329
NMGO,94,0.0,329
NMH,94,0.0,329
NML,90,0.0,322
NS,88,0.0,115
NSCH,211,0.0,198
NVD,29,0.0,89
NVP,169,0.0,579
NWK,166,0.0,481
O,115,0.0,329
OBD,201,0.0,695
ODB,208,0.0,764
ODZ,13,34.03225806451613,19
OMN,46,0.0,93
OP,100,0.0,322
OST,65,0.0,155
OT,155,0.0,466
OTB,76,0.0,308
OVN,170,0.0,619
OW,116,0.0,350
PMO,174,0.0,604
PMR,173,0.0,603
PMW,172,0.0,606
PT,109,0.0,132
RAI,147,0.0,327
RAT,43,0.0,101
RB,230,0.0,795
RD,205,0.0,199
RH,62,0.0,51
RHN,149,0.0,365
RL,65,0.0,50
RLB,188,0.0,560
RM,176,0.0,458
RS,127,0.0,350
RSD,201,0.0,759
RSN,29,0.0,89
RSW,189,0.0,496
RTA,171,0.0,481
RTB,182,0.0,551
RTD,181,0.0,481
RTN,176,0.0,483
RTST,186,0.0,560
RTZ,185,0.0,560
RV,165,0.0,444
RVS,107,0.0,308
SBK,208,0.0,539
SD,117,0.0,337
SDA,194,0.0,189
SDM,185,0.0,551
SDT,167,0.0,399
SDTB,170,0.0,400
SGL,232,0.0,525
SGN,209,0.0,695
SHL,159,0.0,401
SK,178,0.0,132
SKND,177,0.0,132
SM,171,0.0,458
SN,210,0.0,540
SOG,230,0.0,526
SPTN,175,0.0,637
SPTZ,173,0.0,637
SRN,194,0.0,536
SSH,180,0.0,579
ST,118,0.0,337
STD,201,0.0,507
STM,189,0.0,195
STV,207,0.0,140
STZ,119,0.0,327
SWD,178,0.0,183
SWK,103,0.0,165
TB,156,0.0,423
TBG,106,0.0,97
TBR,161,0.0,436
TBU,157,0.0,436
TG,158,0.0,425
TL,116,0.0,325
TPSW,118,0.0,325
TWL,60,0.0,155
