Station Code,distance_HGLO,services_per_day_HGLO,n_of_disruptions_HGLO
AC,153,0,451
AH,76,0,70
AHP,75,0,74
AHPR,73,0,73
AHZ,84,0,327
AKL,153,0,388
AKM,138,0,165
ALM,142,0,126
ALMB,136,0,126
ALMM,143,0,257
ALMO,134,0,115
ALMP,140,0,131
AMF,108,0,102
AMFS,111,0,342
AML,16,0,19
AMPO,145,0,258
AMR,192,0,628
AMRI,14,0,20
AMRN,193,0,703
ANA,222,0,714
APD,65,0,67
APDM,64,0,68
APDO,67,0,155
APG,201,0,195
APN,164,0,352
ARN,270,0,814
ASA,150,0,346
ASB,150,0,346
ASD,153,0,343
ASDL,160,0,622
ASDM,149,0,361
ASDZ,152,0,346
ASHD,151,0,360
ASN,139,0,115
ASS,157,0,601
ASSP,148,0,361
ATN,104,0,81
AVAT,114,0,348
BD,181,0,455
BDE,220,0,529
BDG,156,0,343
BDM,182,0,184
BDPB,186,0,778
BET,160,0,485
BF,186,0,184
BGN,218,0,783
BHDV,164,0,408
BHV,120,0,346
BK,213,0,529
BKF,211,0,686
BKG,210,0,682
BKL,141,0,418
BL,123,0,120
BLL,175,0,638
BMN,54,0,67
BMR,120,0,362
BN,7,0,19
BNC,108,0,350
BNK,126,0,381
BNN,111,0,366
BNZ,106,0,350
BP,180,0,132
BR,155,0,391
BRD,190,0,538
BRN,117,0,342
BSD,139,0,387
BSK,170,0,433
BSKS,171,0,456
BSMZ,129,0,343
BTL,150,0,442
BV,182,0,661
BZL,250,0,814
CAS,180,0,625
CK,110,0,359
CL,140,0,387
CO,56,0,106
CPS,174,0,500
CVM,230,0,546
DA,27,0,89
DB,122,0,349
DDN,7,34.0,19
DDR,181,0,421
DDRS,178,0,419
DDZD,182,0,538
DEI,160,0,132
DID,93,0,79
DL,57,0,93
DLD,117,0,342
DLN,60,0,120
DMN,146,0,360
DMNZ,146,0,360
DN,183,0,443
DR,60,0,67
DRH,180,0,657
DRON,93,0,115
DRP,167,0,146
DT,198,0,515
DTC,104,0,99
DTCH,102,0,99
DTCP,198,0,570
DV,55,0,89
DVC,51,0,96
DVD,148,0,343
DVN,83,0,76
DVNK,182,0,450
DWE,173,0,132
DZ,205,0,213
DZW,204,0,213
EC,193,0,526
ED,93,0,327
EDC,95,0,349
EDN,235,0,530
EEM,212,0,212
EGH,229,0,545
EGHM,230,0,545
EHS,169,0,561
EHV,170,0,442
EKZ,214,0,694
EML,104,0,118
EMN,76,0,121
EMNZ,72,0,120
ES,10,0,19
ESK,6,0,19
EST,87,0,327
ETN,192,0,778
FN,173,0,132
FWD,170,0,132
GBG,49,0,106
GD,161,0,415
