Station Code,Distance from HGZ,Services from/to HGZ,Disruptions on path to HGZ
AC,228,0.0,436
AH,193,0.0,169
AHP,192,0.0,173
AHPR,190,0.0,172
AHZ,201,0.0,426
AKL,251,0.0,447
AKM,87,0.0,57
ALM,198,0.0,95
ALMB,192,0.0,95
ALMM,199,0.0,226
ALMO,190,0.0,95
ALMP,196,0.0,100
AMF,183,0.0,90
AMFS,180,0.0,90
AML,162,0.0,111
AMPO,201,0.0,227
AMR,267,0.0,375
AMRI,164,0.0,181
AMRN,268,0.0,450
ANA,297,0.0,461
APD,163,0.0,90
APDM,164,0.0,125
APDO,160,0.0,166
APG,49,0.0,50
APN,239,0.0,340
ARN,382,0.0,600
ASA,225,0.0,229
ASB,225,0.0,229
ASD,228,0.0,90
ASDL,235,0.0,348
ASDM,224,0.0,330
ASDZ,227,0.0,226
ASHD,226,0.0,243
ASN,39,0.0,23
ASS,232,0.0,348
ASSP,223,0.0,234
ATN,221,0.0,180
AVAT,177,0.0,96
BD,295,0.0,489
BDE,337,0.0,627
BDG,231,0.0,331
BDM,30,0.0,39
BDPB,300,0.0,812
BET,274,0.0,403
BF,34,0.0,39
BGN,330,0.0,599
BHDV,262,0.0,467
BHV,195,0.0,334
BK,330,0.0,628
BKF,286,0.0,433
BKG,285,0.0,429
BKL,216,0.0,403
BL,55,0.0,76
BLL,250,0.0,385
BMN,171,0.0,166
BMR,237,0.0,461
BN,171,0.0,181
BNC,202,0.0,331
BNK,212,0.0,403
BNN,199,0.0,330
BNZ,204,0.0,347
BP,45,0.0,38
BR,272,0.0,490
BRD,271,0.0,564
BRN,192,0.0,330
BSD,237,0.0,446
BSK,245,0.0,421
BSKS,246,0.0,444
BSMZ,204,0.0,91
BTL,264,0.0,476
BV,257,0.0,369
BZL,362,0.0,630
CAS,255,0.0,372
CK,227,0.0,458
CL,222,0.0,431
CO,172,0.0,110
CPS,249,0.0,488
CVM,347,0.0,645
DA,159,0.0,100
DB,216,0.0,403
DDN,181,0.0,200
DDR,279,0.0,478
DDRS,276,0.0,478
DDZD,280,0.0,595
DEI,73,0.0,55
DID,210,0.0,178
DL,129,0.0,90
DLD,192,0.0,330
DLN,176,0.0,124
DMN,221,0.0,233
DMNZ,221,0.0,91
DN,300,0.0,542
DR,177,0.0,166
DRH,255,0.0,386
DRON,149,0.0,90
DRP,80,0.0,69
DT,273,0.0,503
DTC,221,0.0,198
DTCH,219,0.0,198
DTCP,273,0.0,558
DV,148,0.0,100
DVC,152,0.0,166
DVD,223,0.0,226
DVN,200,0.0,175
DVNK,257,0.0,438
DWE,52,0.0,61
DZ,53,0.0,68
DZW,52,0.0,68
EC,310,0.0,625
ED,210,0.0,426
EDC,212,0.0,448
EDN,352,0.0,629
EEM,60,0.0,67
EGH,346,0.0,644
EGHM,347,0.0,644
EHS,283,0.0,479
EHV,284,0.0,479
EKZ,289,0.0,441
EML,160,0.0,93
EMN,192,0.0,125
EMNZ,188,0.0,124
ES,184,0.0,200
ESK,180,0.0,200
EST,204,0.0,426
ETN,306,0.0,812
FN,86,0.0,55
FWD,55,0.0,38
GBG,165,0.0,110
GD,236,0.0,403
GDG,233,0.0,403
GDM,230,0.0,403
GDR,226,0.0,215
GERP,13,63.45161290322581,2
GK,34,0.0,38
GLN,326,0.0,627
GN,15,63.45161290322581,23
GND,265,0.0,467
GNN,19,0.0,38
GO,191,0.0,233
GP,290,0.0,541
GR,256,0.0,465
GS,367,0.0,600
GV,265,0.0,488
GVC,264,0.0,406
GVM,265,0.0,523
GVMW,266,0.0,503
GW,82,0.0,55
GZ,285,0.0,491
HAD,251,0.0,369
HB,337,0.0,658
HBZM,268,0.0,477
HD,156,0.0,90
HDB,159,0.0,97
HDE,135,0.0,90
HDG,59,0.0,38
HDR,309,0.0,470
HDRZ,308,0.0,470
HFD,243,0.0,300
HGL,176,0.0,181
HGLG,178,0.0,200
HGLO,178,0.0,200
HGV,69,0.0,76
HGZ,0,0.0,0
HIL,258,0.0,369
HK,254,0.0,408
HKS,281,0.0,425
HLG,95,0.0,56
HLGH,96,0.0,60
HLM,247,0.0,348
HLMS,246,0.0,369
HLO,262,0.0,375
HM,297,0.0,541
HMBH,298,0.0,545
HMBV,294,0.0,541
HMH,296,0.0,541
HMN,218,0.0,440
HN,271,0.0,369
HNK,272,0.0,425
HNO,129,0.0,90
HNP,111,0.0,58
HON,167,0.0,166
HOR,205,0.0,91
HR,98,0.0,55
HRL,341,0.0,627
HRLW,343,0.0,644
HRN,17,0.0,23
HRT,282,0.0,542
HT,252,0.0,403
HTN,212,0.0,403
HTNC,213,0.0,431
HTO,253,0.0,476
HVL,189,0.0,330
HVS,199,0.0,90
HVSM,200,0.0,91
HVSP,200,0.0,91
HWD,274,0.0,451
HWZB,239,0.0,369
HZE,295,0.0,547
IJT,94,0.0,56
KBD,349,0.0,600
KBK,172,0.0,126
KLP,217,0.0,448
KMA,246,0.0,382
KMR,349,0.0,644
KMW,116,0.0,63
KPN,132,0.0,90
KPNZ,132,0.0,90
KRD,349,0.0,655
KRG,356,0.0,600
KTR,225,0.0,440
KW,3,63.45161290322581,0
KZ,240,0.0,372
LAA,265,0.0,435
LC,181,0.0,166
LDL,253,0.0,421
LDM,244,0.0,447
LEDN,254,0.0,428
LG,344,0.0,644
LLS,174,0.0,81
LLZM,249,0.0,488
LP,41,0.0,50
LTN,209,0.0,347
LTV,199,0.0,168
LUT,326,0.0,627
LW,69,0.0,38
LWC,66,0.0,48
MAS,211,0.0,403
MDB,386,0.0,627
MES,349,0.0,629
MG,79,0.0,55
MMLH,222,0.0,447
MP,89,0.0,76
MRB,151,0.0,97
MRN,224,0.0,435
MT,343,0.0,627
MTH,2,63.45161290322581,0
MTN,346,0.0,629
MTR,344,0.0,629
MZ,305,0.0,552
NDB,205,0.0,91
NH,334,0.0,658
NKK,172,0.0,93
NM,212,0.0,426
NMD,217,0.0,447
NMGO,215,0.0,447
NMH,215,0.0,447
NML,211,0.0,440
NS,144,0.0,90
NSCH,33,20.258064516129032,13
NVD,149,0.0,99
NVP,248,0.0,428
NWK,245,0.0,488
O,236,0.0,447
OBD,280,0.0,369
ODB,310,0.0,600
ODZ,187,0.0,200
OMN,140,0.0,97
OP,221,0.0,440
OST,138,0.0,90
OT,273,0.0,519
OTB,197,0.0,426
OVN,249,0.0,385
OW,237,0.0,468
PMO,253,0.0,348
PMR,252,0.0,369
PMW,251,0.0,372
PT,165,0.0,90
RAI,226,0.0,229
RAT,135,0.0,90
RB,346,0.0,600
RD,53,0.0,54
RH,183,0.0,169
RHN,247,0.0,438
RL,186,0.0,168
RLB,267,0.0,558
RM,297,0.0,576
RS,248,0.0,468
RSD,317,0.0,595
RSN,165,0.0,111
RSW,268,0.0,503
RTA,250,0.0,488
RTB,261,0.0,558
RTD,260,0.0,488
RTN,255,0.0,490
RTST,265,0.0,558
RTZ,264,0.0,558
RV,286,0.0,562
RVS,228,0.0,426
SBK,329,0.0,657
SD,196,0.0,344
SDA,16,30.32258064516129,4
SDM,264,0.0,558
SDT,269,0.0,477
SDTB,272,0.0,478
SGL,353,0.0,643
SGN,288,0.0,461
SHL,238,0.0,300
SK,91,0.0,55
SKND,90,0.0,55
SM,292,0.0,576
SN,331,0.0,658
SOG,351,0.0,644
SPTN,254,0.0,385
SPTZ,252,0.0,385
SRN,315,0.0,654
SSH,259,0.0,428
ST,197,0.0,344
STD,322,0.0,625
STM,37,0.0,50
STV,120,0.0,63
STZ,198,0.0,334
SWD,26,0.0,38
SWK,103,0.0,126
TB,274,0.0,476
TBG,227,0.0,215
TBR,279,0.0,489
TBU,275,0.0,489
TG,279,0.0,543
TL,237,0.0,443
TPSW,239,0.0,443
TWL,153,0.0,166
UHM,50,0.0,54
UHZ,47,0.0,54
UST,42,0.0,53
UT,204,0.0,330
UTG,251,0.0,407
UTLN,208,0.0,403
UTLR,207,0.0,403
UTO,201,0.0,330
UTT,209,0.0,403
UTVR,205,0.0,403
UTZL,206,0.0,403
VB,261,0.0,488
VD,176,0.0,166
VDL,345,0.0,644
VDM,16,32.0,4
VEM,168,0.0,166
VG,256,0.0,476
VH,262,0.0,438
VHP,157,0.0,100
VK,354,0.0,644
VL,274,0.0,542
VLB,244,0.0,489
VNDC,239,0.0,437
VNDW,238,0.0,437
VP,187,0.0,172
VRY,251,0.0,490
VS,392,0.0,627
VSS,391,0.0,600
VST,259,0.0,523
VSV,230,0.0,199
VTN,211,0.0,408
VZ,164,0.0,101
WAD,244,0.0,488
WADN,245,0.0,488
WADT,243,0.0,488
WC,221,0.0,426
WD,220,0.0,330
WDN,157,0.0,111
WF,201,0.0,426
WFM,39,0.0,53
WH,131,0.0,90
WK,107,0.0,58
WL,216,0.0,198
WM,244,0.0,372
WP,214,0.0,227
WR,43,17.548387096774192,22
WS,21,30.32258064516129,13
WSM,31,0.0,39
WT,312,0.0,541
WTV,196,0.0,175
WV,109,0.0,55
WW,209,0.0,180
WWW,208,0.0,180
WZ,126,0.0,90
YPB,257,0.0,406
ZA,215,0.0,440
ZB,8,65.16129032258064,0
ZBM,239,0.0,446
ZD,238,0.0,369
ZDK,241,0.0,372
ZH,27,0.0,38
