Station Code,Distance from HIL,Services from/to HIL,Disruptions on path to HIL
AC,45,0.0,293
AH,126,0.0,181
AHP,127,0.0,438
AHPR,129,0.0,438
AHZ,134,0.0,438
AKL,104,0.0,256
AKM,218,0.0,343
ALM,60,0.0,279
ALMB,66,0.0,410
ALMM,59,0.0,286
ALMO,68,0.0,410
ALMP,62,0.0,410
AMF,75,0.0,293
AMFS,78,0.0,533
AML,172,0.0,599
AMPO,57,0.0,286
AMR,46,0.0,80
AMRI,174,0.0,669
AMRN,47,0.0,155
ANA,76,0.0,166
APD,118,0.0,533
APDM,119,0.0,568
APDO,121,0.0,568
APG,281,0.0,373
APN,33,0.0,17
ARN,179,0.032258064516129,201
ASA,36,0.0,279
ASB,40,0.0,279
ASD,30,0.0,21
ASDL,29,0.0,21
ASDM,34,0.0,279
ASDZ,42,0.0,279
ASHD,41,0.0,293
ASN,219,0.0,293
ASS,26,3.548387096774193,0
ASSP,35,0.0,279
ATN,178,0.0,475
AVAT,81,0.0,539
BD,106,0.0,196
BDE,214,0.0,44
BDG,41,0.0,98
BDM,262,0.0,362
BDPB,101,0.0,248
BET,138,0.0,181
BF,266,0.0,362
BGN,127,0.032258064516129,247
BHDV,93,0.0,254
BHV,77,0.0,181
BK,209,0.0,45
BKF,80,0.0,85
BKG,79,0.0,81
BKL,57,0.0,420
BL,203,0.0,293
BLL,14,0.064516129032258,0
BMN,143,0.0,568
BMR,170,0.0,473
BN,181,0.0,669
BNC,94,0.0,534
BNK,76,0.0,181
BNN,91,0.0,533
BNZ,96,0.0,550
BP,260,0.0,550
BR,198,0.0,351
BRD,67,0.0,202
BRN,66,0.0,280
BSD,101,0.0,224
BSK,39,0.0,98
BSKS,40,0.0,121
BSMZ,54,0.0,297
BTL,128,0.0,254
BV,24,0.0,2
BZL,159,0.032258064516129,278
CAS,34,0.0,77
CK,160,0.0,470
CL,86,0.0,209
CO,196,0.0,313
CPS,64,0.0,206
CVM,188,0.0,43
DA,183,0.0,303
DB,80,0.0,181
DDN,176,0.0,583
DDR,76,0.032258064516129,126
DDRS,79,0.0,243
DDZD,77,0.0,243
DEI,240,0.0,550
DID,145,0.0,438
DL,153,0.0,293
DLD,78,0.0,294
DLN,200,0.0,327
DMN,37,0.0,279
DMNZ,40,0.0,319
DN,170,0.0,323
DR,142,0.0,438
DRH,19,0.0,1
DRON,109,0.0,424
DRP,247,0.0,564
DT,42,0.032258064516129,25
DTC,156,0.0,458
DTCH,154,0.0,458
DTCP,43,0.0,126
DV,133,0.0,533
DVC,137,0.0,568
DVD,38,0.0,316
DVN,135,0.0,440
DVNK,21,18.32258064516129,10
DWE,253,0.0,550
DZ,285,0.0,391
DZW,284,0.0,391
EC,213,0.0,46
ED,109,0.0,181
EDC,107,0.0,550
EDN,217,0.0,44
EEM,292,0.0,390
EGH,187,0.0,42
EGHM,188,0.0,42
EHS,147,0.0,257
EHV,148,0.0,257
EKZ,83,0.0,93
EML,98,0.0,533
EMN,216,0.0,328
EMNZ,212,0.0,327
ES,189,0.0,635
ESK,185,0.0,635
EST,137,0.0,438
ETN,117,0.0,519
FN,253,0.0,550
FWD,250,0.0,550
GBG,189,0.0,313
GD,51,0.0,121
GDG,54,0.0,206
GDM,94,0.0,181
GDR,161,0.0,475
GERP,245,0.0,346
GK,266,0.0,361
GLN,197,0.0,43
GN,247,0.0,346
GND,90,0.0,244
GNN,251,0.0,361
GO,166,0.0,575
GP,154,0.0,319
GR,99,0.0,254
GS,164,0.032258064516129,201
GV,34,0.032258064516129,10
GVC,33,18.32258064516129,10
GVM,29,18.32258064516129,95
GVMW,35,0.0,25
GW,223,0.0,350
GZ,116,0.0,519
HAD,7,53.38709677419355,0
HB,186,0.0,42
HBZM,87,0.0,244
HD,102,0.0,536
HDB,183,0.0,300
HDE,123,0.0,533
HDG,246,0.0,550
HDR,88,0.0,175
HDRZ,87,0.0,175
HFD,42,0.0,10
HGL,181,0.0,616
HGLG,179,0.0,616
HGLO,183,0.0,635
HGV,189,0.0,293
HGZ,258,0.0,369
HIL,0,0.0,0
HK,27,0.0,20
HKS,75,0.0,77
HLG,262,0.0,551
HLGH,263,0.0,555
HLM,11,53.38709677419355,40
HLMS,12,3.774193548387097,0
HLO,41,0.0,20
HM,161,0.0,319
HMBH,162,0.0,323
HMBV,158,0.0,319
HMH,160,0.0,319
HMN,125,0.0,227
HN,65,0.0,21
HNK,66,0.0,77
HNO,153,0.0,293
HNP,278,0.0,553
HON,152,0.0,568
HOR,65,0.0,279
HR,207,0.0,350
HRL,182,0.0,25
HRLW,184,0.0,42
HRN,241,0.0,346
HRT,188,0.0,351
HT,116,0.0,181
HTN,76,0.0,181
HTNC,77,0.0,209
HTO,117,0.0,254
HVL,81,0.0,533
HVS,59,0.0,279
HVSM,58,0.0,330
HVSP,60,0.0,280
HWD,53,0.0,156
HWZB,19,3.774193548387097,0
HZE,159,0.0,325
IJT,261,0.0,551
KBD,146,0.032258064516129,201
KBK,127,0.0,569
KLP,102,0.0,181
KMA,35,0.0,21
KMR,190,0.0,42
KMW,283,0.0,558
KPN,156,0.0,293
KPNZ,126,0.0,425
KRD,190,0.0,53
KRG,153,0.032258064516129,201
KTR,118,0.0,224
KW,255,0.0,367
KZ,34,0.0,24
LAA,32,18.35483870967742,10
LC,153,0.0,568
LDL,19,0.0,10
LDM,108,0.0,225
LEDN,18,52.45161290322581,0
LG,185,0.0,42
LLS,84,0.0,410
LLZM,48,0.0,39
LP,273,0.0,373
LTN,101,0.0,550
LTV,171,0.0,570
LUT,205,0.0,44
LW,236,0.0,533
LWC,239,0.0,550
