Station Code,distance_HLG,services_per_day_HLG,n_of_disruptions_HLG
AC,232,0,381
AH,197,0,111
AHP,196,0,115
AHPR,194,0,114
AHZ,205,0,368
AKL,255,0,470
AKM,44,0,20
ALM,202,0,32
ALMB,196,0,32
ALMM,203,0,163
ALMO,194,0,32
ALMP,200,0,37
AMF,187,0,32
AMFS,184,0,32
AML,166,0,44
AMPO,205,0,164
AMR,271,0,448
AMRI,168,0,114
AMRN,272,0,523
ANA,301,0,534
APD,167,0,32
APDM,168,0,67
APDO,164,0,108
APG,114,0,45
APN,243,0,282
ARN,386,0,656
ASA,229,0,166
ASB,229,0,166
ASD,232,0,163
ASDL,239,0,442
ASDM,228,0,171
ASDZ,231,0,163
ASHD,230,0,180
ASN,108,0,33
ASS,236,0,421
ASSP,227,0,171
ATN,225,0,122
AVAT,181,0,38
BD,299,0,431
BDE,341,0,570
BDG,235,0,273
BDM,95,0,34
BDPB,304,0,754
BET,278,0,461
BF,99,0,34
BGN,334,0,625
BHDV,266,0,490
BHV,199,0,276
BK,334,0,570
BKF,290,0,506
BKG,289,0,502
BKL,220,0,348
BL,124,0,86
BLL,254,0,458
BMN,175,0,108
BMR,241,0,403
BN,175,0,114
BNC,206,0,273
BNK,216,0,345
BNN,203,0,272
BNZ,208,0,289
BP,50,0,18
BR,276,0,432
BRD,275,0,515
BRN,196,0,272
BSD,241,0,469
BSK,249,0,363
BSKS,250,0,386
BSMZ,208,0,273
BTL,268,0,418
BV,261,0,481
BZL,366,0,656
CAS,259,0,445
CK,231,0,400
CL,226,0,373
CO,176,0,52
CPS,253,0,430
CVM,351,0,587
DA,163,0,42
DB,220,0,345
DDN,185,0,133
DDR,283,0,503
DDRS,280,0,501
DDZD,284,0,620
DEI,22,17.70967741935484,2
DID,214,0,120
DL,133,0,32
DLD,196,0,272
DLN,180,0,66
DMN,225,0,170
DMNZ,225,0,170
DN,304,0,484
DR,181,0,108
DRH,259,0,477
DRON,153,0,32
DRP,15,17.70967741935484,1
DT,277,0,445
DTC,225,0,140
DTCH,223,0,140
DTCP,277,0,500
DV,152,0,42
DVC,156,0,108
DVD,227,0,163
DVN,204,0,117
DVNK,261,0,380
DWE,43,0,18
DZ,118,0,63
DZW,117,0,63
EC,314,0,567
ED,214,0,368
EDC,216,0,390
EDN,356,0,571
EEM,125,0,62
EGH,350,0,586
EGHM,351,0,586
EHS,287,0,537
EHV,288,0,418
EKZ,293,0,514
EML,164,0,35
EMN,196,0,67
EMNZ,192,0,66
ES,188,0,133
ESK,184,0,133
EST,208,0,368
ETN,310,0,754
FN,9,32.25806451612903,0
FWD,40,0,18
GBG,169,0,52
GD,240,0,345
GDG,237,0,273
GDM,234,0,426
GDR,230,0,157
GERP,82,0,33
GK,61,0,41
GLN,330,0,569
GN,80,0,18
GND,269,0,490
GNN,84,0,33
GO,195,0,166
GP,294,0,480
GR,260,0,488
GS,371,0,656
GV,269,0,430
GVC,268,0,430
GVM,269,0,465
GVMW,270,0,445
GW,39,0,18
GZ,289,0,433
HAD,255,0,458
HB,341,0,600
HBZM,272,0,500
HD,160,0,32
HDB,163,0,39
HDE,139,0,32
HDG,36,0,18
HDR,313,0,543
HDRZ,312,0,543
HFD,247,0,287
HGL,180,0,114
HGLG,182,0,133
HGLO,182,0,133
HGV,113,0,75
HGZ,95,0,56
HIL,262,0,498
HK,258,0,481
HKS,285,0,498
HLG,0,0,0
HLGH,1,32.25806451612903,0
HLM,251,0,421
HLMS,250,0,442
HLO,266,0,448
HM,301,0,480
HMBH,302,0,484
HMBV,298,0,480
HMH,300,0,480
HMN,222,0,382
HN,275,0,442
HNK,276,0,498
HNO,133,0,32
HNP,68,0,21
HON,171,0,108
HOR,209,0,273
HR,55,0,18
HRL,345,0,569
HRLW,347,0,586
HRN,86,0,56
HRT,286,0,484
HT,256,0,345
HTN,216,0,345
