Station Code,distance_HLGH,services_per_day_HLGH,n_of_disruptions_HLGH
AC,233,0,385
AH,198,0,115
AHP,197,0,119
AHPR,195,0,118
AHZ,206,0,372
AKL,256,0,474
AKM,45,0,24
ALM,203,0,36
ALMB,197,0,36
ALMM,204,0,167
ALMO,195,0,36
ALMP,201,0,41
AMF,188,0,36
AMFS,185,0,36
AML,167,0,48
AMPO,206,0,168
AMR,272,0,452
AMRI,169,0,118
AMRN,273,0,527
ANA,302,0,538
APD,168,0,36
APDM,169,0,71
APDO,165,0,112
APG,115,0,49
APN,244,0,286
ARN,387,0,660
ASA,230,0,170
ASB,230,0,170
ASD,233,0,167
ASDL,240,0,446
ASDM,229,0,175
ASDZ,232,0,167
ASHD,231,0,184
ASN,109,0,37
ASS,237,0,425
ASSP,228,0,175
ATN,226,0,126
AVAT,182,0,42
BD,300,0,435
BDE,342,0,574
BDG,236,0,277
BDM,96,0,38
BDPB,305,0,758
BET,279,0,465
BF,100,0,38
BGN,335,0,629
BHDV,267,0,494
BHV,200,0,280
BK,335,0,574
BKF,291,0,510
BKG,290,0,506
BKL,221,0,352
BL,125,0,90
BLL,255,0,462
BMN,176,0,112
BMR,242,0,407
BN,176,0,118
BNC,207,0,277
BNK,217,0,349
BNN,204,0,276
BNZ,209,0,293
BP,51,0,22
BR,277,0,436
BRD,276,0,519
BRN,197,0,276
BSD,242,0,473
BSK,250,0,367
BSKS,251,0,390
BSMZ,209,0,277
BTL,269,0,422
BV,262,0,485
BZL,367,0,660
CAS,260,0,449
CK,232,0,404
CL,227,0,377
CO,177,0,56
CPS,254,0,434
CVM,352,0,591
DA,164,0,46
DB,221,0,349
DDN,186,0,137
DDR,284,0,507
DDRS,281,0,505
DDZD,285,0,624
DEI,23,17.70967741935484,6
DID,215,0,124
DL,134,0,36
DLD,197,0,276
DLN,181,0,70
DMN,226,0,174
DMNZ,226,0,174
DN,305,0,488
DR,182,0,112
DRH,260,0,481
DRON,154,0,36
DRP,16,17.70967741935484,5
DT,278,0,449
DTC,226,0,144
DTCH,224,0,144
DTCP,278,0,504
DV,153,0,46
DVC,157,0,112
DVD,228,0,167
DVN,205,0,121
DVNK,262,0,384
DWE,44,0,22
DZ,119,0,67
DZW,118,0,67
EC,315,0,571
ED,215,0,372
EDC,217,0,394
EDN,357,0,575
EEM,126,0,66
EGH,351,0,590
EGHM,352,0,590
EHS,288,0,541
EHV,289,0,422
EKZ,294,0,518
EML,165,0,39
EMN,197,0,71
EMNZ,193,0,70
ES,189,0,137
ESK,185,0,137
EST,209,0,372
ETN,311,0,758
FN,10,32.25806451612903,4
FWD,41,0,22
GBG,170,0,56
GD,241,0,349
GDG,238,0,277
GDM,235,0,430
GDR,231,0,161
GERP,83,0,37
GK,62,0,45
GLN,331,0,573
