Station Code,Distance from HMBV,Services from/to HMBV,Disruptions on path to HMBV
AC,114,0.0,168
AH,104,0.0,159
AHP,105,0.0,416
AHPR,107,0.0,416
AHZ,96,0.0,191
AKL,85,0.0,179
AKM,254,0.0,512
ALM,139,0.0,221
ALMB,145,0.0,352
ALMM,138,0.0,220
ALMO,147,0.0,352
ALMP,141,0.0,352
AMF,111,0.0,208
AMFS,114,0.0,448
AML,188,0.0,485
AMPO,136,0.0,220
AMR,168,0.0,493
AMRI,190,0.0,555
AMRN,169,0.0,568
ANA,198,0.0,579
APD,151,0.0,419
APDM,150,0.0,420
APDO,154,0.0,454
APG,317,0.0,542
APN,125,0.0,218
ARN,157,0.0,390
ASA,123,0.0,208
ASB,119,0.0,208
ASD,129,0.0,208
ASDL,136,0.0,466
ASDM,125,0.0,245
ASDZ,125,0.0,222
ASHD,118,0.0,295
ASN,255,0.0,462
ASS,133,0.0,466
ASSP,126,0.0,259
ATN,156,0.0,453
AVAT,117,0.0,454
BD,68,0.0,62
BDE,102,0.0,113
BDG,117,0.0,209
BDM,298,0.0,531
BDPB,73,0.0,385
BET,20,27.90322580645161,62
BF,302,0.0,531
BGN,105,0.0,390
BHDV,96,0.0,199
BHV,99,0.0,208
BK,95,0.0,114
BKF,187,0.0,551
BKG,186,0.0,547
BKL,102,0.0,135
BL,239,0.0,462
BLL,151,0.0,503
BMN,126,0.0,419
BMR,75,0.0,85
BN,183,0.0,486
BNC,130,0.0,449
BNK,96,0.0,259
BNN,127,0.0,448
BNZ,132,0.0,465
BP,296,0.0,465
BR,40,0.0,32
BRD,107,0.0,502
BRN,114,0.0,232
BSD,71,0.0,178
BSK,131,0.0,299
BSKS,132,0.0,322
BSMZ,113,0.0,209
BTL,30,27.90322580645161,62
BV,158,0.0,487
BZL,137,0.0,421
CAS,156,0.0,490
CK,85,0.0,113
CL,72,0.0,178
CO,228,0.0,572
CPS,129,0.0,457
CVM,112,0.0,131
DA,199,0.0,555
DB,100,0.0,303
DDN,173,0.0,434
DDR,98,0.0,385
DDRS,101,0.0,502
DDZD,97,0.0,408
DEI,276,0.0,465
DID,123,0.0,416
DL,189,0.0,462
DLD,102,0.0,228
DLN,232,0.0,586
DMN,128,0.0,259
DMNZ,123,0.0,211
DN,12,29.516129032258064,4
DR,120,0.0,416
DRH,156,0.0,504
DRON,188,0.0,366
DRP,283,0.0,479
DT,132,0.0,502
DTC,134,0.0,436
DTCH,132,0.0,436
DTCP,131,0.0,455
DV,149,0.0,419
DVC,153,0.0,485
DVD,121,0.0,208
DVN,113,0.0,418
DVNK,143,0.0,316
DWE,289,0.0,465
DZ,321,0.0,560
DZW,320,0.0,560
EC,75,0.0,111
ED,121,0.0,416
EDC,123,0.0,438
EDN,117,0.0,115
EEM,328,0.0,559
EGH,111,0.0,130
EGHM,112,0.0,130
EHS,11,27.90322580645161,62
EHV,10,29.258064516129032,0
EKZ,190,0.0,559
EML,134,0.0,448
EMN,248,0.0,587
EMNZ,244,0.0,586
ES,186,0.0,486
ESK,182,0.0,486
EST,93,0.0,177
ETN,79,0.0,385
FN,289,0.0,465
FWD,286,0.0,465
GBG,221,0.0,572
GD,122,0.0,208
GDG,119,0.0,208
GDM,64,0.0,135
GDR,139,0.0,453
GERP,281,0.0,515
GK,302,0.0,530
GLN,91,0.0,113
GN,283,0.0,515
GND,99,0.0,199
GNN,287,0.0,530
GO,163,0.0,426
GP,16,0.0,62
GR,90,0.0,197
GS,142,0.0,390
GV,140,0.0,603
GVC,141,0.0,618
GVM,145,0.0,618
GVMW,139,0.0,603
GW,259,0.0,519
GZ,58,0.0,77
HAD,152,0.0,487
HB,102,0.0,144
HBZM,102,0.0,209
HD,138,0.0,451
HDB,215,0.0,559
HDE,159,0.0,448
HDG,282,0.0,465
HDR,210,0.0,588
HDRZ,209,0.0,588
HFD,141,0.0,296
HGL,178,0.0,467
HGLG,176,0.0,467
HGLO,180,0.0,486
HGV,225,0.0,462
HGZ,294,0.0,538
HIL,158,0.0,316
HK,155,0.0,526
HKS,182,0.0,543
HLG,298,0.0,466
HLGH,299,0.0,470
HLM,148,0.0,466
HLMS,147,0.0,487
HLO,163,0.0,493
HM,3,29.516129032258064,0
HMBH,4,29.516129032258064,4
HMBV,0,0.0,0
HMH,2,29.516129032258064,0
HMN,95,0.0,181
HN,172,0.0,487
HNK,173,0.0,543
HNO,189,0.0,462
HNP,314,0.0,468
HON,168,0.0,419
HOR,102,0.0,208
HR,243,0.0,519
HRL,106,0.0,113
HRLW,108,0.0,130
HRN,277,0.0,515
HRT,30,0.0,32
HT,42,27.90322580645161,62
HTN,82,0.0,231
HTNC,81,0.0,231
HTO,43,0.935483870967742,135
HVL,117,0.0,448
HVS,108,0.0,208
HVSM,109,0.0,209
HVSP,107,0.0,208
HWD,175,0.0,569
HWZB,140,0.0,487
HZE,21,0.0,68
IJT,297,0.0,466
KBD,124,0.0,390
KBK,142,0.0,419
KLP,122,0.0,335
KMA,147,0.0,500
KMR,114,0.0,130
KMW,319,0.0,473
KPN,192,0.0,462
KPNZ,192,0.0,462
KRD,114,0.0,141
KRG,131,0.0,390
KTR,88,0.0,178
KW,291,0.0,536
KZ,141,0.0,490
LAA,142,0.0,618
LC,150,0.0,419
LDL,139,0.0,299
LDM,78,0.0,179
LEDN,140,0.0,306
LG,109,0.0,130
LLS,163,0.0,352
LLZM,135,0.0,293
LP,309,0.0,542
LTN,129,0.0,439
LTV,168,0.0,421
LUT,91,0.0,113
LW,272,0.0,448
LWC,275,0.0,465
MAS,97,0.0,208
MDB,161,0.0,417
MES,114,0.0,115
MG,282,0.0,465
MMLH,90,0.0,116
MP,205,0.0,462
MRB,207,0.0,556
MRN,108,0.0,335
MT,108,0.0,113
MTH,292,0.0,538
MTN,111,0.0,115
MTR,109,0.0,115
MZ,31,0.0,73
NDB,114,0.0,209
