Station Code,Distance from HMH,Services from/to HMH,Disruptions on path to HMH
AC,116,0.0,168
AH,106,0.0,159
AHP,107,0.0,416
AHPR,109,0.0,416
AHZ,98,0.0,191
AKL,87,0.0,179
AKM,256,0.0,512
ALM,141,0.0,221
ALMB,147,0.0,352
ALMM,140,0.0,220
ALMO,149,0.0,352
ALMP,143,0.0,352
AMF,113,0.0,208
AMFS,116,0.0,448
AML,190,0.0,485
AMPO,138,0.0,220
AMR,170,0.0,493
AMRI,192,0.0,555
AMRN,171,0.0,568
ANA,200,0.0,579
APD,153,0.0,419
APDM,152,0.0,420
APDO,156,0.0,454
APG,319,0.0,542
APN,127,0.0,218
ARN,159,0.0,390
ASA,125,0.0,208
ASB,121,0.0,208
ASD,131,0.0,208
ASDL,138,0.0,466
ASDM,127,0.0,245
ASDZ,127,0.0,222
ASHD,120,0.0,295
ASN,257,0.0,462
ASS,135,0.0,466
ASSP,128,0.0,259
ATN,158,0.0,453
AVAT,119,0.0,454
BD,70,0.0,62
BDE,103,0.0,117
BDG,119,0.0,209
BDM,300,0.0,531
BDPB,75,0.0,385
BET,22,27.90322580645161,62
BF,304,0.0,531
BGN,107,0.0,390
BHDV,98,0.0,199
BHV,101,0.0,208
BK,96,0.0,118
BKF,189,0.0,551
BKG,188,0.0,547
BKL,104,0.0,135
BL,241,0.0,462
BLL,153,0.0,503
BMN,128,0.0,419
BMR,73,0.0,85
BN,185,0.0,486
BNC,132,0.0,449
BNK,98,0.0,259
BNN,129,0.0,448
BNZ,134,0.0,465
BP,298,0.0,465
BR,38,0.0,32
BRD,109,0.0,502
BRN,116,0.0,232
BSD,73,0.0,178
BSK,133,0.0,299
BSKS,134,0.0,322
BSMZ,115,0.0,209
BTL,32,27.90322580645161,62
BV,160,0.0,487
BZL,139,0.0,421
CAS,158,0.0,490
CK,83,0.0,113
CL,74,0.0,178
CO,230,0.0,572
CPS,131,0.0,457
CVM,113,0.0,135
DA,201,0.0,555
DB,102,0.0,303
DDN,175,0.0,434
DDR,100,0.0,385
DDRS,103,0.0,502
DDZD,99,0.0,408
DEI,278,0.0,465
DID,125,0.0,416
DL,191,0.0,462
DLD,104,0.0,228
DLN,234,0.0,586
DMN,130,0.0,259
DMNZ,125,0.0,211
DN,10,29.516129032258064,4
DR,122,0.0,416
DRH,158,0.0,504
DRON,190,0.0,366
DRP,285,0.0,479
DT,134,0.0,502
DTC,136,0.0,436
DTCH,134,0.0,436
DTCP,133,0.0,455
DV,151,0.0,419
DVC,155,0.0,485
DVD,123,0.0,208
