Station Code,Distance from HMN,Services from/to HMN,Disruptions on path to HMN
AC,81,0.0,152
AH,25,28.032258064516128,14
AHP,26,0.0,271
AHPR,28,0.0,271
AHZ,17,0.0,14
AKL,52,0.0,47
AKM,178,0.0,414
ALM,106,0.0,132
ALMB,112,0.0,263
ALMM,105,0.0,131
ALMO,114,0.0,263
ALMP,108,0.0,263
AMF,76,0.0,311
AMFS,79,0.0,551
AML,109,0.0,340
AMPO,103,0.0,131
AMR,135,0.0,404
AMRI,111,0.0,410
AMRN,136,0.0,479
ANA,165,0.0,490
APD,72,0.0,274
APDM,71,0.0,275
APDO,75,0.0,309
APG,241,0.0,444
APN,92,0.0,129
ARN,183,0.0,200
ASA,90,0.0,119
ASB,86,0.0,46
ASD,96,0.0,119
ASDL,103,0.0,377
ASDM,92,0.0,156
ASDZ,92,0.0,60
ASHD,85,0.0,279
ASN,179,0.0,364
ASS,100,0.0,377
ASSP,93,0.0,170
ATN,77,0.0,308
AVAT,82,0.0,557
BD,96,0.0,132
BDE,147,0.0,215
BDG,84,0.0,120
BDM,222,0.0,433
BDPB,101,0.0,455
BET,75,0.0,119
BF,226,0.0,433
BGN,131,0.0,199
BHDV,63,0.0,67
BHV,66,0.0,119
BK,140,0.0,216
BKF,154,0.0,462
BKG,153,0.0,458
BKL,69,0.0,119
BL,163,0.0,364
BLL,118,0.0,414
BMN,47,0.0,274
BMR,47,0.0,49
BN,104,0.0,341
BNC,57,0.0,294
BNK,63,0.0,127
BNN,60,0.0,310
BNZ,55,0.0,294
BP,220,0.0,381
BR,82,0.0,78
BRD,89,0.0,195
BRN,81,0.0,143
BSD,38,0.0,46
BSK,98,0.0,210
BSKS,99,0.0,233
BSMZ,80,0.0,120
BTL,65,0.0,119
BV,125,0.0,398
BZL,163,0.0,230
CAS,123,0.0,401
CK,37,0.0,46
CL,39,0.0,46
CO,149,0.0,427
CPS,102,0.0,204
CVM,157,0.0,233
DA,120,0.0,410
DB,67,0.0,171
DDN,94,0.0,289
DDR,80,0.0,78
DDRS,77,0.0,78
DDZD,81,0.0,195
DEI,200,0.0,381
DID,44,0.0,271
DL,113,0.0,364
DLD,69,0.0,139
DLN,153,0.0,441
DMN,95,0.0,170
DMNZ,90,0.0,122
DN,107,0.0,166
DR,41,0.0,271
