station,distance,services_per_day,n_of_disruptions
AC,59,0,349
AH,140,0,616
AHP,141,0,873
AHPR,143,0,875
AHZ,148,0,873
AKL,130,0,533
AKM,232,0,487
ALM,74,0,335
ALMB,80,0,466
ALMM,73,0,356
ALMO,82,0,466
ALMP,76,0,466
AMF,89,0,336
AMFS,92,0,576
AML,186,0,642
AMPO,71,0,356
AMR,25,0,67
AMRI,188,0,712
AMRN,24,0,66
ANA,41,0,66
APD,132,0,576
APDM,133,0,611
APDO,135,0,611
APG,295,0,565
APN,99,0,144
ARN,245,0,233
ASA,50,24.129032258064516,335
ASB,54,7.741935483870968,335
ASD,44,38.096774193548384,77
ASDL,43,19.29032258064516,77
ASDM,48,0,335
ASDZ,56,0,335
ASHD,55,0,349
ASN,233,0,485
ASS,40,58.41935483870968,56
ASSP,49,0,349
ATN,192,0,910
AVAT,95,0,582
BD,172,0,197
BDE,255,0,595
BDG,107,0,225
BDM,276,0,554
BDPB,167,0,319
BET,153,0.06451612903225806,524
BF,280,0,554
BGN,193,0,202
BHDV,141,0,553
BHV,92,0,408
BK,248,0,595
BKF,14,40.41935483870968,8
BKG,13,40.41935483870968,4
BKL,81,0,352
BL,217,0,485
BLL,57,0,166
BMN,157,0,611
BMR,184,0,908
BN,195,0,712
BNC,108,0,577
BNK,91,0,408
BNN,105,0,576
BNZ,110,0,593
BP,274,0,497
BR,213,0,575
BRD,133,0,212
BRN,80,0,336
BSD,116,0,532
BSK,105,0,225
BSKS,106,0,248
BSMZ,68,0,367
BTL,143,0.03225806451612903,481
BV,47,0,146
BZL,225,0,233
CAS,37,0,142
CK,174,0,905
CL,101,0,436
CO,210,0,514
CPS,128,0,493
CVM,265,0,612
DA,197,0,712
DB,95,0,408
DDN,190,0,626
DDR,142,0,197
DDRS,145,0,314
DDZD,143,0,314
DEI,254,0,497
DID,159,0,873
DL,167,0,494
DLD,92,0,350
DLN,214,0,528
DMN,51,0,349
DMNZ,54,0,375
DN,185,0,547
DR,156,0,873
DRH,52,0,164
DRON,123,0,480
DRP,261,0,511
DT,108,0,171
DTC,170,0,893
DTCH,168,0,893
DTCP,109,0,272
DV,147,0,576
DVC,151,0,642
DVD,52,0,372
DVN,149,0,875
DVNK,87,18.419354838709676,137
DWE,267,0,497
DZ,299,0,583
DZW,298,0,583
EC,228,0,592
ED,123,0,594
EDC,121,0,593
EDN,270,0,596
EEM,306,0,582
EGH,264,0,611
EGHM,265,0,611
EHS,162,0,600
EHV,163,23.838709677419356,481
EKZ,17,40.41935483870968,16
EML,112,0,579
EMN,230,0,529
