Station Code,distance_HON,services_per_day_HON,n_of_disruptions_HON
AC,122,0,415
AH,64,0,69
AHP,63,0,73
AHPR,61,0,72
AHZ,72,0,326
AKL,141,0,387
AKM,127,0,140
ALM,124,0,319
ALMB,125,0,101
ALMM,123,0,318
ALMO,123,0,90
ALMP,126,0,450
AMF,77,0,66
AMFS,80,0,306
AML,20,30.612903225806452,7
AMPO,121,0,318
AMR,161,0,592
AMRI,22,6.419354838709677,77
AMRN,162,0,667
ANA,191,0,678
APD,34,27.838709677419356,66
APDM,35,0,101
APDO,31,27.838709677419356,66
APG,190,0,170
APN,133,0,316
ARN,258,0,813
ASA,119,0,310
ASB,119,0,310
ASD,122,0,307
ASDL,129,0,586
ASDM,118,0,325
ASDZ,121,0,310
ASHD,120,0,324
ASN,128,0,90
ASS,126,0,565
ASSP,117,0,325
ATN,92,0,80
AVAT,83,0,312
BD,169,0,454
BDE,208,0,528
BDG,125,0,307
BDM,171,0,159
BDPB,174,0,777
BET,148,0,484
BF,175,0,159
BGN,206,0,782
BHDV,152,0,407
BHV,89,0,310
BK,201,0,528
BKF,180,0,650
BKG,179,0,646
BKL,110,0,382
BL,112,0,95
BLL,144,0,602
BMN,42,0,66
BMR,108,0,361
BN,29,6.419354838709677,77
BNC,96,0,307
BNK,106,0,379
BNN,93,0,306
BNZ,94,0,349
BP,169,0,107
BR,143,0,390
BRD,165,0,549
BRN,86,0,306
BSD,127,0,386
BSK,139,0,397
BSKS,140,0,420
BSMZ,98,0,307
BTL,138,0,441
BV,151,0,625
BZL,238,0,813
CAS,149,0,589
CK,98,0,358
CL,116,0,407
CO,60,0,94
CPS,143,0,464
CVM,218,0,545
DA,31,0,77
DB,110,0,379
DDN,39,0,96
DDR,169,0,420
DDRS,166,0,418
DDZD,170,0,537
DEI,149,0,107
DID,81,0,78
DL,61,0,81
DLD,86,0,306
DLN,64,0,108
DMN,115,0,324
DMNZ,115,0,324
DN,171,0,442
DR,48,0,66
DRH,149,0,621
DRON,82,0,90
DRP,156,0,121
DT,167,0,479
DTC,92,0,98
DTCH,90,0,98
DTCP,167,0,534
DV,19,34.0,0
DVC,15,34.0,0
DVD,117,0,307
DVN,71,0,75
DVNK,151,0,414
DWE,162,0,107
DZ,194,0,188
DZW,193,0,188
EC,181,0,525
ED,81,0,326
EDC,83,0,348
EDN,223,0,529
EEM,201,0,187
EGH,217,0,544
EGHM,218,0,544
EHS,157,0,560
EHV,158,0,441
EKZ,183,0,658
EML,93,0,93
EMN,80,0,109
EMNZ,76,0,108
ES,42,6.419354838709677,96
ESK,38,6.419354838709677,96
EST,75,0,326
ETN,180,0,777
FN,162,0,107
FWD,159,0,107
GBG,53,0,94
GD,130,0,379
GDG,127,0,307
GDM,120,0,343
GDR,97,0,115
GERP,154,0,143
GK,175,0,158
GLN,197,0,527
GN,156,0,143
GND,155,0,407
