station,distance,services_per_day,n_of_disruptions
AC,36,0,109
AH,70,0,73
AHP,71,0,330
AHPR,73,0,332
AHZ,78,0,330
AKL,59,0,198
AKM,165,0,305
ALM,37,15.935483870967742,13
ALMB,43,0,144
ALMM,36,15.935483870967742,12
ALMO,45,0,144
ALMP,39,0,144
AMF,22,0,1
AMFS,25,0,241
AML,119,0,307
AMPO,34,15.935483870967742,12
AMR,74,0,286
AMRI,121,0,377
AMRN,75,0,361
ANA,104,0,372
APD,65,0,241
APDM,66,0,276
APDO,68,0,276
APG,228,0,335
APN,47,0,83
ARN,190,0,384
ASA,32,0,4
ASB,32,0,4
ASD,35,0,1
ASDL,42,0,280
ASDM,31,0,19
ASDZ,34,15.064516129032258,4
ASHD,33,0,18
ASN,166,0,255
ASS,39,0,259
ASSP,30,0,19
ATN,122,0,367
AVAT,28,0,247
BD,103,0,159
BDE,184,0,260
BDG,39,0,74
BDM,209,0,324
BDPB,108,0,482
BET,82,0,189
BF,213,0,324
BGN,138,0,353
BHDV,70,0,218
BHV,15,0,0
BK,177,0,260
BKF,93,0,344
BKG,92,0,340
BKL,24,0,76
BL,150,0,260
BLL,57,0,296
BMN,90,0,276
BMR,114,0,365
BN,128,0,377
BNC,41,0,242
BNK,20,0,73
BNN,38,0,241
BNZ,43,0,258
BP,207,0,272
BR,142,0,240
BRD,79,0,243
BRN,13,0,1
BSD,45,0,197
BSK,53,0,164
BSKS,54,0,187
BSMZ,11,15.580645161290322,1
BTL,72,0,146
BV,64,0,319
BZL,170,0,384
CAS,62,0,283
CK,104,0,362
CL,30,0,101
CO,143,0,275
CPS,57,0,158
CVM,194,0,277
DA,130,0,377
DB,24,0,73
DDN,123,0,291
DDR,87,0,231
DDRS,84,0,229
DDZD,88,0,348
DEI,187,0,272
DID,89,0,330
DL,100,0,255
DLD,18,0,20
DLN,147,0,289
DMN,28,0,18
DMNZ,28,15.064516129032258,18
DN,114,0,212
DR,86,0,330
DRH,62,0,315
DRON,86,0,158
DRP,194,0,286
DT,81,0,173
DTC,100,0,350
DTCH,98,0,350
DTCP,81,0,228
DV,80,0,241
DVC,84,0,307
DVD,30,15.064516129032258,1
DVN,79,0,332
DVNK,65,0,181
DWE,200,0,272
DZ,232,0,353
DZW,231,0,353
EC,157,0,257
ED,53,0,73
EDC,54,0,258
EDN,199,0,261
EEM,239,0,352
EGH,193,0,276
EGHM,194,0,276
EHS,91,0,265
EHV,92,0,146
EKZ,96,0,352
EML,45,0,244
EMN,163,0,290
EMNZ,159,0,289
ES,136,0,343
ESE,142,0,372
ESK,132,0,343
EST,81,0,330
ETN,114,0,482
FN,200,0,272
FWD,197,0,272
GBG,136,0,275
GBR,145,0,372
GD,44,0,73
GDG,41,0,73
GDM,38,0,154
GDR,105,0,367
GERP,192,0,308
GK,213,0,323
GLN,173,0,259
GN,194,0,308
GND,73,0,218
GNN,198,0,323
GO,113,0,283
GP,98,0,208
GR,64,0,216
GS,175,0,384
GV,73,0,158
GVC,72,0,158
GVM,73,0,266
GVMW,74,0,173
GW,170,0,262
GZ,93,0,161
HAD,58,0,296
HB,184,0,290
HBZM,76,0,228
HD,49,0,244
HDB,130,0,262
HDE,70,0,241
HDG,193,0,272
HDR,116,0,381
HDRZ,115,0,381
HFD,50,14.129032258064516,128
HGL,128,0,324
HGLG,126,0,324
HGLO,130,0,343
HGV,136,0,255
HGZ,205,0,331
HIL,65,0,336
HK,61,0,319
HKS,88,0,336
HLG,209,0,273
HLGH,210,0,277
HLM,54,0,259
HLMS,53,0,280
HLO,69,0,286
HM,105,0,208
HMBH,106,0,212
HMBV,102,0,208
HMH,104,0,208
HMN,69,0,200
HN,78,0,280
HNK,79,0,336
HNO,100,0,255
HNP,225,0,275
HON,99,0,307
HR,154,0,255
HRL,188,0,259
HRLW,190,0,276
HRN,188,0,308
HRT,132,0,240
[HRY,inf,0,0
HT,60,0,73
HTN,20,0,73
HTNC,21,0,101
HTO,61,0,146
HVL,28,0,241
HVS,6,39.32258064516129,0
HVSM,7,15.580645161290322,1
HVSP,5,39.32258064516129,0
HWD,81,0,362
HWZB,46,0,280
HZE,103,0,214
IJT,208,0,273
KBD,157,0,384
KBK,74,0,277
KLP,46,0,73
KMA,53,0,293
KMR,196,0,276
KMW,230,0,280
KPN,103,0,255
KPNZ,103,0,255
KRD,196,0,287
KRG,164,0,384
KTR,62,0,197
KW,202,0,329
KZ,47,0,283
LAA,73,0,187
LC,100,0,276
LDL,61,0,164
LDM,52,0,198
