Station Code,Distance from HRL,Services from/to HRL,Disruptions on path to HRL
AC,200,0.0,200
AH,148,0.0,201
AHP,149,0.0,458
AHPR,151,0.0,458
AHZ,140,0.0,215
AKL,171,0.0,211
AKM,301,0.0,601
ALM,225,0.0,253
ALMB,231,0.0,384
ALMM,224,0.0,252
ALMO,233,0.0,384
ALMP,227,0.0,384
AMF,197,0.0,240
AMFS,200,0.0,480
AML,232,0.0,527
AMPO,222,0.0,252
AMR,228,0.0,65
AMRI,234,0.0,597
AMRN,229,0.0,140
ANA,258,0.0,151
APD,195,0.0,461
APDM,194,0.0,462
APDO,198,0.0,496
APG,364,0.0,631
APN,179,0.0,32
ARN,243,0.0,441
ASA,209,12.612903225806452,240
ASB,205,0.0,240
ASD,212,12.612903225806452,44
ASDL,205,0.0,94
ASDM,211,0.0,277
ASDZ,204,0.0,94
ASHD,204,0.0,327
ASN,302,0.0,551
ASS,208,12.612903225806452,25
ASSP,212,0.0,291
ATN,200,0.0,495
AVAT,203,0.0,486
BD,154,0.0,113
BDE,32,0.0,2
BDG,187,0.0,113
BDM,345,0.0,620
BDPB,159,0.0,436
BET,106,0.0,113
BF,349,0.0,620
BGN,191,0.0,441
BHDV,182,0.0,231
BHV,185,0.0,240
BK,27,0.0,3
BKF,262,12.612903225806452,110
BKG,261,12.612903225806452,106
BKL,188,0.0,167
BL,286,0.0,551
BLL,196,0.0,25
BMN,170,0.0,461
BMR,104,0.0,138
BN,227,0.0,528
BNC,180,0.0,224
BNK,182,0.0,291
BNN,183,0.0,240
BNZ,178,0.0,224
BP,343,0.0,568
BR,69,0.0,85
BRD,179,0.0,177
BRN,200,0.0,264
BSD,157,0.0,210
BSK,185,0.0,113
BSKS,186,0.0,136
BSMZ,199,0.0,241
BTL,116,0.032258064516129,51
BV,206,0.0,27
BZL,223,0.0,472
CAS,216,0.0,62
CK,114,0.0,166
CL,158,0.0,210
CO,272,0.0,614
CPS,179,0.0,173
CVM,6,37.54838709677419,1
DA,243,0.0,597
DB,186,0.0,335
DDN,217,0.0,476
DDR,184,0.0,436
DDRS,187,0.0,553
DDZD,183,0.0,459
DEI,323,0.0,568
DID,167,0.0,458
DL,236,0.0,551
DLD,188,0.0,260
DLN,276,0.0,628
DMN,214,0.0,291
DMNZ,209,0.0,243
DN,97,0.0,85
DR,164,0.0,458
DRH,201,0.0,26
DRON,256,0.0,551
DRP,330,0.0,582
DT,154,0.064516129032258,0
DTC,178,0.0,478
DTCH,176,0.0,478
DTCP,155,0.0,101
DV,193,0.0,461
DVC,197,0.0,527
DVD,207,0.0,240
DVN,157,0.0,460
DVNK,161,0.0,18
DWE,336,0.0,568
DZ,368,0.0,649
DZW,367,0.0,649
EC,31,0.0,4
ED,165,0.0,201
EDC,167,0.0,223
EDN,35,0.0,2
EEM,375,0.0,648
EGH,5,37.54838709677419,0
EGHM,6,33.38709677419355,0
EHS,97,0.0,113
EHV,96,28.741935483870968,51
EKZ,265,12.612903225806452,118
EML,220,0.0,480
EMN,292,0.0,629
EMNZ,288,0.0,628
ES,230,0.0,528
ESK,226,0.0,528
EST,137,0.0,201
ETN,165,0.0,436
FN,336,0.0,568
FWD,333,0.0,568
GBG,265,0.0,614
GD,177,0.0,15
GDG,180,0.0,100
GDM,150,0.0,167
GDR,183,0.0,495
GERP,328,0.0,604
GK,349,0.0,619
GLN,15,26.64516129032258,1
GN,330,0.0,604
GND,185,0.0,231
GNN,334,0.0,619
GO,207,0.0,468
GP,90,0.0,58
GR,176,0.0,229
GS,228,0.0,441
GV,148,0.0,0
GVC,149,0.0,15
GVM,153,0.0,15
GVMW,147,0.0,0
GW,306,0.0,608
GZ,144,0.0,109
HAD,189,0.0,25
HB,4,26.64516129032258,0
HBZM,188,0.0,241
HD,224,0.0,483
HDB,259,0.0,601
HDE,242,0.0,551
HDG,329,0.0,568
HDR,270,0.0,160
HDRZ,269,0.0,160
HFD,188,0.0,15
HGL,222,0.0,509
HGLG,220,0.0,509
HGLO,224,0.0,528
HGV,272,0.0,551
HGZ,341,0.0,627
HIL,182,0.0,25
HK,209,0.0,45
HKS,257,12.612903225806452,102
HLG,345,0.0,569
HLGH,346,0.0,573
HLM,193,0.0,25
HLMS,194,0.0,25
HLO,223,0.0,45
HM,106,0.0,113
HMBH,105,0.0,113
HMBV,106,0.0,113
HMH,107,0.0,117
HMN,151,0.0,215
HN,247,12.612903225806452,46
HNK,248,12.612903225806452,102
HNO,236,0.0,551
HNP,361,0.0,571
HON,212,0.0,461
HOR,188,0.0,240
HR,290,0.0,608
HRL,0,0.0,0
HRLW,2,38.41935483870968,0
HRN,324,0.0,604
HRT,79,0.0,137
HT,128,12.612903225806452,94
HTN,168,0.0,263
HTNC,167,0.0,263
HTO,129,0.0,167
HVL,193,0.0,241
HVS,194,0.0,240
HVSM,195,0.0,241
HVSP,193,0.0,240
HWD,235,0.0,141
HWZB,201,0.0,25
HZE,85,0.0,53
IJT,344,0.0,569
KBD,210,0.0,441
KBK,186,0.0,461
KLP,172,0.0,223
KMA,217,0.0,46
KMR,8,38.41935483870968,0
KMW,366,0.0,576
KPN,239,0.0,551
KPNZ,239,0.0,551
KRD,8,37.54838709677419,11
KRG,217,0.0,441
KTR,158,0.0,215
KW,338,0.0,625
KZ,216,0.0,49
LAA,150,0.0,15
LC,194,0.0,461
LDL,165,0.0,25
LDM,164,0.0,211
LEDN,164,0.0,15
LG,3,70.96774193548387,0
LLS,249,0.0,384
LLZM,164,0.0,44
LP,356,0.0,631
LTN,173,0.0,224
LTV,212,0.0,463
LUT,23,0.0,2
LW,319,0.0,551
LWC,322,0.0,568
MAS,183,0.0,240
MDB,247,0.0,468
MES,20,38.41935483870968,0
MG,329,0.0,568
MMLH,119,0.0,169
MP,252,0.0,551
MRB,251,0.0,598
MRN,194,0.0,367
MT,26,57.83870967741935,0
MTH,339,0.0,627
MTN,23,38.41935483870968,14
MTR,27,38.41935483870968,2
MZ,75,0.0,51
NDB,200,0.0,241
NH,7,26.64516129032258,0
NKK,208,0.0,480
NM,129,0.0,180
NMD,134,0.0,201
NMGO,132,0.0,201
NMH,126,0.0,180
NML,130,0.0,201
NS,236,0.0,480
NSCH,374,0.0,634
NVD,235,0.0,468
NVP,183,0.0,25
NWK,183,0.0,229
O,147,0.0,167
OBD,241,0.0,151
ODB,185,0.0,441
ODZ,233,0.0,528
OMN,247,0.0,558
