Station Code,Distance from HRN,Services from/to HRN,Disruptions on path to HRN
AC,211,0.0,413
AH,176,0.0,146
AHP,175,0.0,150
AHPR,173,0.0,149
AHZ,184,0.0,403
AKL,234,0.0,424
AKM,78,0.0,34
ALM,181,2.225806451612903,72
ALMB,175,0.0,72
ALMM,182,0.0,203
ALMO,173,0.032258064516129,72
ALMP,179,0.0,77
AMF,166,1.032258064516129,67
AMFS,163,0.032258064516129,67
AML,145,0.0,88
AMPO,184,0.0,204
AMR,250,0.0,352
AMRI,147,0.0,158
AMRN,251,0.0,427
ANA,280,0.0,438
APD,146,0.0,67
APDM,147,0.0,102
APDO,143,0.0,143
APG,40,0.0,27
APN,222,0.0,317
ARN,365,0.0,577
ASA,208,0.0,206
ASB,208,0.0,206
ASD,211,0.1290322580645161,67
ASDL,218,0.0,325
ASDM,207,0.0,307
ASDZ,210,2.096774193548387,203
ASHD,209,0.0,220
ASN,22,36.096774193548384,0
ASS,215,0.0,325
ASSP,206,0.0,211
ATN,204,0.0,157
AVAT,160,0.032258064516129,73
BD,278,0.0,466
BDE,320,0.0,604
BDG,214,0.0,308
BDM,21,0.0,16
BDPB,283,0.0,789
BET,257,0.0,380
BF,25,0.0,16
BGN,313,0.0,576
BHDV,245,0.0,444
BHV,178,0.0,311
BK,313,0.0,605
BKF,269,0.0,410
BKG,268,0.0,406
BKL,199,0.0,380
BL,38,35.354838709677416,53
BLL,233,0.0,362
BMN,154,0.0,143
BMR,220,0.0,438
BN,154,0.0,158
BNC,185,0.0,308
BNK,195,0.0,380
BNN,182,0.0,307
BNZ,187,0.0,324
BP,36,0.0,15
BR,255,0.0,467
BRD,254,0.0,541
BRN,175,0.0,307
BSD,220,0.0,423
BSK,228,0.0,398
BSKS,229,0.0,421
BSMZ,187,0.0,68
BTL,247,0.0,453
BV,240,0.0,346
BZL,345,0.0,607
CAS,238,0.0,349
CK,210,0.0,435
CL,205,0.0,408
CO,155,0.0,87
CPS,232,0.0,465
CVM,330,0.0,622
DA,142,0.0,77
DB,199,0.0,380
DDN,164,0.0,177
DDR,262,0.0,455
DDRS,259,0.0,455
DDZD,263,0.0,572
DEI,64,0.0,32
DID,193,0.0,155
DL,112,0.0,67
DLD,175,0.0,307
DLN,159,0.0,101
DMN,204,0.0,210
DMNZ,204,0.0,68
DN,283,0.0,519
DR,160,0.0,143
DRH,238,0.0,363
DRON,132,0.0,67
DRP,71,0.0,46
DT,256,0.0,480
DTC,204,0.0,175
DTCH,202,0.0,175
DTCP,256,0.0,535
DV,131,0.0,77
DVC,135,0.0,143
DVD,206,0.0,203
DVN,183,0.0,152
DVNK,240,0.0,415
DWE,43,0.0,38
DZ,44,0.0,45
DZW,43,0.0,45
EC,293,0.0,602
ED,193,0.0,403
EDC,195,0.0,425
EDN,335,0.0,606
EEM,51,0.0,44
EGH,329,0.0,621
EGHM,330,0.0,621
EHS,266,0.0,456
EHV,267,0.0,456
EKZ,272,0.0,418
EML,143,0.032258064516129,70
EMN,175,0.0,102
EMNZ,171,0.0,101
ES,167,0.0,177
ESK,163,0.0,177
EST,187,0.0,403
ETN,289,0.0,789
FN,77,0.0,32
FWD,46,0.0,15
GBG,148,0.0,87
GD,219,1.0,380
GDG,216,0.0,380
GDM,213,0.0,380
GDR,209,0.0,192
GERP,4,36.16129032258065,0
GK,25,0.0,15
GLN,309,0.0,604
GN,6,36.193548387096776,0
GND,248,0.0,444
GNN,10,0.0,15
GO,174,0.0,210
GP,273,0.0,518
GR,239,0.0,442
GS,350,0.0,577
GV,248,0.0,465
GVC,247,2.096774193548387,383
GVM,248,0.0,500
GVMW,249,0.0,480
GW,73,0.0,32
GZ,268,0.0,468
HAD,234,0.0,346
HB,320,0.0,635
HBZM,251,0.0,454
HD,139,0.8709677419354839,67
HDB,142,0.0,74
HDE,118,0.032258064516129,67
HDG,50,0.0,15
HDR,292,0.0,447
HDRZ,291,0.0,447
HFD,226,0.0,277
HGL,159,0.0,158
HGLG,161,0.0,177
HGLO,161,0.0,177
HGV,52,35.354838709677416,53
HGZ,17,0.0,23
HIL,241,0.0,346
