Station Code,Distance from HTN,Services from/to HTN,Disruptions on path to HTN
AC,32,0.0,109
AH,64,0.0,98
AHP,65,0.0,355
AHPR,67,0.0,357
AHZ,66,0.0,113
AKL,39,0.0,97
AKM,172,0.0,377
ALM,57,0.0,86
ALMB,63,0.0,217
ALMM,56,0.0,85
ALMO,65,0.0,217
ALMP,59,0.0,217
AMF,29,0.0,73
AMFS,32,0.0,313
AML,126,0.0,379
AMPO,54,0.0,85
AMR,86,0.0,358
AMRI,128,0.0,449
AMRN,87,0.0,433
ANA,116,0.0,444
APD,72,0.0,313
APDM,73,0.0,348
APDO,75,0.0,348
APG,235,0.0,407
APN,43,0.0,83
ARN,170,0.0,283
ASA,41,0.0,73
ASB,37,0.0,73
ASD,47,0.0,73
ASDL,54,0.0,352
ASDM,43,0.0,110
ASDZ,43,0.0,76
ASHD,38,0.0,87
ASN,173,0.0,327
ASS,51,0.0,331
ASSP,44,0.0,124
ATN,116,0.0,392
AVAT,35,0.0,319
BD,83,0.0,182
BDE,164,0.0,283
BDG,35,0.0,74
BDM,216,0.0,396
BDPB,88,0.0,505
BET,62,0.0,212
BF,220,0.0,396
BGN,118,0.0,252
BHDV,50,0.0,117
BHV,17,0.0,73
BK,157,0.0,283
BKF,105,0.0,416
BKG,104,0.0,412
BKL,20,0.0,76
BL,157,0.0,332
BLL,69,0.0,368
BMN,86,0.0,358
BMR,96,0.0,148
BN,135,0.0,449
BNC,48,0.0,314
BNK,14,0.0,0
BNN,45,0.0,313
BNZ,50,0.0,330
BP,214,0.0,344
BR,122,0.0,263
BRD,75,0.0,243
BRN,32,0.0,97
BSD,25,0.0,96
BSK,49,0.0,164
BSKS,50,0.0,187
BSMZ,31,0.0,74
BTL,52,0.0,169
BV,76,0.0,391
BZL,150,0.0,283
CAS,74,0.0,355
CK,86,0.0,145
CL,10,74.19354838709677,0
CO,150,0.0,347
CPS,53,0.0,158
CVM,174,0.0,300
DA,137,0.0,449
DB,18,0.0,44
DDN,130,0.0,363
DDR,67,0.0,130
DDRS,64,0.0,128
DDZD,68,0.0,247
DEI,194,0.0,344
DID,83,0.0,355
DL,107,0.0,327
DLD,20,0.0,93
DLN,154,0.0,361
DMN,46,0.0,124
DMNZ,41,0.0,76
DN,94,0.0,235
DR,80,0.0,355
DRH,74,0.0,387
DRON,106,0.0,231
DRP,201,0.0,358
DT,77,0.0,173
DTC,94,0.0,375
DTCH,92,0.0,375
DTCP,77,0.0,228
DV,87,0.0,313
DVC,91,0.0,379
DVD,39,0.0,73
DVN,73,0.0,357
DVNK,61,0.0,181
DWE,207,0.0,344
DZ,239,0.0,425
DZW,238,0.0,425
EC,137,0.0,280
ED,47,0.0,76
EDC,49,0.0,98
EDN,179,0.0,284
EEM,246,0.0,424
EGH,173,0.0,299
EGHM,174,0.0,299
EHS,71,0.0,288
EHV,72,0.0,169
EKZ,108,0.0,424
EML,52,0.0,316
EMN,170,0.0,362
EMNZ,166,0.0,361
ES,143,0.0,415
ESK,139,0.0,415
EST,63,0.0,99
ETN,94,0.0,505
FN,207,0.0,344
FWD,204,0.0,344
GBG,143,0.0,347
GD,40,35.483870967741936,73
GDG,37,35.483870967741936,73
GDM,18,74.19354838709677,53
GDR,99,0.0,392
GERP,199,0.0,380
GK,220,0.0,395
GLN,153,0.0,282
GN,201,0.0,380
GND,53,0.0,117
GNN,205,0.0,395
GO,120,0.0,355
GP,78,0.0,231
GR,44,0.0,115
GS,155,0.0,283
GV,69,0.0,158
GVC,68,34.41935483870968,158
GVM,69,0.0,266
GVMW,70,0.0,173
GW,177,0.0,334
GZ,73,0.0,184
HAD,70,0.0,368
HB,164,0.0,313
HBZM,56,0.0,127
HD,56,0.0,316
HDB,137,0.0,334
HDE,77,0.0,313
HDG,200,0.0,344
HDR,128,0.0,453
HDRZ,127,0.0,453
HFD,59,0.0,137
HGL,135,0.0,396
HGLG,133,0.0,396
HGLO,137,0.0,415
HGV,143,0.0,327
HGZ,212,0.0,403
HIL,76,0.0,181
HK,73,0.0,391
HKS,100,0.0,408
HLG,216,0.0,345
HLGH,217,0.0,349
HLM,66,0.0,331
HLMS,65,0.0,352
HLO,81,0.0,358
HM,85,0.0,231
HMBH,86,0.0,235
HMBV,82,0.0,231
HMH,84,0.0,231
HMN,49,0.0,99
HN,90,0.0,352
HNK,91,0.0,408
HNO,107,0.0,327
HNP,232,0.0,347
HON,106,0.0,379
HOR,20,0.0,73
HR,161,0.0,327
HRL,168,0.0,282
HRLW,170,0.0,299
HRN,195,0.0,380
HRT,112,0.0,263
HT,40,36.935483870967744,96
HTN,0,0.0,0
HTNC,1,74.19354838709677,0
HTO,41,0.0,169
HVL,35,0.0,313
HVS,26,0.0,73
HVSM,27,0.0,74
HVSP,25,0.0,73
HWD,93,0.0,434
HWZB,58,0.0,352
HZE,83,0.0,237
IJT,215,0.0,345
KBD,137,0.0,283
KBK,81,0.0,349
KLP,40,0.0,76
KMA,65,0.0,365
KMR,176,0.0,299
KMW,237,0.0,352
KPN,110,0.0,327
KPNZ,110,0.0,327
KRD,176,0.0,310
KRG,144,0.0,283
KTR,42,0.0,96
KW,209,0.0,401
KZ,59,0.0,355
LAA,69,0.0,187
LC,107,0.0,348
LDL,57,0.0,164
LDM,32,0.0,97
LEDN,58,0.0,171
LG,171,0.0,299
LLS,81,0.0,217
LLZM,53,34.41935483870968,158
LP,227,0.0,407
LTN,55,0.0,99
LTV,125,0.0,350
LUT,153,0.0,282
LW,190,0.0,327
LWC,193,0.0,344
MAS,15,0.0,73
MDB,174,0.0,283
MES,176,0.0,284
MG,200,0.0,344
MMLH,81,0.0,134
MP,123,0.0,327
MRB,129,0.0,334
MRN,26,0.0,76
MT,170,0.0,282
MTH,210,0.0,403
MTN,173,0.0,284
MTR,171,0.0,284
MZ,93,0.0,242
NDB,32,0.0,74
NH,161,0.0,313
NKK,40,0.0,313
NM,71,0.0,113
NMD,76,0.0,134
NMGO,74,0.0,134
NMH,74,0.0,134
NML,70,0.0,113
NS,68,0.0,313
NSCH,245,0.0,410
NVD,127,0.0,327
NVP,64,0.0,265
NWK,49,0.0,158
O,59,0.0,169
OBD,99,0.0,444
ODB,98,0.0,252
ODZ,146,0.0,415
OMN,118,0.0,334
OP,46,0.0,99
OST,97,0.0,379
OT,61,0.0,212
OTB,60,0.0,98
OVN,68,0.0,368
OW,58,0.0,172
PMO,72,0.0,353
PMR,71,0.0,352
PMW,70,0.0,355
PT,47,0.0,316
RAI,42,0.0,76
RAT,113,0.0,327
RB,134,0.0,283
RD,239,0.0,411
RH,74,0.0,358
RHN,49,0.0,79
RL,112,0.0,350
RLB,71,0.0,237
RM,124,0.0,231
RS,47,0.0,172
RSD,105,0.0,247
RSN,113,0.0,379
RSW,72,0.0,173
RTA,54,0.0,158
RTB,65,0.0,228
RTD,64,0.0,158
RTN,59,0.0,160
RTST,69,0.0,237
RTZ,68,0.0,237
RV,135,0.0,280
RVS,67,0.0,190
SBK,156,0.0,312
SD,28,0.0,97
SDA,228,0.0,401
SDM,68,0.0,228
SDT,57,0.0,127
SDTB,60,0.0,128
SGL,180,0.0,298
SGN,107,0.0,444
SHL,54,0.0,87
SK,212,0.0,344
SKND,211,0.0,344
SM,129,0.0,280
SN,158,0.0,313
SOG,178,0.0,299
SPTN,73,0.0,386
SPTZ,71,0.0,386
SRN,142,0.0,309
SSH,66,0.0,181
ST,27,0.0,97
STD,149,0.0,280
STM,223,0.0,407
STV,241,0.0,352
STZ,26,0.0,97
SWD,212,0.0,395
SWK,137,0.0,377
TB,62,0.0,169
TBG,100,0.0,392
TBR,67,0.0,182
TBU,63,0.0,182
TG,129,0.0,316
TL,30,37.25806451612903,96
TPSW,28,37.25806451612903,96
TWL,82,0.0,348
UHM,236,0.0,411
UHZ,233,0.0,411
UST,228,0.0,410
UT,8,74.25806451612904,0
UTG,70,0.0,390
UTLN,4,74.25806451612904,0
UTLR,11,35.483870967741936,73
UTO,11,0.0,73
UTT,13,35.483870967741936,73
UTVR,7,74.29032258064517,0
UTZL,10,0.0,73
VB,65,34.41935483870968,158
VD,102,0.0,348
VDL,172,0.0,299
VDM,228,0.0,408
VEM,86,0.0,350
VG,44,0.0,169
VH,66,0.0,181
VHP,135,0.0,337
VK,181,0.0,299
VL,124,0.0,315
VLB,103,0.0,176
VNDC,41,0.0,78
VNDW,40,0.0,78
VP,70,0.0,358
VRY,110,0.0,177
VS,180,0.0,285
VSS,179,0.0,285
VST,63,0.0,266
VSV,107,0.0,392
VTN,15,35.483870967741936,78
VZ,132,0.0,449
WAD,48,0.0,158
WADN,49,0.0,158
WADT,47,0.0,158
WC,74,0.0,193
