Station Code,Distance from HTO,Services from/to HTO,Disruptions on path to HTO
AC,73,0.0,182
AH,61,7.935483870967742,42
AHP,62,0.0,299
AHPR,64,0.0,301
AHZ,53,7.903225806451613,56
AKL,44,0.0,117
AKM,213,0.0,450
ALM,98,0.0,159
ALMB,104,0.0,290
ALMM,97,0.0,158
ALMO,106,0.0,290
ALMP,100,0.0,290
AMF,70,0.0,146
AMFS,73,0.0,386
AML,145,0.0,368
AMPO,95,0.0,158
AMR,127,0.0,431
AMRI,147,0.0,438
AMRN,128,0.0,506
ANA,157,0.0,517
APD,108,0.0,302
APDM,107,0.0,303
APDO,111,0.0,337
APG,276,0.0,480
APN,84,0.0,156
ARN,133,0.0,445
ASA,82,0.0,146
ASB,78,0.0,146
ASD,88,0.0,146
ASDL,95,0.0,425
ASDM,84,0.0,183
ASDZ,84,0.0,149
ASHD,79,0.0,160
ASN,214,0.0,400
ASS,92,0.0,404
ASSP,85,0.0,197
ATN,113,0.0,336
AVAT,76,0.0,392
BD,44,28.258064516129032,86
BDE,125,0.0,187
BDG,76,0.0,147
BDM,257,0.0,469
BDPB,49,27.483870967741936,409
BET,23,0.0,116
BF,261,0.0,469
BGN,81,0.0,414
BHDV,55,0.0,137
BHV,58,0.0,146
BK,118,0.0,187
BKF,146,0.0,489
BKG,145,0.0,485
BKL,61,0.0,149
BL,198,0.0,405
BLL,110,0.0,441
BMN,83,0.0,302
BMR,67,0.0,56
BN,140,0.0,369
BNC,89,0.0,387
BNK,55,0.0,197
BNN,86,0.0,386
BNZ,91,0.0,403
BP,255,0.0,417
BR,83,0.0,167
BRD,81,0.0,267
BRN,73,0.0,170
BSD,30,0.0,116
BSK,90,0.0,237
BSKS,91,0.0,260
BSMZ,72,0.0,147
BTL,13,0.0,73
BV,117,0.0,464
BZL,113,0.0,445
CAS,115,0.0,428
CK,57,0.0,53
CL,31,0.0,116
CO,185,0.0,455
CPS,94,0.0,231
CVM,135,0.0,204
DA,156,0.0,438
DB,59,0.0,241
DDN,130,0.0,317
DDR,72,27.483870967741936,150
DDRS,69,0.0,148
DDZD,73,27.483870967741936,432
DEI,235,0.0,417
DID,80,0.0,299
DL,148,0.0,400
DLD,61,0.0,166
DLN,189,0.0,469
DMN,87,0.0,197
DMNZ,82,0.0,149
DN,55,0.0,139
DR,77,0.032258064516129,299
