Station Code,Distance from HVL,Services from/to HVL,Disruptions on path to HVL
AC,51,0.0,349
AH,45,0.0,40
AHP,46,0.0,297
AHPR,48,0.0,299
AHZ,53,0.0,297
AKL,74,0.0,438
AKM,149,0.0,304
ALM,53,0.0,253
ALMB,59,0.0,384
ALMM,52,0.0,252
ALMO,61,0.0,384
ALMP,55,0.0,384
AMF,6,62.0,0
AMFS,9,0.0,240
AML,103,0.0,306
AMPO,50,0.0,252
AMR,90,0.0,526
AMRI,105,0.0,376
AMRN,91,0.0,601
ANA,120,0.0,612
APD,49,0.0,240
APDM,50,0.0,275
APDO,52,0.0,275
APG,212,0.0,334
APN,62,0.0,250
ARN,205,0.0,624
ASA,48,0.0,244
ASB,48,0.0,244
ASD,51,0.0,241
ASDL,58,0.0,520
ASDM,47,0.0,259
ASDZ,50,0.0,244
ASHD,49,0.0,258
ASN,150,0.0,254
ASS,55,0.0,499
ASSP,46,0.0,259
ATN,97,0.0,334
AVAT,12,0.0,246
BD,118,0.0,399
BDE,189,0.0,499
BDG,54,0.0,241
BDM,193,0.0,323
BDPB,123,0.0,722
BET,97,0.0,429
BF,197,0.0,323
BGN,153,0.0,593
BHDV,85,0.0,458
BHV,18,0.0,244
BK,182,0.0,499
BKF,109,0.0,584
BKG,108,0.0,580
BKL,39,0.0,316
BL,134,0.0,259
BLL,73,0.0,536
BMN,67,0.0,300
BMR,89,0.0,332
BN,112,0.0,376
BNC,13,61.87096774193548,1
BNK,35,0.0,313
BNN,10,61.87096774193548,0
BNZ,15,61.87096774193548,17
BP,191,0.0,271
BR,124,0.0,361
BRD,94,0.0,483
BRN,15,0.0,240
BSD,60,0.0,437
BSK,68,0.0,331
BSKS,69,0.0,354
BSMZ,27,0.0,241
BTL,87,0.0,386
BV,80,0.0,559
BZL,185,0.0,624
CAS,78,0.0,523
CK,79,0.0,329
CL,45,0.0,341
CO,127,0.0,274
CPS,72,0.0,398
CVM,199,0.0,516
DA,114,0.0,376
DB,39,0.0,313
DDN,107,0.0,290
DDR,102,0.0,471
DDRS,99,0.0,469
DDZD,103,0.0,588
DEI,171,0.0,271
DID,64,0.0,297
DL,84,0.0,254
DLD,15,0.0,240
DLN,131,0.0,288
DMN,44,0.0,258
DMNZ,44,0.0,258
DN,129,0.0,452
DR,61,0.0,297
DRH,78,0.0,555
DRON,102,0.0,398
DRP,178,0.0,285
DT,96,0.0,413
DTC,75,0.0,317
DTCH,73,0.0,317
DTCP,96,0.0,468
DV,64,0.0,240
DVC,68,0.0,306
DVD,46,0.0,241
DVN,54,0.0,299
DVNK,80,0.0,348
DWE,184,0.0,271
DZ,216,0.0,352
DZW,215,0.0,352
EC,162,0.0,496
ED,28,38.25806451612903,18
EDC,26,38.25806451612903,17
EDN,204,0.0,500
EEM,223,0.0,351
EGH,198,0.0,515
EGHM,199,0.0,515
EHS,106,0.0,505
EHV,107,0.0,386
EKZ,112,0.0,592
EML,29,0.0,243
EMN,147,0.0,289
EMNZ,143,0.0,288
ES,120,0.0,342
ESK,116,0.0,342
EST,56,0.0,297
ETN,129,0.0,722
FN,184,0.0,271
FWD,181,0.0,271
GBG,120,0.0,274
GD,59,0.0,313
GDG,56,0.0,241
GDM,53,0.0,394
GDR,80,0.0,334
GERP,176,0.0,307
GK,197,0.0,322
GLN,178,0.0,498
GN,178,0.0,307
GND,88,0.0,458
GNN,182,0.0,322
GO,97,0.0,282
GP,113,0.0,448
GR,79,0.0,456
GS,190,0.0,624
GV,88,0.0,398
GVC,87,0.0,398
GVM,88,0.0,433
GVMW,89,0.0,413
GW,154,0.0,261
GZ,108,0.0,401
HAD,74,0.0,536
HB,189,0.0,529
HBZM,91,0.0,468
HD,33,0.0,243
HDB,114,0.0,261
HDE,54,0.0,240
HDG,177,0.0,271
HDR,132,0.0,621
HDRZ,131,0.0,621
HFD,66,0.0,368
HGL,112,0.0,323
HGLG,110,0.0,323
HGLO,114,0.0,342
HGV,120,0.0,254
HGZ,189,0.0,330
HIL,81,0.0,576
HK,77,0.0,559
HKS,104,0.0,576
HLG,193,0.0,272
HLGH,194,0.0,276
HLM,70,0.0,499
HLMS,69,0.0,520
HLO,85,0.0,526
