station,distance,services_per_day,n_of_disruptions
AC,30,0,50
AH,68,0,281
AHP,69,0,538
AHPR,71,0,540
AHZ,76,0,538
AKL,66,0,199
AKM,160,0,305
ALM,30,0,45
ALMB,36,0,176
ALMM,29,0,44
ALMO,38,0,176
ALMP,32,0,176
AMF,17,0,1
AMFS,20,0,241
AML,114,0,307
AMPO,27,0,44
AMR,67,0,350
AMRI,116,0,377
AMRN,68,0,425
ANA,97,0,436
APD,60,0,241
APDM,61,0,276
APDO,63,0,276
APG,223,0,335
APN,54,0,84
ARN,197,0,385
ASA,25,0,62
ASB,25,0,62
ASD,28,0,65
ASDL,35,0,344
ASDM,24,0,51
ASDZ,27,0,62
ASHD,26,0,76
ASN,161,0,255
ASS,32,0,323
ASSP,23,0,51
ATN,120,0,575
AVAT,23,0,247
BD,110,0,160
BDE,191,0,261
BDG,46,0,75
BDM,204,0,324
BDPB,115,0,483
BET,89,0,190
BF,208,0,324
BGN,145,0,354
BHDV,77,0,219
BHV,22,0,1
BK,184,0,261
BKF,86,0,408
BKG,85,0,404
BKL,31,0,77
BL,145,0,260
BLL,50,0,360
BMN,85,0,276
BMR,112,0,573
BN,123,0,377
BNC,36,0,242
BNK,27,0,74
BNN,33,0,241
BNZ,38,0,258
BP,202,0,272
BR,147,0,602
BRD,86,0,244
BRN,8,0,1
BSD,52,0,198
BSK,60,0,165
BSKS,61,0,188
BSMZ,4,0,0
BTL,79,0,147
BV,57,0,383
BZL,177,0,385
CAS,55,0,347
CK,102,0,570
CL,37,0,102
CO,138,0,275
CPS,64,0,159
CVM,201,0,278
DA,125,0,377
DB,31,0,74
DDN,118,0,291
DDR,94,0,232
DDRS,91,0,230
DDZD,95,0,349
DEI,182,0,272
DID,87,0,538
DL,95,0,255
DLD,20,0,15
DLN,142,0,289
DMN,21,0,50
DMNZ,21,0,50
DN,121,0,213
DR,84,0,538
DRH,55,0,379
DRON,79,0,190
DRP,189,0,286
DT,88,0,174
DTC,98,0,558
