Station Code,Distance from HWD,Services from/to HWD,Disruptions on path to HWD
AC,61,0.1612903225806451,375
AH,142,32.903225806451616,642
AHP,143,0.0,899
AHPR,145,0.0,901
AHZ,150,0.8064516129032258,899
AKL,132,0.0,559
AKM,234,0.0,513
ALM,76,0.0,361
ALMB,82,0.0,492
ALMM,75,0.0,382
ALMO,84,0.0,492
ALMP,78,0.0,492
AMF,91,0.0,362
AMFS,94,0.0,602
AML,188,0.0,668
AMPO,73,0.0,382
AMR,7,73.03225806451613,1
AMRI,190,0.0,738
AMRN,6,73.03225806451613,0
ANA,23,38.83870967741935,0
APD,134,0.0,602
APDM,135,0.0,637
APDO,137,0.0,637
APG,297,0.0,591
APN,86,0.0,212
ARN,232,0.0,427
ASA,52,34.54838709677419,361
ASB,56,0.3870967741935484,361
ASD,46,64.41935483870968,103
ASDL,45,0.0,103
ASDM,50,0.1612903225806451,361
ASDZ,58,0.0,361
ASHD,57,0.1612903225806451,375
ASN,235,0.0,511
ASS,42,64.41935483870968,82
ASSP,51,0.0,375
ATN,194,0.0,936
AVAT,97,0.0,608
BD,159,0.0,391
BDE,257,0.0,621
BDG,94,0.0,293
BDM,278,0.0,580
BDPB,154,0.0,513
BET,155,0.0,550
BF,282,0.0,580
BGN,180,0.0,396
BHDV,143,0.0,579
BHV,94,0.0,434
BK,250,0.0,621
BKF,32,0.0,64
BKG,31,0.0,60
BKL,83,0.1612903225806451,378
BL,219,0.0,511
BLL,39,27.516129032258064,100
BMN,159,0.0,637
BMR,186,0.0,934
BN,197,0.0,738
BNC,110,0.0,603
BNK,93,0.1612903225806451,434
BNN,107,0.0,602
BNZ,112,0.0,619
BP,276,0.0,523
BR,215,0.0,601
BRD,120,0.0,406
BRN,82,0.0,362
BSD,118,0.0,558
BSK,92,0.0,293
BSKS,93,0.0,316
BSMZ,70,0.0,393
BTL,145,0.0,507
BV,29,29.548387096774192,80
BZL,212,0.0,427
CAS,19,66.54838709677419,76
CK,176,0.0,931
CL,103,0.0,462
CO,212,0.0,540
CPS,117,0.0,401
CVM,267,0.0,638
DA,199,0.0,738
DB,97,33.064516129032256,434
DDN,192,0.0,652
DDR,129,0.0,391
DDRS,132,0.0,508
DDZD,130,0.0,508
DEI,256,0.0,523
DID,161,0.0,899
DL,169,0.0,520
DLD,94,0.0,376
DLN,216,0.0,554
DMN,53,0.0,375
DMNZ,56,0.0,401
DN,187,0.0,573
DR,158,0.0,899
DRH,34,29.451612903225808,98
DRON,125,0.0,506
DRP,263,0.0,537
DT,95,0.0,220
DTC,172,0.0,919
DTCH,170,0.0,919
DTCP,96,0.0,321
DV,149,0.0,602
DVC,153,0.0,668
DVD,54,0.3548387096774194,398
DVN,151,0.0,901
DVNK,74,0.0,205
DWE,269,0.0,523
DZ,301,0.0,609
DZW,300,0.0,609
EC,230,0.0,618
ED,125,32.903225806451616,620
EDC,123,0.0,619
EDN,272,0.0,622
EEM,308,0.0,608
EGH,266,0.0,637
EGHM,267,0.0,637
EHS,164,0.0,626
EHV,165,1.1612903225806452,507
EKZ,35,0.0,72
EML,114,0.0,605
EMN,232,0.0,555
EMNZ,228,0.0,554
ES,205,0.0,704
ESK,201,0.0,704
EST,153,0.8387096774193549,899
ETN,170,0.0,714
FN,269,0.0,523
FWD,266,0.0,523
GBG,205,0.0,540
GD,104,0.0,316
GDG,107,0.0,401
GDM,111,0.0,515
GDR,177,0.0,936
GERP,261,0.0,564
GK,282,0.0,579
GLN,246,0.0,620
GN,263,0.0,564
GND,143,0.0,511
GNN,267,0.0,579
GO,182,0.0,644
GP,171,0.0,569
GR,137,0.0,577
GS,217,0.0,427
GV,87,0.0,205
GVC,86,0.0,205
GVM,82,0.0,290
GVMW,88,0.0,220
GW,239,0.0,513
GZ,166,0.0,522
HAD,46,0.0,155
HB,257,0.0,651
HBZM,140,0.0,511
HD,118,0.0,605
HDB,199,0.0,527
HDE,139,0.0,602
HDG,262,0.0,523
HDR,35,38.83870967741935,9
HDRZ,34,38.83870967741935,9
HFD,62,0.0,153
HGL,197,0.0,685
HGLG,195,0.0,685
HGLO,199,0.0,704
HGV,205,0.0,506
HGZ,274,0.0,587
HIL,53,0.0,195
HK,26,29.451612903225808,80
HKS,27,0.0,56
HLG,278,0.0,524
HLGH,279,0.0,528
HLM,42,27.61290322580645,118
HLMS,43,27.41935483870968,155
HLO,12,65.38709677419355,76
HM,178,0.0,569
HMBH,179,0.0,573
HMBV,175,0.0,569
HMH,177,0.0,569
HMN,142,0.0,561
HN,17,32.70967741935484,0
HNK,18,0.0,56
HNO,169,0.0,520
HNP,294,0.0,526
HON,168,0.0,668
HOR,81,0.0,362
HR,223,0.0,506
HRL,261,0.0,620
HRLW,263,0.0,637
HRN,257,0.0,564
HRT,205,0.0,601
HT,133,1.1612903225806452,434
HTN,93,0.0,434
HTNC,94,0.0,462
HTO,134,0.0,507
HVL,97,0.0,602
HVS,75,0.0,361
HVSM,74,0.0,426
HVSP,76,0.0,362
HWD,0,0.0,0
HWZB,49,27.41935483870968,103
HZE,176,0.0,575
IJT,277,0.0,524
KBD,199,0.0,427
KBK,143,0.0,638
KLP,119,13.64516129032258,434
KMA,28,1.032258064516129,80
KMR,269,0.0,637
KMW,299,0.0,531
KPN,172,0.0,517
KPNZ,142,0.0,507
KRD,269,0.0,648
KRG,206,0.0,427
KTR,135,0.0,558
KW,271,0.0,591
KZ,34,1.032258064516129,115
LAA,85,0.0,205
LC,169,0.0,637
LDL,72,0.0,205
LDM,125,0.0,559
LEDN,71,0.0,195
LG,264,0.0,637
LLS,100,0.0,492
LLZM,101,0.0,237
LP,289,0.0,597
LTN,117,0.0,619
LTV,187,0.0,639
LUT,246,0.0,620
LW,252,0.0,506
LWC,255,0.0,523
MAS,78,0.1612903225806451,375
MDB,236,0.0,427
MES,269,0.0,622
MG,262,0.0,523
MMLH,171,0.0,920
MP,185,0.0,517
MRB,191,0.0,524
MRN,105,0.1612903225806451,466
MT,263,1.1612903225806452,620
MTH,272,0.0,593
MTN,266,0.0,622
MTR,264,0.0,622
MZ,186,0.0,580
NDB,69,0.0,382
NH,254,0.0,651
NKK,102,0.0,602
NM,161,32.903225806451616,899
NMD,166,0.0,920
NMGO,164,0.0,920
NMH,164,0.0,920
NML,160,0.8064516129032258,913
NS,130,0.0,602
NSCH,307,0.0,600
NVD,189,0.0,517
NVP,67,0.0,281
NWK,113,0.0,401
O,152,0.0,507
OBD,6,32.70967741935484,0
ODB,160,0.0,513
ODZ,208,0.0,704
OMN,180,0.0,524
OP,139,0.0,561
OST,159,0.0,668
OT,154,0.0,550
OTB,138,0.0,642
OVN,44,0.0,155
OW,151,0.0,510
PMO,35,0.0,56
PMR,36,0.0,56
PMW,37,0.0,57
PT,109,0.0,605
RAI,57,0.0,401
