Station Code,Distance from KBD,Services from/to KBD,Disruptions on path to KBD
AC,161,0.0,194
AH,161,0.0,438
AHP,162,0.0,695
AHPR,164,0.0,695
AHZ,153,0.0,470
AKL,98,0.0,135
AKM,309,0.0,574
ALM,193,0.0,177
ALMB,199,0.0,308
ALMM,192,0.0,327
ALMO,201,0.0,308
ALMP,195,0.0,308
AMF,166,0.0,270
AMFS,169,0.0,510
AML,245,0.0,764
AMPO,190,0.0,327
AMR,192,0.0,241
AMRI,247,0.0,834
AMRN,193,0.0,316
ANA,222,0.0,327
APD,208,0.0,698
APDM,207,0.0,699
APDO,211,0.0,733
APG,372,0.0,604
APN,132,0.0,183
ARN,33,34.03225806451613,12
ASA,170,0.0,174
ASB,166,0.0,160
ASD,176,17.387096774193548,75
ASDL,169,0.0,125
ASDM,172,0.0,174
ASDZ,168,0.0,125
ASHD,165,0.0,321
ASN,310,0.0,524
ASS,172,17.387096774193548,125
ASSP,173,0.0,188
ATN,213,0.0,732
AVAT,172,0.0,516
BD,56,0.0,5
BDE,206,0.0,441
BDG,140,0.0,264
BDM,353,0.0,593
BDPB,61,0.0,328
BET,104,0.0,384
BF,357,0.0,593
BGN,19,41.774193548387096,0
BHDV,87,0.0,133
BHV,154,0.0,270
BK,199,0.0,442
BKF,226,0.0,210
BKG,225,0.0,206
BKL,149,0.0,161
BL,294,0.0,524
BLL,160,0.0,201
BMN,183,0.0,698
BMR,167,0.0,470
BN,240,0.0,765
BNC,185,0.0,511
BNK,151,0.0,278
BNN,182,0.0,510
BNZ,187,0.0,527
BP,351,0.0,527
BR,164,0.0,422
BRD,79,0.0,122
BRN,169,0.0,294
BSD,112,0.0,153
BSK,126,0.0,160
BSKS,125,0.0,160
BSMZ,168,0.0,271
BTL,94,0.0,341
BV,170,0.0,203
BZL,13,33.903225806451616,0
CAS,180,0.0,238
CK,157,0.0,467
CL,127,0.0,197
CO,285,0.0,851
CPS,101,0.0,77
CVM,216,0.0,459
DA,256,0.0,834
DB,155,0.0,322
DDN,230,0.0,713
DDR,70,21.64516129032258,5
DDRS,73,0.0,122
DDZD,69,0.064516129032258,5
DEI,331,0.0,527
DID,180,0.0,695
DL,244,0.0,524
DLD,157,0.0,290
DLN,289,0.0,865
DMN,175,0.0,188
DMNZ,170,0.0,177
DN,136,0.0,394
DR,177,0.0,695
DRH,165,0.0,202
DRON,242,0.0,322
DRP,338,0.0,541
DT,104,21.61290322580645,75
DTC,191,0.0,715
DTCH,189,0.0,715
DTCP,103,0.0,75
DV,206,0.0,698
DVC,210,0.0,764
DVD,168,0.0,174
DVN,170,0.0,697
DVNK,125,0.0,194
DWE,344,0.0,527
DZ,376,0.0,622
DZW,375,0.0,622
EC,179,0.0,439
ED,178,0.0,695
