Station Code,Distance from KBK,Services from/to KBK,Disruptions on path to KBK
AC,97,0.0,382
AH,38,0.0,3
AHP,37,0.0,7
AHPR,35,0.0,6
AHZ,46,0.0,260
AKL,115,0.0,321
AKM,132,0.0,100
ALM,99,0.0,36
ALMB,105,0.0,167
ALMM,98,0.0,288
ALMO,107,0.0,167
ALMP,101,0.0,167
AMF,52,0.0,36
AMFS,55,0.0,276
AML,63,0.0,102
AMPO,96,0.0,288
AMR,136,0.0,575
AMRI,65,0.0,172
AMRN,137,0.0,650
ANA,166,0.0,661
APD,9,27.64516129032258,1
APDM,8,27.64516129032258,0
APDO,12,0.0,36
APG,195,0.0,130
APN,108,0.0,286
ARN,232,0.0,716
ASA,94,0.0,280
ASB,94,0.0,280
ASD,97,0.0,290
ASDL,104,0.0,548
ASDM,93,0.0,276
ASDZ,96,0.0,277
ASHD,95,0.0,294
ASN,133,0.0,50
ASS,101,0.0,548
ASSP,92,0.0,295
ATN,66,0.0,14
AVAT,58,0.0,282
BD,143,0.0,388
BDE,182,0.0,461
BDG,100,0.0,277
BDM,176,0.0,119
BDPB,148,0.0,711
BET,122,0.0,375
BF,180,0.0,119
BGN,180,0.0,716
BHDV,126,0.0,341
BHV,64,0.0,280
BK,175,0.0,462
BKF,155,0.0,633
BKG,154,0.0,629
BKL,85,0.0,349
BL,117,0.0,50
BLL,119,0.0,585
BMN,16,0.0,0
BMR,82,0.0,295
BN,59,0.0,67
BNC,70,0.0,283
BNK,81,0.0,349
BNN,68,0.0,276
BNZ,68,0.0,283
BP,174,0.0,67
BR,117,0.0,324
BRD,140,0.0,510
BRN,61,0.0,276
BSD,101,0.0,320
BSK,114,0.0,367
BSKS,115,0.0,390
BSMZ,73,0.0,277
BTL,112,0.0,375
BV,126,0.0,569
BZL,212,0.0,747
CAS,124,0.0,572
CK,72,0.0,292
CL,91,0.0,377
CO,103,0.0,189
CPS,118,0.0,434
CVM,192,0.0,479
DA,74,0.0,172
DB,84,0.0,282
DDN,49,0.0,15
DDR,143,0.0,352
DDRS,140,0.0,352
DDZD,144,0.0,469
DEI,154,0.0,67
DID,55,0.0,12
DL,67,0.0,50
DLD,61,0.0,276
DLN,107,0.0,203
DMN,90,0.0,294
DMNZ,90,0.0,277
DN,145,0.0,376
DR,22,0.0,0
DRH,124,0.0,586
DRON,87,0.0,50
DRP,161,0.0,81
DT,142,0.0,449
DTC,66,0.0,32
DTCH,64,0.0,32
DTCP,142,0.0,504
DV,24,0.0,36
DVC,28,0.0,36
DVD,92,0.0,277
DVN,45,0.0,9
DVNK,126,0.0,384
DWE,167,0.0,67
DZ,199,0.0,148
DZW,198,0.0,148
EC,155,0.0,459
ED,55,0.0,260
EDC,57,0.0,282
EDN,197,0.0,463
EEM,206,0.0,147
EGH,191,0.0,478
EGHM,192,0.0,478
EHS,131,0.0,451
EHV,132,0.0,375
EKZ,158,0.0,641
EML,75,0.0,276
EMN,123,0.0,204
EMNZ,119,0.0,203
ES,62,0.0,67
ESK,58,0.0,67
EST,49,0.0,260
ETN,154,0.0,711
FN,167,0.0,67
FWD,164,0.0,67
GBG,96,0.0,189
GD,105,0.0,349
GDG,102,0.0,349
GDM,94,0.0,277
GDR,71,0.0,49
GERP,159,0.0,103
GK,180,0.0,118
GLN,171,0.0,461
GN,161,0.0,103
GND,129,0.0,341
GNN,165,0.0,118
GO,39,0.0,7
GP,138,0.0,437
GR,120,0.0,339
GS,217,0.0,716
GV,134,0.0,434
GVC,133,0.0,352
GVM,134,0.0,469
GVMW,135,0.0,449
GW,137,0.0,107
GZ,133,0.0,390
HAD,120,0.0,569
HB,182,0.0,492
HBZM,132,0.0,351
HD,79,0.0,279
HDB,90,0.0,176
HDE,73,0.0,50
HDG,160,0.0,67
HDR,178,0.0,670
HDRZ,177,0.0,670
HFD,112,0.0,351
HGL,54,0.0,48
HGLG,52,0.0,48
HGLO,56,0.0,67
HGV,103,0.0,50
HGZ,172,0.0,126
HIL,127,0.0,569
HK,123,0.0,608
HKS,150,0.0,625
HLG,176,0.0,68
HLGH,177,0.0,72
HLM,116,0.0,548
HLMS,115,0.0,569
HLO,131,0.0,575
HM,145,0.0,418
HMBH,146,0.0,422
HMBV,142,0.0,437
HMH,144,0.0,437
HMN,63,0.0,274
HN,140,0.0,569
HNK,141,0.0,625
HNO,67,0.0,50
HNP,192,0.0,70
HON,43,0.0,36
HOR,74,0.0,277
HR,121,0.0,107
HRL,186,0.0,461
HRLW,188,0.0,478
HRN,155,0.0,103
HRT,127,0.0,376
HT,100,0.0,302
HTN,81,0.0,349
HTNC,82,0.0,377
HTO,99,0.0,302
HVL,58,0.0,276
HVS,68,0.0,276
HVSM,69,0.0,277
HVSP,69,0.0,277
HWD,143,0.0,651
HWZB,108,0.0,569
HZE,143,0.0,443
IJT,175,0.0,68
KBD,199,0.0,716
KBK,0,0.0,0
KLP,62,0.0,282
KMA,115,0.0,582
KMR,194,0.0,478
KMW,197,0.0,75
KPN,70,0.0,50
KPNZ,70,0.0,50
KRD,194,0.0,489
KRG,206,0.0,716
KTR,70,0.0,274
KW,169,0.0,124
KZ,109,0.0,572
LAA,134,0.0,381
LC,26,0.0,0
LDL,122,0.0,367
LDM,108,0.0,321
LEDN,123,0.0,374
LG,189,0.0,478
LLS,112,0.0,50
LLZM,118,0.0,434
LP,187,0.0,130
LTN,63,0.0,283
LTV,44,0.7096774193548387,2
LUT,171,0.0,461
LW,150,0.0,50
LWC,153,0.0,67
MAS,80,0.0,349
MDB,236,0.0,743
MES,194,0.0,463
MG,160,0.0,67
MMLH,67,0.0,281
MP,83,0.0,50
MRB,82,0.0,173
MRN,92,0.0,314
MT,188,0.0,461
MTH,170,0.0,126
MTN,191,0.0,463
MTR,189,0.0,463
MZ,153,0.0,448
NDB,74,0.0,277
NH,179,0.0,492
NKK,63,0.0,276
NM,57,0.0,260
NMD,62,0.0,281
NMGO,60,0.0,281
NMH,60,0.0,281
NML,56,0.0,274
NS,82,0.0,50
NSCH,205,0.0,133
NVD,66,0.0,43
NVP,117,0.0,479
NWK,114,0.0,434
O,81,0.0,281
OBD,149,0.0,569
ODB,174,0.0,716
ODZ,65,0.0,67
OMN,78,0.0,57
OP,66,0.0,274
OST,34,0.0,102
OT,121,0.0,418
OTB,42,0.0,260
OVN,118,0.0,585
OW,82,0.0,302
PMO,122,0.0,548
PMR,121,0.0,569
PMW,120,0.0,572
PT,70,0.0,276
RAI,95,0.0,280
RAT,73,0.0,50
RB,196,0.0,747
RD,199,0.0,134
RH,28,0.0,3
RHN,115,0.0,317
RL,31,0.7096774193548387,2
RLB,136,0.0,504
RM,142,0.0,410
RS,93,0.0,302
RSD,167,0.0,711
RSN,50,0.0,36
RSW,137,0.0,449
RTA,119,0.0,434
RTB,130,0.0,504
RTD,129,0.0,434
RTN,124,0.0,436
RTST,134,0.0,504
RTZ,133,0.0,504
RV,131,0.0,396
RVS,73,0.0,260
SBK,174,0.0,491
SD,65,0.0,290
SDA,188,0.0,124
SDM,133,0.0,504
SDT,133,0.0,351
SDTB,136,0.0,352
SGL,198,0.0,477
SGN,157,0.0,661
SHL,107,0.0,351
SK,172,0.0,67
SKND,171,0.0,67
SM,137,0.0,410
SN,176,0.0,492
SOG,196,0.0,478
SPTN,123,0.0,585
SPTZ,121,0.0,585
SRN,160,0.0,488
SSH,128,0.0,479
ST,66,0.0,290
STD,167,0.0,459
STM,183,0.0,130
STV,201,0.0,75
STZ,67,0.0,280
SWD,172,0.0,118
SWK,97,0.0,100
TB,122,0.0,375
TBG,72,0.0,49
TBR,127,0.0,388
TBU,123,0.0,388
TG,124,0.0,377
TL,82,0.0,277
TPSW,84,0.0,277
TWL,19,0.0,36
UHM,196,0.0,134
UHZ,193,0.0,134
UST,188,0.0,133
UT,73,0.0,276
UTG,120,0.0,607
UTLN,77,0.0,349
UTLR,76,0.0,349
UTO,70,0.0,276
UTT,78,0.0,349
UTVR,74,0.0,349
UTZL,75,0.0,349
VB,130,0.0,434
VD,21,0.7096774193548387,0
VDL,190,0.0,478
VDM,188,0.0,131
VEM,5,27.64516129032258,0
VG,104,0.0,375
VH,131,0.0,384
VHP,76,0.0,173
VK,199,0.0,478
VL,119,0.0,376
VLB,89,0.0,323
VNDC,107,0.0,316
VNDW,106,0.0,316
VP,32,0.0,6
VRY,96,0.0,324
VS,242,0.0,743
VSS,241,0.0,716
VST,128,0.0,469
VSV,75,0.0,33
VTN,80,0.0,354
VZ,69,0.0,172
WAD,113,0.0,434
WADN,114,0.0,434
WADT,112,0.0,434
WC,66,0.0,260
WD,89,0.0,276
WDN,58,0.0,43
WF,46,0.0,260
WFM,185,0.0,133
WH,41,0.0,112
WK,188,0.0,70
WL,61,0.0,32
WM,113,0.0,572
WP,83,0.0,288
WR,215,0.0,142
WS,193,0.0,133
WSM,177,0.0,119
WT,160,0.0,418
WTV,41,0.0,9
WV,110,0.0,50
WW,54,0.7096774193548387,14
WWW,53,0.7096774193548387,14
WZ,64,0.0,50
YPB,126,0.0,352
ZA,60,0.0,274
ZB,180,0.0,127
ZBM,103,0.0,320
ZD,107,0.0,569
ZDK,110,0.0,572
ZH,173,0.0,118
ZL,55,0.0,36
ZLSH,60,0.0,50
ZLW,158,0.0,729
ZP,9,27.64516129032258,0
ZTM,121,0.0,349
ZTMO,120,0.0,434
ZV,50,0.0,12
ZVB,166,0.0,734
ZVT,124,0.0,585
ZWD,145,0.0,469
ZZS,110,0.0,572
