station,distance,services_per_day,n_of_disruptions
AC,208,0,312
AH,156,0,218
AHP,157,0,475
AHPR,159,0,477
AHZ,148,0,232
AKL,179,0,247
AKM,309,0,618
ALM,233,0,289
ALMB,239,0,420
ALMM,232,0,288
ALMO,241,0,420
ALMP,235,0,420
AMF,205,0,276
AMFS,208,0,516
AML,240,0,544
AMPO,230,0,288
AMR,262,0,561
AMRI,242,0,614
AMRN,263,0,636
ANA,292,0,647
APD,203,0,478
APDM,202,0,479
APDO,206,0,513
APG,372,0,648
APN,219,0,286
ARN,251,0,489
ASA,217,0,276
ASB,213,0,276
ASD,223,0,276
ASDL,230,0,555
ASDM,219,0,313
ASDZ,219,0,279
ASHD,214,0,290
ASN,310,0,568
ASS,227,0,534
ASSP,220,0,327
ATN,208,0,512
AVAT,211,0,522
BD,162,0,130
BDE,24,0,16
BDG,211,0,277
BDM,353,0,637
BDPB,167,0,453
BET,114,0,130
BF,357,0,637
BGN,199,0,458
BHDV,190,0,267
BHV,193,0,276
BK,31,0,47
BKF,281,0,619
BKG,280,0,615
BKL,196,0,279
BL,294,0,573
BLL,245,0,571
BMN,178,0,478
BMR,112,0,155
BN,235,0,545
BNC,188,0,498
BNK,190,0,327
BNN,191,0,514
BNZ,186,0,498
BP,351,0,585
BR,77,0,102
BRD,201,0,570
BRN,208,0,300
BSD,165,0,246
BSK,225,0,367
BSKS,226,0,390
BSMZ,207,0,277
BTL,124,0,206
BV,252,0,594
BZL,231,0,489
CAS,250,0,558
CK,122,0,183
CL,166,0,246
CO,280,0,631
CPS,223,0,525
CVM,14,36.54838709677419,18
DA,251,0,614
DB,194,0,371
DDN,225,0,493
DDR,192,0,453
DDRS,195,0,570
DDZD,191,0,476
DEI,331,0,585
DID,175,0,475
DL,244,0,568
DLD,196,0,296
DLN,284,0,645
DMN,222,0,327
DMNZ,217,0,279
DN,105,0,154
DR,172,0,475
DRH,250,0,590
DRON,264,0,568
DRP,338,0,599
DT,226,0,523
DTC,186,0,495
DTCH,184,0,495
DTCP,225,0,523
DV,201,0,478
DVC,205,0,544
DVD,215,0,276
DVN,165,0,477
DVNK,237,0,384
DWE,344,0,585
DZ,376,0,666
DZW,375,0,666
EC,39,0,21
ED,173,0,475
EDC,175,0,497
EDN,27,0,16
EEM,383,0,665
EGH,13,36.54838709677419,17
EGHM,14,0,17
EHS,105,0,130
EHV,104,0,68
EKZ,284,0,627
EML,228,0,519
EMN,300,0,646
EMNZ,296,0,645
ES,238,0,545
ESE,244,0,574
ESK,234,0,545
EST,145,0,218
ETN,173,0,453
FN,344,0,585
FWD,341,0,585
GBG,273,0,631
GBR,247,0,574
GD,216,0,276
GDG,213,0,276
GDM,158,0,203
GDR,191,0,512
GERP,336,0,621
GK,357,0,636
GLN,23,0,18
GN,338,0,621
GND,193,0,267
GNN,342,0,636
GO,215,0,485
GP,98,0,75
GR,184,0,265
GS,236,0,489
GV,234,0,624
GVC,235,0,639
GVM,239,0,639
GVMW,233,0,624
GW,314,0,575
GZ,152,0,145
HAD,246,0,571
HB,12,0,17
HBZM,196,0,277
HD,232,0,519
HDB,267,0,618
HDE,250,0,568
HDG,337,0,585
HDR,304,0,656
HDRZ,303,0,656
HFD,235,0,340
HGL,230,0,526
HGLG,228,0,526
HGLO,232,0,545
HGV,280,0,568
HGZ,349,0,644
HIL,252,0,384
HK,249,0,594
HKS,276,0,611
HLG,353,0,586
HLGH,354,0,590
HLM,242,0,534
HLMS,241,0,555
HLO,257,0,561
HM,114,0,182
HMBH,113,0,182
HMBV,114,0,130
HMH,115,0,186
HMN,159,0,232
HN,266,0,555
HNK,267,0,611
HNO,244,0,568
HNP,369,0,588
HON,220,0,544
HOR,196,0,276
HR,298,0,568
HRL,8,38.41935483870968,0
HRLW,6,38.41935483870968,0
HRN,332,0,621
HRT,87,0,154
HT,136,0,130
HTN,176,0,299
HTNC,175,0,299
HTO,137,0,203
HVL,201,0,515
HVS,202,0,276
HVSM,203,0,277
HVSP,201,0,276
HWD,269,0,637
HWZB,234,0,555
HZE,93,0,70
IJT,352,0,586
KBD,218,0,489
KBK,194,0,478
KLP,180,0,497
KMA,241,0,568
KMW,374,0,593
KPN,247,0,568
KPNZ,247,0,568
KRD,16,36.54838709677419,28
KRG,225,0,489
KTR,166,0,232
KW,346,0,642
KZ,235,0,558
LAA,236,0,639
LC,202,0,478
LDL,233,0,367
LDM,172,0,247
LEDN,234,0,374
LEER,407,0,660
LG,11,36.54838709677419,17
LLS,257,0,420
LLZM,229,0,361
LP,364,0,648
LTN,181,0,498
LTV,220,0,480
LUT,31,0,19
LW,327,0,568
LWC,330,0,585
MAS,191,0,276
MDB,255,0,489
MES,12,38.41935483870968,0
MG,337,0,585
MMLH,127,0,186
MP,260,0,568
MRB,259,0,615
MRN,202,0,403
MT,18,38.41935483870968,14
MTH,347,0,644
MTN,15,38.41935483870968,14
MTR,19,38.41935483870968,16
MZ,83,0,68
[NEA,inf,0,0
NDB,208,0,277
NH,15,0,17
NKK,216,0,516
NM,137,0,197
NMD,142,0,218
NMGO,140,0,218
NMH,134,0,197
NML,138,0,218
NS,244,0,516
NSCH,382,0,651
NVD,243,0,551
NVP,240,0,468
NWK,225,0,361
O,155,0,203
OBD,275,0,647
ODB,193,0,458
ODZ,241,0,545
OMN,255,0,575
OP,162,0,232
OST,211,0,544
OT,133,0,249
OTB,160,0,475
OVN,244,0,571
OW,154,0,206
PMO,248,0,556
PMR,247,0,555
PMW,246,0,558
PT,223,0,519
RAI,218,0,279
RAT,250,0,568
RB,215,0,489
RD,376,0,652
RH,166,0,478
RHN,225,0,406
RL,207,0,480
RLB,205,0,669
RM,52,0,19
RS,143,0,206
RSD,186,0,453
RSN,227,0,544
RSW,231,0,624
RTA,222,0,523
RTB,211,0,570
RTD,212,0,453
RTN,217,0,523
RTST,207,0,675
RTZ,208,0,675
RV,63,0,68
RVS,153,0,218
SBK,20,0,17
SD,204,0,300
SDA,365,0,642
SDM,216,0,523
SDT,197,0,277
SDTB,199,0,572
SGL,8,38.41935483870968,0
SGN,283,0,647
SHL,230,0,290
SK,349,0,585
SKND,348,0,585
SM,57,0,68
SN,18,0,17
SOG,2,38.41935483870968,0
SPTN,249,0,589
SPTZ,247,0,589
SRN,34,0,19
SSH,242,0,384
ST,203,0,300
STD,27,0,17
STM,360,0,648
STV,378,0,593
STZ,202,0,300
SWD,349,0,636
SWK,274,0,618
TB,141,0,130
TBG,192,0,512
TBR,146,0,143
TBU,142,0,143
TG,70,0,82
TL,170,0,246
TPSW,168,0,246
TWL,206,0,544
UHM,373,0,652
UHZ,370,0,652
UST,365,0,651
UT,184,0,203
UTG,246,0,593
UTLN,180,0,327
UTLR,187,0,276
UTM,192,0,276
UTO,187,0,276
UTT,189,0,276
UTVR,183,0,327
UTZL,186,0,276
VB,238,0,668
VD,197,0,478
