Station Code,Distance from KMW,Services from/to KMW,Disruptions on path to KMW
AC,253,0.0,388
AH,218,0.0,118
AHP,217,0.0,122
AHPR,215,0.0,121
AHZ,226,0.0,375
AKL,276,0.0,477
AKM,65,0.0,27
ALM,223,0.0,39
ALMB,217,0.0,39
ALMM,224,0.0,170
ALMO,215,0.0,39
ALMP,221,0.0,44
AMF,208,0.0,39
AMFS,205,0.0,39
AML,187,0.0,51
AMPO,226,0.0,171
AMR,292,0.0,455
AMRI,189,0.0,121
AMRN,293,0.0,530
ANA,322,0.0,541
APD,188,0.0,39
APDM,189,0.0,74
APDO,185,0.0,115
APG,135,0.0,52
APN,264,0.0,289
ARN,407,0.0,663
ASA,250,0.0,173
ASB,250,0.0,173
ASD,253,0.0,170
ASDL,260,0.0,449
ASDM,249,0.0,178
ASDZ,252,0.0,170
ASHD,251,0.0,187
ASN,129,0.0,40
ASS,257,0.0,428
ASSP,248,0.0,178
ATN,246,0.0,129
AVAT,202,0.0,45
BD,320,0.0,438
BDE,362,0.0,577
BDG,256,0.0,280
BDM,116,0.0,41
BDPB,325,0.0,761
BET,299,0.0,468
BF,120,0.0,41
BGN,355,0.0,632
BHDV,287,0.0,497
BHV,220,0.0,283
BK,355,0.0,577
BKF,311,0.0,513
BKG,310,0.0,509
BKL,241,0.0,355
BL,145,0.0,93
BLL,275,0.0,465
BMN,196,0.0,115
BMR,262,0.0,410
BN,196,0.0,121
BNC,227,0.0,280
BNK,237,0.0,352
BNN,224,0.0,279
BNZ,229,0.0,296
BP,71,0.0,25
BR,297,0.0,439
BRD,296,0.0,522
BRN,217,0.0,279
BSD,262,0.0,476
BSK,270,0.0,370
BSKS,271,0.0,393
BSMZ,229,0.0,280
BTL,289,0.0,425
BV,282,0.0,488
BZL,387,0.0,663
CAS,280,0.0,452
CK,252,0.0,407
CL,247,0.0,380
CO,197,0.0,59
CPS,274,0.0,437
CVM,372,0.0,594
DA,184,0.0,49
DB,241,0.0,352
DDN,206,0.0,140
DDR,304,0.0,510
DDRS,301,0.0,508
DDZD,305,0.0,627
DEI,51,0.0,25
DID,235,0.0,127
DL,154,0.0,39
DLD,217,0.0,279
DLN,201,0.0,73
DMN,246,0.0,177
DMNZ,246,0.0,177
DN,325,0.0,491
DR,202,0.0,115
DRH,280,0.0,484
DRON,174,0.0,39
DRP,58,0.0,39
DT,298,0.0,452
DTC,246,0.0,147
DTCH,244,0.0,147
DTCP,298,0.0,507
DV,173,0.0,49
DVC,177,0.0,115
DVD,248,0.0,170
DVN,225,0.0,124
DVNK,282,0.0,387
DWE,64,0.0,25
DZ,139,0.0,70
DZW,138,0.0,70
EC,335,0.0,574
ED,235,0.0,375
EDC,237,0.0,397
EDN,377,0.0,578
EEM,146,0.0,69
EGH,371,0.0,593
EGHM,372,0.0,593
EHS,308,0.0,544
EHV,309,0.0,425
EKZ,314,0.0,521
EML,185,0.0,42
EMN,217,0.0,74
EMNZ,213,0.0,73
ES,209,0.0,140
ESK,205,0.0,140
EST,229,0.0,375
ETN,331,0.0,761
FN,64,0.0,25
FWD,61,0.0,25
GBG,190,0.0,59
GD,261,0.0,352
GDG,258,0.0,280
GDM,255,0.0,433
GDR,251,0.0,164
GERP,103,0.0,40
GK,82,0.0,48
GLN,351,0.0,576
GN,101,0.0,25
GND,290,0.0,497
GNN,105,0.0,40
GO,216,0.0,173
GP,315,0.0,487
GR,281,0.0,495
GS,392,0.0,663
GV,290,0.0,437
GVC,289,0.0,437
GVM,290,0.0,472
GVMW,291,0.0,452
GW,60,0.0,25
GZ,310,0.0,440
HAD,276,0.0,465
