station,distance,services_per_day,n_of_disruptions
AC,126,0,363
AH,91,0,93
AHP,90,0,97
AHPR,88,0,96
AHZ,99,0,350
AKL,149,0,452
AKM,92,0,64
ALM,96,0,25
ALMB,90,0,25
ALMM,97,0,156
ALMO,88,0,14
ALMP,94,0,30
AMF,81,0,14
AMFS,78,0,14
AML,60,0,26
AMPO,99,0,157
AMR,165,0,441
AMRI,62,0,96
AMRN,166,0,516
ANA,195,0,527
APD,61,0,14
APDM,62,0,49
APDO,58,0,90
APG,155,0,94
APN,137,0,264
ARN,280,0,638
ASA,123,0,159
ASB,123,0,159
ASD,126,0,156
ASDL,133,0,435
ASDM,122,0,273
ASDZ,125,0,156
ASHD,124,0,173
ASN,93,0,14
ASS,130,0,414
ASSP,121,0,273
ATN,119,0,104
AVAT,75,0,20
BD,193,0,413
BDE,235,0,552
BDG,129,0,255
BDM,136,0,83
BDPB,198,0,736
BET,172,0,443
BF,140,0,83
BGN,228,0,607
BHDV,160,0,472
BHV,93,0,258
BK,228,0,552
BKF,184,0,499
BKG,183,0,495
BKL,114,0,330
BL,77,0,19
BLL,148,0,451
BMN,69,0,90
BMR,135,0,385
BN,69,0,96
BNC,100,0,255
BNK,110,0,327
BNN,97,0,254
BNZ,102,0,271
BP,134,0,31
BR,170,0,414
BRD,169,0,497
BRN,90,0,254
BSD,135,0,451
BSK,143,0,345
BSKS,144,0,368
BSMZ,102,0,255
BTL,162,0,400
BV,155,0,474
BZL,260,0,638
CAS,153,0,438
CK,125,0,382
CL,120,0,355
CO,70,0,34
CPS,147,0,412
CVM,245,0,569
DA,57,0,24
DB,114,0,327
DDN,79,0,115
DDR,177,0,485
DDRS,174,0,483
DDZD,178,0,602
DEI,114,0,31
DID,108,0,102
DL,27,0,14
DLD,90,0,254
DLN,74,0,48
DMN,119,0,272
DMNZ,119,0,272
DN,198,0,466
DR,75,0,90
DRH,153,0,470
DRON,47,0,14
DRP,121,0,45
DT,171,0,427
DTC,119,0,122
DTCH,117,0,122
DTCP,171,0,482
DV,46,0,24
DVC,50,0,90
DVD,121,0,156
DVN,98,0,99
DVNK,155,0,362
DWE,127,0,31
DZ,159,0,112
DZW,158,0,112
EC,208,0,549
ED,108,0,350
EDC,110,0,372
EDN,250,0,553
EEM,166,0,111
EGH,244,0,568
EGHM,245,0,568
EHS,181,0,519
EHV,182,0,400
EKZ,187,0,507
EML,58,0,17
EMN,90,0,49
EMNZ,86,0,48
ES,82,0,115
ESE,88,0,144
ESK,78,0,115
EST,102,0,350
ETN,204,0,736
FN,127,0,31
FWD,124,0,31
GBG,63,0,34
GBR,91,0,144
GD,134,0,327
GDG,131,0,255
GDM,128,0,408
GDR,124,0,139
GERP,119,0,67
GK,140,0,82
GLN,224,0,551
GN,121,0,67
GND,163,0,472
GNN,125,0,82
GO,89,0,148
GP,188,0,462
GR,154,0,470
GS,265,0,638
GV,163,0,412
GVC,162,0,412
GVM,163,0,447
GVMW,164,0,427
GW,97,0,21
GZ,183,0,415
HAD,149,0,451
HB,235,0,582
HBZM,166,0,482
HD,54,0,14
HDB,57,0,21
HDE,33,0,14
HDG,120,0,31
HDR,207,0,536
HDRZ,206,0,536
HFD,141,0,280
HGL,74,0,96
HGLG,76,0,115
HGLO,76,0,115
HGV,63,0,14
HGZ,132,0,90
HIL,156,0,491
HK,152,0,474
HKS,179,0,491
HLG,136,0,32
HLGH,137,0,36
HLM,145,0,414
HLMS,144,0,435
HLO,160,0,441
HM,195,0,462
HMBH,196,0,466
HMBV,192,0,462
HMH,194,0,462
HMN,116,0,364
HN,169,0,435
HNK,170,0,491
HNO,27,0,14
HNP,152,0,34
HON,65,0,90
HOR,103,0,255
HR,81,0,14
HRL,239,0,551
HRLW,241,0,568
HRN,115,0,67
HRT,180,0,466
HT,150,0,327
HTN,110,0,327
HTNC,111,0,355
HTO,151,0,400
HVL,87,0,254
HVS,97,0,254
HVSM,98,0,255
HVSP,98,0,255
HWD,172,0,517
HWZB,137,0,435
HZE,193,0,468
IJT,135,0,32
KBD,247,0,638
KBK,70,0,50
KLP,115,0,372
KMA,144,0,448
KMR,247,0,568
KMW,157,0,39
KPNZ,30,0,14
KRD,247,0,579
KRG,254,0,638
KTR,123,0,364
KW,129,0,88
KZ,138,0,441
LAA,163,0,441
LC,79,0,90
LDL,151,0,345
LDM,142,0,452
LEDN,152,0,352
LEER,190,0,106
LG,242,0,568
LLS,72,0,14
LLZM,147,0,412
LP,147,0,94
LTN,107,0,271
LTV,97,0,92
LUT,224,0,551
LW,110,0,14
LWC,113,0,31
MAS,109,0,327
MDB,284,0,638
MES,247,0,553
MG,120,0,31
MMLH,120,0,371
MP,43,0,14
MRB,49,0,21
MRN,122,0,359
MT,241,0,551
MTH,130,0,90
MTN,244,0,553
MTR,242,0,553
MZ,203,0,473
[NEA,inf,0,0
NDB,103,0,255
NH,232,0,582
NKK,70,0,17
NM,110,0,350
NMD,115,0,371
NMGO,113,0,371
NMH,113,0,371
NML,109,0,364
NS,42,0,14
NSCH,165,0,97
NVD,47,0,14
NVP,146,0,411
NWK,143,0,412
O,134,0,371
OBD,178,0,530
ODB,208,0,607
ODZ,85,0,115
OMN,38,0,21
OP,119,0,364
OST,36,0,14
OT,171,0,443
OTB,95,0,350
OVN,147,0,454
OW,135,0,392
PMO,151,0,439
PMR,150,0,438
PMW,149,0,441
PT,63,0,31
RAI,124,0,162
RAT,33,0,14
RB,244,0,638
RD,159,0,98
RH,81,0,93
RHN,145,0,362
RL,84,0,92
RLB,165,0,491
RM,195,0,500
RS,146,0,392
RSD,215,0,602
RSN,63,0,26
RSW,166,0,427
RTA,148,0,412
RTB,159,0,482
RTD,158,0,412
RTN,153,0,414
RTST,163,0,491
RTZ,162,0,491
RV,184,0,486
RVS,126,0,350
SBK,227,0,581
SD,94,0,268
SDA,148,0,88
SDM,162,0,482
SDT,167,0,482
SDTB,170,0,483
SGL,251,0,567
SGN,186,0,530
SHL,136,0,233
SK,132,0,31
SKND,131,0,31
SM,190,0,500
SN,229,0,582
SOG,249,0,568
SPTN,152,0,472
SPTZ,150,0,472
SRN,213,0,578
SSH,157,0,411
ST,95,0,268
STD,220,0,549
STM,143,0,94
STV,161,0,39
STZ,96,0,258
SWD,132,0,82
SWK,57,0,64
TB,172,0,400
TBG,125,0,139
TBR,177,0,413
TBU,173,0,413
TG,177,0,467
TL,135,0,367
TPSW,137,0,367
TWL,51,0,90
UHM,156,0,98
UHZ,153,0,98
UST,148,0,97
UT,102,0,254
UTG,149,0,476
UTLN,106,0,327
UTLR,105,0,327
UTM,110,0,327
UTO,99,0,278
UTT,107,0,327
UTVR,103,0,327
UTZL,104,0,327
VB,159,0,412
VD,74,0,90
VDL,243,0,568
VDM,148,0,95
VEM,66,0,90
VG,154,0,400
VH,160,0,362
VHP,55,0,24
VK,252,0,568
VL,172,0,466
VLB,142,0,413
VNDC,137,0,361
VNDW,136,0,361
VP,85,0,96
VRY,149,0,414
VS,290,0,640
VSS,289,0,640
VST,157,0,447
VSV,128,0,123
VTN,109,0,332
VZ,62,0,25
WAD,142,0,412
WADN,143,0,412
WADT,141,0,412
WC,119,0,350
WD,118,0,254
WDN,55,0,26
WF,99,0,350
WFM,145,0,97
WH,29,0,14
WK,148,0,34
WL,114,0,122
WM,142,0,441
WP,112,0,266
WR,175,0,106
WS,153,0,97
WSM,137,0,83
WT,210,0,462
WTV,94,0,99
WV,70,0,14
WW,107,0,104
WWW,106,0,104
WZ,24,0,14
YPB,155,0,412
ZA,113,0,364
ZB,140,0,91
ZBM,137,0,451
ZD,136,0,438
ZDK,139,0,441
ZH,133,0,82
ZL,15,0,0
ZLSH,10,0,0
ZLW,192,0,602
ZP,62,0,90
ZTM,150,0,412
ZTMO,149,0,412
