Station Code,Distance from KRD,Services from/to KRD,Disruptions on path to KRD
AC,208,0.0,228
AH,156,0.0,229
AHP,157,0.0,486
AHPR,159,0.0,486
AHZ,148,0.0,243
AKL,179,0.0,239
AKM,309,0.0,629
ALM,233,0.0,281
ALMB,239,0.0,412
ALMM,232,0.0,280
ALMO,241,0.0,412
ALMP,235,0.0,412
AMF,205,0.0,268
AMFS,208,0.0,508
AML,240,0.0,555
AMPO,230,0.0,280
AMR,236,0.0,93
AMRI,242,0.0,625
AMRN,237,0.0,168
ANA,266,0.0,179
APD,203,0.0,489
APDM,202,0.0,490
APDO,206,0.0,524
APG,372,0.0,659
APN,187,0.0,60
ARN,251,0.0,469
ASA,217,0.0,268
ASB,213,0.0,268
ASD,220,0.0,72
ASDL,213,0.0,122
ASDM,219,0.0,305
ASDZ,212,0.0,122
ASHD,212,0.0,355
ASN,310,0.0,579
ASS,216,0.0,53
ASSP,220,0.0,319
ATN,208,0.0,523
AVAT,211,0.0,514
BD,162,0.0,141
BDE,40,0.0,30
BDG,195,0.0,141
BDM,353,0.0,648
BDPB,167,0.0,464
BET,114,0.0,141
BF,357,0.0,648
BGN,199,0.0,469
BHDV,190,0.0,259
BHV,193,0.0,268
BK,35,0.0,31
BKF,270,0.0,138
BKG,269,0.0,134
BKL,196,0.0,195
BL,294,0.0,579
BLL,204,0.0,53
BMN,178,0.0,489
BMR,112,0.0,166
BN,235,0.0,556
BNC,188,0.0,252
BNK,190,0.0,319
BNN,191,0.0,268
BNZ,186,0.0,252
BP,351,0.0,596
BR,77,0.0,113
BRD,187,0.0,205
BRN,208,0.0,292
BSD,165,0.0,238
BSK,193,0.0,141
BSKS,194,0.0,164
BSMZ,207,0.0,269
BTL,124,0.0,79
BV,214,0.0,55
BZL,231,0.0,500
CAS,224,0.0,90
CK,122,0.0,194
CL,166,0.0,238
CO,280,0.0,642
CPS,187,0.0,201
CVM,2,37.54838709677419,0
DA,251,0.0,625
DB,194,0.0,363
DDN,225,0.0,504
DDR,192,0.0,464
DDRS,195,0.0,581
DDZD,191,0.0,487
DEI,331,0.0,596
DID,175,0.0,486
DL,244,0.0,579
DLD,196,0.0,288
DLN,284,0.0,656
DMN,222,0.0,319
DMNZ,217,0.0,271
DN,105,0.0,113
DR,172,0.0,486
DRH,209,0.0,54
DRON,264,0.0,579
DRP,338,0.0,610
DT,162,0.0,28
DTC,186,0.0,506
DTCH,184,0.0,506
DTCP,163,0.0,129
DV,201,0.0,489
DVC,205,0.0,555
DVD,215,0.0,268
DVN,165,0.0,488
DVNK,169,0.0,46
DWE,344,0.0,596
DZ,376,0.0,677
DZW,375,0.0,677
EC,39,0.0,32
ED,173,0.0,229
EDC,175,0.0,251
EDN,43,0.0,30
EEM,383,0.0,676
EGH,3,37.54838709677419,10
EGHM,8,0.0,11
EHS,105,0.0,141
EHV,104,0.0,79
EKZ,273,0.0,146
EML,228,0.0,508
EMN,300,0.0,657
EMNZ,296,0.0,656
ES,238,0.0,556
ESK,234,0.0,556
EST,145,0.0,229
ETN,173,0.0,464
FN,344,0.0,596
FWD,341,0.0,596
GBG,273,0.0,642
GD,185,0.0,43
GDG,188,0.0,128
GDM,158,0.0,195
GDR,191,0.0,523
GERP,336,0.0,632
GK,357,0.0,647
GLN,23,0.0,29
GN,338,0.0,632
GND,193,0.0,259
GNN,342,0.0,647
GO,215,0.0,496
GP,98,0.0,86
GR,184,0.0,257
GS,236,0.0,469
GV,156,0.0,28
GVC,157,0.0,43
GVM,161,0.0,43
GVMW,155,0.0,28
GW,314,0.0,636
GZ,152,0.0,137
HAD,197,0.0,53
HB,12,0.0,28
HBZM,196,0.0,269
HD,232,0.0,511
HDB,267,0.0,629
HDE,250,0.0,579
HDG,337,0.0,596
HDR,278,0.0,188
HDRZ,277,0.0,188
HFD,196,0.0,43
HGL,230,0.0,537
HGLG,228,0.0,537
HGLO,232,0.0,556
HGV,280,0.0,579
HGZ,349,0.0,655
HIL,190,0.0,53
HK,217,0.0,73
HKS,265,0.0,130
HLG,353,0.0,597
HLGH,354,0.0,601
HLM,201,0.0,53
HLMS,202,0.0,53
HLO,231,0.0,73
HM,114,0.0,141
HMBH,113,0.0,141
HMBV,114,0.0,141
HMH,115,0.0,145
HMN,159,0.0,243
HN,255,0.0,74
HNK,256,0.0,130
HNO,244,0.0,579
HNP,369,0.0,599
HON,220,0.0,489
HOR,196,0.0,268
HR,298,0.0,636
HRL,8,37.54838709677419,11
HRLW,10,36.41935483870968,28
HRN,332,0.0,632
HRT,87,0.0,165
HT,136,0.0,122
HTN,176,0.0,291
HTNC,175,0.0,291
HTO,137,0.0,195
HVL,201,0.0,269
HVS,202,0.0,268
HVSM,203,0.0,269
HVSP,201,0.0,268
HWD,243,0.0,169
HWZB,209,0.0,53
HZE,93,0.0,81
IJT,352,0.0,597
KBD,218,0.0,469
KBK,194,0.0,489
KLP,180,0.0,251
KMA,225,0.0,74
KMR,16,36.41935483870968,28
KMW,374,0.0,604
KPN,247,0.0,579
KPNZ,247,0.0,579
KRD,0,0.0,0
KRG,225,0.0,469
KTR,166,0.0,243
KW,346,0.0,653
KZ,224,0.0,77
LAA,158,0.0,43
LC,202,0.0,489
LDL,173,0.0,53
LDM,172,0.0,239
LEDN,172,0.0,43
LG,5,37.54838709677419,11
LLS,257,0.0,412
LLZM,172,0.0,72
LP,364,0.0,659
LTN,181,0.0,252
LTV,220,0.0,491
LUT,31,0.0,30
LW,327,0.0,579
LWC,330,0.0,596
MAS,191,0.0,268
MDB,255,0.0,496
MES,28,36.41935483870968,28
MG,337,0.0,596
MMLH,127,0.0,197
MP,260,0.0,579
MRB,259,0.0,626
MRN,202,0.0,395
MT,34,36.41935483870968,28
MTH,347,0.0,655
MTN,31,36.41935483870968,42
MTR,35,36.41935483870968,30
MZ,83,0.0,79
NDB,208,0.0,269
NH,15,0.0,28
NKK,216,0.0,508
NM,137,0.0,208
NMD,142,0.0,229
NMGO,140,0.0,229
NMH,134,0.0,208
NML,138,0.0,229
NS,244,0.0,508
NSCH,382,0.0,662
NVD,243,0.0,496
NVP,191,0.0,53
NWK,191,0.0,257
O,155,0.0,195
OBD,249,0.0,179
ODB,193,0.0,469
ODZ,241,0.0,556
OMN,255,0.0,586
OP,162,0.0,243
OST,211,0.0,555
OT,133,0.0,122
OTB,160,0.0,486
OVN,203,0.0,53
OW,154,0.0,195
PMO,237,0.0,74
PMR,236,0.0,74
PMW,235,0.0,77
PT,223,0.0,508
RAI,213,0.0,196
RAT,250,0.0,579
RB,215,0.0,500
RD,376,0.0,663
RH,166,0.0,487
RHN,225,0.0,398
RL,207,0.0,491
RLB,183,0.0,199
RM,52,0.0,30
RS,143,0.0,195
RSD,186,0.0,464
RSN,227,0.0,489
RSW,157,0.0,28
RTA,186,0.0,199
RTB,177,0.0,199
RTD,176,0.0,129
RTN,181,0.0,199
RTST,181,0.0,199
RTZ,180,0.0,199
RV,63,0.0,79
RVS,153,0.0,229
SBK,20,0.0,28
SD,204,0.0,292
SDA,365,0.0,653
SDM,172,0.0,129
