Station Code,Distance from KRG,Services from/to KRG,Disruptions on path to KRG
AC,168,0.0,194
AH,168,0.0,438
AHP,169,0.0,695
AHPR,171,0.0,695
AHZ,160,0.0,470
AKL,105,0.0,135
AKM,316,0.0,574
ALM,200,0.0,177
ALMB,206,0.0,308
ALMM,199,0.0,327
ALMO,208,0.0,308
ALMP,202,0.0,308
AMF,173,0.0,270
AMFS,176,0.0,510
AML,252,0.0,764
AMPO,197,0.0,327
AMR,199,0.0,241
AMRI,254,0.0,834
AMRN,200,0.0,316
ANA,229,0.0,327
APD,215,0.0,698
APDM,214,0.0,699
APDO,218,0.0,733
APG,379,0.0,604
APN,139,0.0,183
ARN,26,34.03225806451613,12
ASA,177,0.0,174
ASB,173,0.0,160
ASD,183,17.451612903225808,75
ASDL,176,0.0,125
ASDM,179,0.0,174
ASDZ,175,0.0,125
ASHD,172,0.0,321
ASN,317,0.0,524
ASS,179,17.451612903225808,125
ASSP,180,0.0,188
ATN,220,0.0,732
AVAT,179,0.0,516
BD,63,0.0,5
BDE,213,0.0,441
BDG,147,0.0,264
BDM,360,0.0,593
BDPB,68,0.0,328
BET,111,0.0,384
BF,364,0.0,593
BGN,26,41.87096774193548,0
BHDV,94,0.0,133
BHV,161,0.0,270
BK,206,0.0,442
BKF,233,0.0,210
BKG,232,0.0,206
BKL,156,0.0,161
BL,301,0.0,524
BLL,167,0.0,201
BMN,190,0.0,698
BMR,174,0.0,470
BN,247,0.0,765
BNC,192,0.0,511
BNK,158,0.0,278
BNN,189,0.0,510
BNZ,194,0.0,527
BP,358,0.0,527
BR,171,0.0,422
BRD,86,0.0,122
BRN,176,0.0,294
BSD,119,0.0,153
BSK,133,0.0,160
BSKS,132,0.0,160
BSMZ,175,0.0,271
BTL,101,0.0,341
BV,177,0.0,203
BZL,6,33.903225806451616,0
CAS,187,0.0,238
CK,164,0.0,467
CL,134,0.0,197
CO,292,0.0,851
CPS,108,0.0,77
CVM,223,0.0,459
DA,263,0.0,834
DB,162,0.0,322
DDN,237,0.0,713
DDR,77,21.70967741935484,5
DDRS,80,0.0,122
DDZD,76,0.064516129032258,5
DEI,338,0.0,527
DID,187,0.0,695
DL,251,0.0,524
