Station Code,Distance from LAA,Services from/to LAA,Disruptions on path to LAA
AC,65,0.0,74
AH,119,0.3870967741935484,105
AHP,120,0.0,362
AHPR,122,0.0,362
AHZ,127,0.0,362
AKL,72,0.0,246
AKM,225,0.032258064516129,409
ALM,83,32.225806451612904,134
ALMB,89,27.516129032258064,265
ALMM,82,23.161290322580644,78
ALMO,91,20.741935483870968,265
ALMP,85,20.70967741935484,265
AMF,82,0.0,105
AMFS,85,0.0,345
AML,179,0.0,411
AMPO,80,23.161290322580644,78
AMR,78,0.0,50
AMRI,181,0.0,481
AMRN,79,0.0,125
ANA,108,0.0,136
APD,125,0.0,345
APDM,126,0.0,380
APDO,128,0.0,380
APG,288,0.0,41
APN,29,0.0,17
ARN,147,19.70967741935484,191
ASA,60,0.0,63
ASB,60,1.064516129032258,60
ASD,62,53.61290322580645,0
ASDL,55,39.64516129032258,60
ASDM,62,19.70967741935484,100
ASDZ,54,14.258064516129032,60
ASHD,61,0.0,74
ASN,226,1.096774193548387,359
ASS,58,69.51612903225806,10
ASSP,63,19.741935483870968,114
ATN,171,0.0,399
AVAT,88,0.0,351
BD,74,0.0,186
BDE,182,0.0,34
BDG,37,0.0,98
BDM,269,0.0,30
BDPB,69,0.0,238
BET,122,0.0,565
BF,273,0.0,29
BGN,95,31.096774193548388,237
BHDV,61,0.0,244
BHV,70,0.0,105
BK,177,0.0,35
BKF,112,0.0,95
BKG,111,0.0,91
BKL,64,0.0,115
BL,210,0.064516129032258,359
BLL,46,0.0,10
BMN,141,0.0,365
BMR,163,0.0,397
BN,188,0.0,481
BNC,101,0.0,346
BNK,69,0.0,105
BNN,98,0.0,345
BNZ,103,0.0,362
BP,267,0.0,362
BR,182,0.6774193548387096,603
BRD,35,0.0,192
BRN,85,0.0,129
BSD,86,0.0,264
BSK,35,0.0,98
BSKS,36,0.0,121
BSMZ,77,0.0,89
BTL,112,0.0,522
BV,56,0.0,12
BZL,127,19.70967741935484,268
CAS,66,0.0,47
CK,153,0.0,394
CL,79,0.0,133
CO,203,0.0,379
CPS,35,0.0,188
CVM,156,0.0,33
DA,190,0.0,481
DB,73,0.0,105
DDN,183,0.0,395
DDR,44,54.54838709677419,116
DDRS,47,0.0,233
DDZD,45,0.0,233
DEI,247,0.0,362
DID,138,0.0,362
DL,160,0.0,359
DLD,73,0.0,125
DLN,207,0.0,393
DMN,65,19.741935483870968,114
DMNZ,60,3.419354838709677,63
DN,154,0.6774193548387096,575
DR,135,0.0,362
DRH,51,0.0,11
DRON,132,18.258064516129032,279
DRP,254,0.0,376
DT,10,57.25806451612903,15
DTC,149,0.0,382
DTCH,147,0.0,382
DTCP,11,0.0,116
DV,140,0.0,345
DVC,144,0.0,380
DVD,58,10.225806451612904,60
DVN,128,0.0,364
DVNK,11,61.25806451612903,3
DWE,260,0.0,362
DZ,292,0.0,59
DZW,291,0.0,59
EC,181,0.0,36
ED,102,0.3870967741935484,105
EDC,104,0.0,127
EDN,185,0.0,34
EEM,299,0.0,43
EGH,155,0.0,32
EGHM,156,0.0,32
EHS,131,0.0,641
EHV,132,0.6774193548387096,509
EKZ,115,0.0,103
EML,105,0.0,345
EMN,223,0.0,394
EMNZ,219,0.0,393
ES,196,0.0,447
ESK,192,0.0,447
EST,130,0.0,362
ETN,85,0.0,509
FN,260,0.0,362
FWD,257,0.0,362
GBG,196,0.0,379
GD,29,0.0,29
GDG,32,0.0,114
GDM,87,0.0,105
GDR,154,0.0,399
GERP,252,0.064516129032258,412
GK,273,0.0,427
GLN,165,0.0,33
GN,254,1.096774193548387,412
GND,58,0.0,234
GNN,258,0.0,29
GO,173,0.0,387
GP,138,0.0,571
GR,67,0.0,244
GS,132,30.35483870967742,191
GV,2,57.29032258064516,0
GVC,1,62.64516129032258,0
GVM,3,61.25806451612903,0
GVMW,3,0.0,15
GW,230,0.032258064516129,416
GZ,84,0.0,509
HAD,39,47.45161290322581,10
HB,154,0.0,32
HBZM,55,0.0,234
