Station Code,Distance from LDL,Services from/to LDL,Disruptions on path to LDL
AC,52,0.0,74
AH,107,0.0,164
AHP,108,0.0,421
AHPR,110,0.0,421
AHZ,115,0.0,421
AKL,87,0.0,256
AKM,213,0.0,395
ALM,70,0.0,134
ALMB,76,0.0,265
ALMM,69,0.0,78
ALMO,78,0.0,265
ALMP,72,0.0,265
AMF,70,0.0,91
AMFS,73,0.0,331
AML,167,0.0,397
AMPO,67,0.0,78
AMR,65,0.0,50
AMRI,169,0.0,467
AMRN,66,0.0,125
ANA,95,0.0,136
APD,113,0.0,331
APDM,114,0.0,366
APDO,116,0.0,366
APG,276,0.0,425
APN,14,43.193548387096776,0
ARN,162,0.0,201
ASA,47,0.0,63
ASB,47,0.0,60
ASD,49,0.0,10
ASDL,42,0.0,60
ASDM,49,0.0,100
ASDZ,41,0.0,60
ASHD,48,0.0,74
ASN,214,0.0,345
ASS,45,0.0,10
ASSP,50,0.0,114
ATN,159,0.0,458
AVAT,76,0.0,337
BD,89,0.0,196
BDE,197,0.0,44
BDG,22,41.70967741935484,81
BDM,257,0.0,414
BDPB,84,0.0,248
BET,119,0.0,164
BF,261,0.0,414
BGN,110,0.0,247
BHDV,76,0.0,254
BHV,58,0.0,164
BK,192,0.0,45
BKF,99,0.0,95
BKG,98,0.0,91
BKL,52,0.0,91
BL,198,0.0,345
BLL,33,0.0,10
BMN,129,0.0,424
BMR,151,0.0,456
BN,176,0.0,467
BNC,89,0.0,332
BNK,57,0.0,164
BNN,86,0.0,331
BNZ,91,0.0,348
BP,255,0.0,348
BR,179,0.0,334
BRD,50,0.0,202
BRN,73,0.0,188
BSD,82,0.0,207
BSK,20,0.0,81
BSKS,21,0.0,104
BSMZ,64,0.0,89
BTL,109,0.0,237
BV,43,0.0,12
BZL,142,0.0,278
CAS,53,0.0,47
CK,141,0.0,453
CL,67,0.0,192
CO,191,0.0,365
CPS,45,0.0,189
CVM,171,0.0,43
DA,178,0.0,467
DB,61,0.0,164
DDN,171,0.0,381
DDR,59,0.0,126
DDRS,62,0.0,243
DDZD,60,0.0,243
DEI,235,0.0,348
DID,126,0.0,421
DL,148,0.0,345
DLD,61,0.0,184
DLN,195,0.0,379
DMN,52,0.0,114
DMNZ,47,0.0,63
DN,151,0.0,306
DR,123,0.0,421
DRH,38,0.0,11
DRON,119,0.0,279
DRP,242,0.0,362
DT,25,0.0,25
DTC,137,0.0,441
DTCH,135,0.0,441
DTCP,26,0.0,126
DV,128,0.0,331
DVC,132,0.0,366
DVD,45,0.0,60
DVN,116,0.0,423
DVNK,4,0.0,10
DWE,248,0.0,348
DZ,280,0.0,443
DZW,279,0.0,443
EC,194,0.0,351
ED,90,0.0,164
EDC,92,0.0,186
EDN,200,0.0,44
EEM,287,0.0,442
EGH,170,0.0,42
EGHM,171,0.0,42
EHS,128,0.0,240
EHV,129,0.0,240
EKZ,102,0.0,103
EML,93,0.0,331
EMN,211,0.0,380
EMNZ,207,0.0,379
ES,184,0.0,433
ESK,180,0.0,433
EST,118,0.0,421
ETN,100,0.0,519
FN,248,0.0,348
FWD,245,0.0,348
GBG,184,0.0,365
GD,32,0.0,104
GDG,35,0.0,189
GDM,75,0.0,164
GDR,142,0.0,458
GERP,240,0.0,398
GK,261,0.0,413
GLN,180,0.0,43
GN,242,0.0,398
GND,73,0.0,244
GNN,246,0.0,413
GO,161,0.0,373
GP,135,0.0,302
GR,82,0.0,254
GS,147,0.0,201
GV,17,0.0,10
GVC,16,0.0,10
GVM,12,0.0,95
GVMW,18,0.0,25
GW,218,0.0,402
GZ,99,0.0,519
HAD,26,0.0,10
HB,169,0.0,42
HBZM,70,0.0,244
HD,97,0.0,334
HDB,178,0.0,352
HDE,118,0.0,331
HDG,241,0.0,348
HDR,107,0.0,145
HDRZ,106,0.0,145
HFD,25,0.0,10
HGL,176,0.0,414
HGLG,174,0.0,414
HGLO,178,0.0,433
HGV,184,0.0,345
HGZ,253,0.0,421
HIL,19,0.0,10
HK,46,0.0,30
HKS,94,0.0,87
HLG,257,0.0,349
HLGH,258,0.0,353
HLM,30,0.0,10
HLMS,31,0.0,10
HLO,60,0.0,30
HM,142,0.0,302
HMBH,143,0.0,306
HMBV,139,0.0,302
HMH,141,0.0,302
HMN,106,0.0,210
HN,84,0.0,31
HNK,85,0.0,87
HNO,148,0.0,345
HNP,273,0.0,351
HON,147,0.0,366
HOR,61,0.0,164
HR,202,0.0,402
HRL,165,0.0,25
HRLW,167,0.0,42
HRN,236,0.0,398
HRT,169,0.0,334
HT,97,0.0,164
HTN,57,0.0,164
HTNC,58,0.0,192
HTO,98,0.0,237
HVL,76,0.0,331
HVS,67,0.0,164
HVSM,68,0.0,165
HVSP,66,0.0,164
HWD,72,0.0,126
HWZB,38,0.0,10
HZE,140,0.0,308
IJT,256,0.0,349
KBD,129,0.0,201
KBK,122,0.0,367
KLP,83,0.0,164
KMA,54,0.0,31
KMR,173,0.0,42
KMW,278,0.0,356
KPN,151,0.0,345
KPNZ,136,0.0,280
KRD,173,0.0,53
KRG,136,0.0,201
KTR,99,0.0,207
KW,250,0.0,419
KZ,53,0.0,34
LAA,15,0.0,10
LC,148,0.0,366
LDL,0,0.0,0
LDM,89,0.0,208
LEDN,1,42.12903225806452,0
LG,168,0.0,42
LLS,94,0.0,265
LLZM,31,0.0,39
LP,268,0.0,425
LTN,96,0.0,348
LTV,166,0.0,368
LUT,188,0.0,44
LW,231,0.0,331
LWC,234,0.0,348
MAS,56,0.0,164
MDB,166,0.0,228
MES,185,0.0,42
MG,241,0.0,348
MMLH,136,0.0,442
MP,164,0.0,345
MRB,170,0.0,352
MRN,69,0.0,196
MT,191,0.0,42
MTH,251,0.0,421
MTN,188,0.0,56
MTR,192,0.0,44
MZ,150,0.0,313
NDB,63,0.0,78
NH,172,0.0,42
NKK,81,0.0,331
NM,126,0.0,421
NMD,131,0.0,442
NMGO,129,0.0,442
NMH,129,0.0,442
NML,125,0.0,435
NS,109,0.0,331
NSCH,286,0.0,428
NVD,168,0.0,354
NVP,20,0.0,10
NWK,41,0.0,189
O,116,0.0,237
OBD,78,0.0,136
ODB,90,0.0,248
ODZ,187,0.0,433
OMN,159,0.0,352
OP,103,0.0,210
OST,138,0.0,397
OT,118,0.0,532
OTB,103,0.0,186
OVN,32,0.0,10
OW,115,0.0,237
PMO,66,0.0,31
PMR,65,0.0,31
PMW,64,0.0,34
PT,88,0.0,331
RAI,42,0.0,134
RAT,154,0.0,345
RB,126,0.0,248
RD,280,0.0,429
RH,117,0.0,422
RHN,92,0.0,199
RL,153,0.0,368
RLB,46,0.0,196
RM,181,0.0,302
RS,104,0.0,237
RSD,97,0.0,196
RSN,154,0.0,366
RSW,20,0.0,25
RTA,46,0.0,189
RTB,40,0.0,196
RTD,39,0.0,126
RTN,44,0.0,196
RTST,44,0.0,196
RTZ,43,0.0,196
RV,192,0.0,351
RVS,124,0.0,258
SBK,177,0.0,42
SD,69,0.0,188
SDA,269,0.0,419
SDM,35,0.0,126
SDT,69,0.0,243
SDTB,66,0.0,243
SGL,181,0.0,42
SGN,86,0.0,136
SHL,30,0.0,10
SK,253,0.0,348
SKND,252,0.0,348
SM,186,0.0,351
SN,175,0.0,42
SOG,175,0.0,42
SPTN,37,0.0,10
SPTZ,35,0.0,10
SRN,191,0.0,44
SSH,9,0.0,10
ST,68,0.0,188
STD,184,0.0,42
STM,264,0.0,425
STV,282,0.0,356
STZ,67,0.0,188
SWD,253,0.0,413
SWK,178,0.0,395
TB,110,0.0,519
TBG,143,0.0,458
TBR,105,0.0,538
TBU,109,0.0,540
TG,186,0.0,303
TL,87,0.0,207
TPSW,85,0.0,207
TWL,123,0.0,366
UHM,277,0.0,429
UHZ,274,0.0,429
UST,269,0.0,428
UT,49,41.70967741935484,91
UTG,49,0.0,30
UTLN,53,0.0,164
UTLR,46,4.516129032258065,105
UTO,52,0.0,164
UTT,44,4.516129032258065,100
UTVR,50,0.0,164
