Station Code,Distance from LTN,Services from/to LTN,Disruptions on path to LTN
AC,71,0.0,366
AH,25,0.0,23
AHP,26,0.0,280
AHPR,28,0.0,282
AHZ,33,0.0,280
AKL,94,0.0,224
AKM,169,0.0,321
ALM,73,0.0,270
ALMB,79,0.0,401
ALMM,72,0.0,269
ALMO,81,0.0,401
ALMP,75,0.0,401
AMF,26,38.064516129032256,17
AMFS,29,0.0,257
AML,109,0.0,349
AMPO,70,0.0,269
AMR,110,0.0,543
AMRI,111,0.0,419
AMRN,111,0.0,618
ANA,140,0.0,629
APD,69,0.0,257
APDM,70,0.0,292
APDO,72,0.0,292
APG,232,0.0,351
APN,82,0.0,267
ARN,219,0.0,767
ASA,68,0.0,261
ASB,68,0.0,261
ASD,71,0.0,258
ASDL,78,0.0,537
ASDM,67,0.0,276
ASDZ,70,0.0,261
ASHD,69,0.0,275
ASN,170,0.0,271
ASS,75,0.0,516
ASSP,66,0.0,276
ATN,77,0.0,317
AVAT,32,0.0,263
BD,130,0.0,408
BDE,169,0.0,482
BDG,74,0.0,258
BDM,213,0.0,340
BDPB,135,0.0,731
BET,109,0.0,438
BF,217,0.0,340
BGN,167,0.0,736
BHDV,105,0.0,244
BHV,38,0.0,261
BK,162,0.0,482
BKF,129,0.0,601
BKG,128,0.0,597
BKL,59,0.0,333
BL,154,0.0,276
BLL,93,0.0,553
BMN,47,0.0,283
BMR,69,0.0,315
BN,104,0.0,350
BNC,7,38.064516129032256,0
BNK,41,0.0,55
BNN,10,38.064516129032256,16
BNZ,5,38.064516129032256,0
BP,211,0.0,288
BR,104,0.0,344
BRD,114,0.0,500
BRN,35,0.0,257
BSD,80,0.0,223
BSK,88,0.0,348
BSKS,89,0.0,371
BSMZ,47,0.0,258
BTL,99,0.0,395
BV,100,0.0,576
BZL,199,0.0,767
CAS,98,0.0,540
CK,59,0.0,312
CL,65,0.0,127
CO,147,0.0,291
CPS,92,0.0,415
CVM,179,0.0,499
DA,120,0.0,419
DB,37,0.0,23
DDN,94,0.0,298
DDR,122,0.0,257
DDRS,119,0.0,255
DDZD,123,0.0,374
DEI,191,0.0,288
DID,44,0.0,280
DL,104,0.0,271
DLD,35,0.0,257
DLN,151,0.0,305
DMN,64,0.0,275
DMNZ,64,0.0,275
DN,132,0.0,396
DR,41,0.0,280
DRH,98,0.0,572
DRON,122,0.0,415
DRP,198,0.0,302
DT,116,0.0,430
DTC,55,0.0,300
DTCH,53,0.0,300
DTCP,116,0.0,485
DV,70,0.0,283
DVC,74,0.0,349
DVD,66,0.0,258
DVN,34,0.0,282
DVNK,100,0.0,365
DWE,204,0.0,288
DZ,236,0.0,369
DZW,235,0.0,369
EC,142,0.0,479
ED,8,38.25806451612903,1
EDC,6,38.25806451612903,0
EDN,184,0.0,483
EEM,243,0.0,368
EGH,178,0.0,498
EGHM,179,0.0,498
EHS,118,0.0,514
EHV,119,0.0,395
EKZ,132,0.0,609
EML,49,0.0,260
EMN,167,0.0,306
EMNZ,163,0.0,305
ES,107,0.0,350
ESK,103,0.0,350
EST,36,0.0,280
ETN,141,0.0,731
FN,204,0.0,288
FWD,201,0.0,288
GBG,140,0.0,291
GD,79,0.0,330
GDG,76,0.0,258
GDM,73,0.0,180
GDR,60,0.0,317
GERP,196,0.0,324
GK,217,0.0,339
GLN,158,0.0,481
GN,198,0.0,324
GND,108,0.0,244
GNN,202,0.0,339
GO,84,0.0,290
GP,125,0.0,457
GR,99,0.0,242
GS,204,0.0,767
GV,108,0.0,415
GVC,107,0.0,415
GVM,108,0.0,450
GVMW,109,0.0,430
GW,174,0.0,278
GZ,120,0.0,410
HAD,94,0.0,553
HB,169,0.0,512
HBZM,111,0.0,254
HD,53,0.0,260
HDB,134,0.0,278
HDE,74,0.0,257
HDG,197,0.0,288
HDR,152,0.0,638
HDRZ,151,0.0,638
HFD,86,0.0,385
HGL,99,0.0,331
HGLG,97,0.0,331
HGLO,101,0.0,350
HGV,140,0.0,271
HGZ,209,0.0,347
HIL,101,0.0,593
HK,97,0.0,576
HKS,124,0.0,593
HLG,213,0.0,289
HLGH,214,0.0,293
HLM,90,0.0,516
HLMS,89,0.0,537
HLO,105,0.0,543
HM,132,0.0,457
HMBH,133,0.0,461
HMBV,129,0.0,457
HMH,131,0.0,457
HMN,50,0.0,294
HN,114,0.0,537
HNK,115,0.0,593
HNO,104,0.0,271
HNP,229,0.0,291
HON,89,0.0,349
HOR,48,0.0,258
HR,158,0.0,271
HRL,173,0.0,481
HRLW,175,0.0,498
HRN,192,0.0,324
HRT,114,0.0,396
HT,87,0.0,322
HTN,55,0.0,99
HTNC,56,0.0,127
HTO,86,0.0,322
HVL,20,38.064516129032256,17
HVS,42,0.0,257
HVSM,43,0.0,258
HVSP,43,0.0,258
HWD,117,0.0,619
HWZB,82,0.0,537
HZE,130,0.0,463
IJT,212,0.0,289
KBD,186,0.0,767
KBK,63,0.0,283
KLP,15,0.0,23
KMA,89,0.0,550
KMR,181,0.0,498
KMW,234,0.0,296
KPN,107,0.0,271
KPNZ,107,0.0,271
