Station Code,Distance from LTV,Services from/to LTV,Disruptions on path to LTV
AC,141,0.0,383
AH,64,0.0,5
AHP,63,0.0,9
AHPR,61,0.0,8
AHZ,72,0.0,262
AKL,141,0.0,323
AKM,159,0.0,142
ALM,143,0.0,37
ALMB,149,0.0,168
ALMM,142,0.0,289
ALMO,151,0.0,168
ALMP,145,0.0,168
AMF,96,0.0,37
AMFS,99,0.0,277
AML,90,0.0,68
AMPO,140,0.0,289
AMR,180,0.0,576
AMRI,92,0.0,138
AMRN,181,0.0,651
ANA,210,0.0,662
APD,53,8.580645161290322,2
APDM,52,1.0,3
APDO,56,0.0,37
APG,222,0.0,172
APN,152,0.0,287
ARN,258,0.0,718
ASA,138,0.0,281
ASB,138,0.0,281
ASD,141,0.0,291
ASDL,148,0.0,549
ASDM,137,0.0,277
ASDZ,140,0.0,278
ASHD,139,0.0,295
ASN,160,0.0,92
ASS,145,0.0,549
ASSP,136,0.0,296
ATN,22,0.0,0
AVAT,102,0.0,283
BD,169,0.0,390
BDE,208,0.0,463
BDG,144,0.0,278
BDM,203,0.0,161
BDPB,174,0.0,713
BET,148,0.0,377
BF,207,0.0,161
BGN,206,0.0,718
BHDV,152,0.0,343
BHV,108,0.0,281
BK,201,0.0,464
BKF,199,0.0,634
BKG,198,0.0,630
BKL,129,0.0,350
BL,144,0.0,92
BLL,163,0.0,586
BMN,42,0.0,2
BMR,108,0.0,297
BN,85,0.0,69
BNC,96,0.0,285
BNK,114,0.0,316
BNN,99,0.0,301
BNZ,94,0.0,285
BP,201,0.0,109
BR,143,0.0,326
BRD,178,0.0,471
BRN,105,0.0,277
BSD,127,0.0,322
BSK,158,0.0,368
BSKS,159,0.0,391
BSMZ,117,0.0,278
BTL,138,0.0,377
BV,170,0.0,570
BZL,238,0.0,749
CAS,168,0.0,573
CK,98,0.0,294
CL,128,0.0,322
CO,130,0.0,155
CPS,162,0.0,435
CVM,218,0.0,481
DA,101,0.0,138
DB,110,0.0,284
DDN,75,0.0,17
DDR,169,0.0,354
DDRS,166,0.0,354
DDZD,170,0.0,471
DEI,181,0.0,109
DID,55,0.0,36
DL,94,0.0,92
DLD,105,0.0,277
DLN,134,0.0,169
DMN,134,0.0,295
DMNZ,134,0.0,278
DN,171,0.0,378
DR,48,0.0,2
DRH,168,0.0,587
DRON,114,0.0,92
DRP,188,0.0,123
DT,186,0.0,450
DTC,44,0.0,19
DTCH,46,0.0,36
DTCP,186,0.0,505
DV,51,0.0,2
DVC,55,0.0,68
DVD,136,0.0,278
DVN,65,0.0,56
DVNK,170,0.0,385
DWE,194,0.0,109
DZ,226,0.0,190
DZW,225,0.0,190
EC,181,0.0,461
ED,81,0.0,262
EDC,83,0.0,284
EDN,223,0.0,465
EEM,233,0.0,189
EGH,217,0.0,480
EGHM,218,0.0,480
EHS,157,0.0,453
