Station Code,Distance from LW,Services from/to LW,Disruptions on path to LW
AC,206,0.0,346
AH,171,0.0,93
AHP,170,0.0,97
AHPR,168,0.0,96
AHZ,179,0.0,350
AKL,229,0.0,357
AKM,18,28.93548387096774,2
ALM,176,17.70967741935484,25
ALMB,170,0.0,25
ALMM,177,0.0,156
ALMO,168,0.032258064516129,14
ALMP,174,0.0,30
AMF,161,17.29032258064516,0
AMFS,158,0.0,14
AML,140,0.0,35
AMPO,179,0.0,157
AMR,245,0.0,299
AMRI,142,0.0,105
AMRN,246,0.0,374
ANA,275,0.0,385
APD,141,0.0,14
APDM,142,0.0,49
APDO,138,0.0,90
APG,88,0.0,27
APN,217,0.0,250
ARN,360,0.0,510
ASA,203,0.0,18
ASB,203,0.0,18
ASD,206,1.096774193548387,14
ASDL,213,0.0,272
ASDM,202,0.0,240
ASDZ,205,16.548387096774192,15
ASHD,204,0.0,32
ASN,82,0.0,15
ASS,210,0.0,272
ASSP,201,0.0,33
ATN,199,0.0,104
AVAT,155,0.0,20
BD,273,0.0,399
BDE,315,0.0,551
BDG,209,0.0,241
BDM,69,0.0,16
BDPB,278,0.0,722
BET,252,0.0,313
BF,73,0.0,16
BGN,308,0.0,509
BHDV,240,0.0,377
BHV,173,0.0,244
BK,308,0.0,552
BKF,264,0.0,357
BKG,263,0.0,353
BKL,194,0.0,313
BL,98,0.0,68
BLL,228,0.0,309
BMN,149,0.0,90
BMR,215,0.0,385
BN,149,0.0,105
BNC,180,0.0,241
BNK,190,0.0,313
BNN,177,0.0,240
BNZ,182,0.0,257
BP,24,48.87096774193548,0
BR,250,0.0,414
BRD,249,0.0,474
BRN,170,0.0,240
BSD,215,0.0,356
BSK,223,0.0,331
BSKS,224,0.0,354
BSMZ,182,0.0,15
BTL,242,0.0,386
BV,235,0.0,293
BZL,340,0.0,540
CAS,233,0.0,296
CK,205,0.0,382
CL,200,0.0,341
CO,150,0.0,34
CPS,227,0.0,398
CVM,325,0.0,569
DA,137,0.0,24
DB,194,0.0,313
DDN,159,0.0,124
DDR,257,0.0,388
DDRS,254,0.0,388
DDZD,258,0.0,505
DEI,4,19.096774193548388,0
DID,188,0.0,102
DL,107,0.0,14
DLD,170,0.0,240
DLN,154,0.0,48
DMN,199,0.0,32
DMNZ,199,0.0,15
DN,278,0.0,466
DR,155,0.0,90
DRH,233,0.0,310
DRON,127,0.7096774193548387,14
DRP,11,19.096774193548388,14
DT,251,0.0,413
DTC,199,0.0,122
DTCH,197,0.0,122
DTCP,251,0.0,468
DV,126,0.0,24
DVC,130,0.0,90
DVD,201,0.0,15
DVN,178,0.0,99
DVNK,235,0.0,348
DWE,17,31.451612903225808,0
DZ,92,0.0,45
DZW,91,0.0,45
EC,288,0.0,549
ED,188,0.0,350
EDC,190,0.0,372
EDN,330,0.0,553
EEM,99,0.0,44
EGH,324,0.0,568
EGHM,325,0.0,568
EHS,261,0.0,389
EHV,262,0.0,389
EKZ,267,0.0,365
EML,138,0.0,17
EMN,170,0.0,49
EMNZ,166,0.0,48
ES,162,0.0,124
ESK,158,0.0,124
EST,182,0.0,350
ETN,284,0.0,722
FN,17,32.25806451612903,0
FWD,14,58.80645161290322,0
GBG,143,0.0,34
GD,214,15.483870967741936,313
GDG,211,0.0,313
GDM,208,0.0,313
GDR,204,0.0,139
GERP,56,0.0,15
GK,35,31.451612903225808,23
GLN,304,0.0,551
GN,54,58.80645161290322,0
GND,243,0.0,377
GNN,58,0.0,15
GO,169,0.0,157
GP,268,0.0,451
GR,234,0.0,375
GS,345,0.0,510
GV,243,0.0,398
GVC,242,16.516129032258064,316
GVM,243,0.0,433
GVMW,244,0.0,413
GW,13,28.93548387096774,0
GZ,263,0.0,401
HAD,229,0.0,293
HB,315,0.0,582
HBZM,246,0.0,387
HD,134,0.0,14
HDB,137,0.0,21
HDE,113,0.0,14
HDG,10,31.580645161290324,0
HDR,287,0.0,394
HDRZ,286,0.0,394
HFD,221,0.1290322580645161,89
HGL,154,0.0,105
HGLG,156,0.0,124
HGLO,156,0.0,124
HGV,87,0.0,57
HGZ,69,0.0,38
HIL,236,0.0,293
HK,232,0.0,332
HKS,259,0.0,349
HLG,26,32.25806451612903,1
HLGH,27,32.25806451612903,5
HLM,225,0.0,272
HLMS,224,0.0,293
HLO,240,0.0,299
HM,275,0.0,451
HMBH,276,0.0,455
HMBV,272,0.0,451
HMH,274,0.0,451
HMN,196,0.0,364
HN,249,0.0,293
HNK,250,0.0,349
HNO,107,0.0,14
HNP,42,21.096774193548388,3
HON,145,0.0,90
HOR,183,0.0,15
HR,29,63.54838709677419,0
HRL,319,0.0,551
HRLW,321,0.0,568
HRN,60,0.0,15
HRT,260,0.0,466
HT,230,0.0,313
HTN,190,0.0,313
HTNC,191,0.0,341
HTO,231,0.0,386
HVL,167,0.0,240
HVS,177,0.0,14
HVSM,178,0.0,15
HVSP,178,0.0,15
HWD,252,0.0,375
HWZB,217,0.0,293
