Station Code,Distance from LWC,Services from/to LWC,Disruptions on path to LWC
AC,209,0.0,363
AH,174,0.0,110
AHP,173,0.0,114
AHPR,171,0.0,113
AHZ,182,0.0,367
AKL,232,0.0,374
AKM,21,0.0,19
ALM,179,0.0,42
ALMB,173,0.0,42
ALMM,180,0.0,173
ALMO,171,0.0,31
ALMP,177,0.0,47
AMF,164,0.0,17
AMFS,161,0.0,31
AML,143,0.0,52
AMPO,182,0.0,174
AMR,248,0.0,316
AMRI,145,0.0,122
AMRN,249,0.0,391
ANA,278,0.0,402
APD,144,0.0,31
APDM,145,0.0,66
APDO,141,0.0,107
APG,85,0.0,37
APN,220,0.0,267
ARN,363,0.0,527
ASA,206,0.0,35
ASB,206,0.0,35
ASD,209,0.0,31
ASDL,216,0.0,289
ASDM,205,0.0,257
ASDZ,208,0.0,32
ASHD,207,0.0,49
ASN,79,0.0,25
ASS,213,0.0,289
ASSP,204,0.0,50
ATN,202,0.0,121
AVAT,158,0.0,37
BD,276,0.0,416
BDE,318,0.0,568
BDG,212,0.0,258
BDM,66,0.0,26
BDPB,281,0.0,739
BET,255,0.0,330
BF,70,0.0,26
BGN,311,0.0,526
BHDV,243,0.0,394
BHV,176,0.0,261
BK,311,0.0,569
BKF,267,0.0,374
BKG,266,0.0,370
BKL,197,0.0,330
BL,95,0.0,78
BLL,231,0.0,326
BMN,152,0.0,107
BMR,218,0.0,402
BN,152,0.0,122
BNC,183,0.0,258
BNK,193,0.0,330
BNN,180,0.0,257
BNZ,185,0.0,274
BP,21,31.451612903225808,10
BR,253,0.0,431
BRD,252,0.0,491
BRN,173,0.0,257
BSD,218,0.0,373
BSK,226,0.0,348
BSKS,227,0.0,371
BSMZ,185,0.0,32
BTL,245,0.0,403
BV,238,0.0,310
BZL,343,0.0,557
CAS,236,0.0,313
CK,208,0.0,399
CL,203,0.0,358
CO,153,0.0,51
CPS,230,0.0,415
CVM,328,0.0,586
DA,140,0.0,41
DB,197,0.0,330
DDN,162,0.0,141
DDR,260,0.0,405
DDRS,257,0.0,405
DDZD,261,0.0,522
DEI,7,0.0,17
DID,191,0.0,119
DL,110,0.0,31
DLD,173,0.0,257
DLN,157,0.0,65
DMN,202,0.0,49
DMNZ,202,0.0,32
DN,281,0.0,483
DR,158,0.0,107
DRH,236,0.0,327
DRON,130,0.0,31
DRP,14,0.0,31
DT,254,0.0,430
DTC,202,0.0,139
DTCH,200,0.0,139
DTCP,254,0.0,485
DV,129,0.0,41
DVC,133,0.0,107
DVD,204,0.0,32
DVN,181,0.0,116
DVNK,238,0.0,365
DWE,14,31.451612903225808,10
DZ,89,0.0,55
DZW,88,0.0,55
EC,291,0.0,566
ED,191,0.0,367
EDC,193,0.0,389
EDN,333,0.0,570
EEM,96,0.0,54
EGH,327,0.0,585
EGHM,328,0.0,585
EHS,264,0.0,406
EHV,265,0.0,406
EKZ,270,0.0,382
EML,141,0.0,34
EMN,173,0.0,66
EMNZ,169,0.0,65
ES,165,0.0,141
ESK,161,0.0,141
EST,185,0.0,367
ETN,287,0.0,739
FN,20,0.0,17
FWD,11,31.451612903225808,10
GBG,146,0.0,51
GD,217,0.0,330
GDG,214,0.0,330
GDM,211,0.0,330
GDR,207,0.0,156
GERP,53,0.0,25
GK,32,31.451612903225808,33
GLN,307,0.0,568
GN,51,31.451612903225808,10
GND,246,0.0,394
GNN,55,0.0,25
GO,172,0.0,174
GP,271,0.0,468
GR,237,0.0,392
GS,348,0.0,527
GV,246,0.0,415
GVC,245,0.0,333
GVM,246,0.0,450
GVMW,247,0.0,430
GW,16,0.0,17
GZ,266,0.0,418
HAD,232,0.0,310
HB,318,0.0,599
HBZM,249,0.0,404
HD,137,0.0,31
HDB,140,0.0,38
HDE,116,0.0,31
HDG,7,31.451612903225808,0
HDR,290,0.0,411
HDRZ,289,0.0,411
HFD,224,0.0,106
HGL,157,0.0,122
HGLG,159,0.0,141
HGLO,159,0.0,141
HGV,90,0.0,74
HGZ,66,0.0,48
HIL,239,0.0,310
HK,235,0.0,349
HKS,262,0.0,366
HLG,29,0.0,18
HLGH,30,0.0,22
HLM,228,0.0,289
HLMS,227,0.0,310
HLO,243,0.0,316
HM,278,0.0,468
HMBH,279,0.0,472
HMBV,275,0.0,468
HMH,277,0.0,468
HMN,199,0.0,381
HN,252,0.0,310
HNK,253,0.0,366
HNO,110,0.0,31
HNP,45,0.0,20
HON,148,0.0,107
HOR,186,0.0,32
HR,32,0.0,17
HRL,322,0.0,568
HRLW,324,0.0,585
HRN,57,0.0,25
HRT,263,0.0,483
HT,233,0.0,330
HTN,193,0.0,330
HTNC,194,0.0,358
HTO,234,0.0,403
HVL,170,0.0,257
HVS,180,0.0,31
HVSM,181,0.0,32
HVSP,181,0.0,32
HWD,255,0.0,392
HWZB,220,0.0,310
HZE,276,0.0,474
IJT,28,0.0,18
KBD,330,0.0,527
KBK,153,0.0,67
KLP,198,0.0,389
KMA,227,0.0,323
KMR,330,0.0,585
KMW,50,0.0,25
KPN,113,0.0,31
KPNZ,113,0.0,31
KRD,330,0.0,596
KRG,337,0.0,527
KTR,206,0.0,381
KW,63,0.0,46
KZ,221,0.0,313
LAA,246,0.0,362
LC,162,0.0,107
LDL,234,0.0,348
LDM,225,0.0,374
