Station Code,distance_MES,services_per_day_MES,n_of_disruptions_MES
AC,208,0,297
AH,156,0,203
AHP,157,0,460
AHPR,159,0,462
AHZ,148,0,217
AKL,179,0,232
AKM,309,0,603
ALM,233,0,274
ALMB,239,0,405
ALMM,232,0,273
ALMO,241,0,405
ALMP,235,0,405
AMF,205,0,261
AMFS,208,0,501
AML,240,0,529
AMPO,230,0,273
AMR,262,0,546
AMRI,242,0,599
AMRN,263,0,621
ANA,292,0,632
APD,203,0,463
APDM,202,0,464
APDO,206,0,498
APG,372,0,633
APN,219,0,271
ARN,251,0,474
ASA,217,0,261
ASB,213,0,261
ASD,223,0,261
ASDL,230,0,540
ASDM,219,0,298
ASDZ,219,0,264
ASHD,214,0,275
ASN,310,0,553
ASS,227,0,519
ASSP,220,0,312
ATN,208,0,497
AVAT,211,0,507
BD,162,0,115
BDE,12,0,2
BDG,211,0,262
BDM,353,0,622
BDPB,167,0,438
BET,114,0,115
BF,357,0,622
BGN,199,0,443
BHDV,190,0,252
BHV,193,0,261
BK,19,0,33
BKF,281,0,604
BKG,280,0,600
BKL,196,0,264
BL,294,0,558
BLL,245,0,556
BMN,178,0,463
BMR,112,0,140
BN,235,0,530
BNC,188,0,483
BNK,190,0,312
BNN,191,0,499
BNZ,186,0,483
BP,351,0,570
BR,77,0,87
BRD,201,0,555
BRN,208,0,285
BSD,165,0,231
BSK,225,0,352
BSKS,226,0,375
BSMZ,207,0,262
BTL,124,0,191
BV,252,0,579
BZL,231,0,474
CAS,250,0,543
CK,122,0,168
CL,166,0,231
CO,280,0,616
CPS,223,0,510
CVM,26,36.54838709677419,18
DA,251,0,599
DB,194,0,356
DDN,225,0,478
DDR,192,0,438
DDRS,195,0,555
DDZD,191,0,461
DEI,331,0,570
DID,175,0,460
DL,244,0,553
DLD,196,0,281
DLN,284,0,630
DMN,222,0,312
DMNZ,217,0,264
DN,105,0,139
DR,172,0,460
DRH,250,0,575
DRON,264,0,553
DRP,338,0,584
DT,226,0,508
DTC,186,0,480
DTCH,184,0,480
DTCP,225,0,508
DV,201,0,463
DVC,205,0,529
DVD,215,0,261
DVN,165,0,462
DVNK,237,0,369
DWE,344,0,570
DZ,376,0,651
DZW,375,0,651
EC,39,0,6
ED,173,0,460
EDC,175,0,482
EDN,15,0,2
EEM,383,0,650
EGH,25,36.54838709677419,17
EGHM,26,0,17
EHS,105,0,115
EHV,104,0,53
EKZ,284,0,612
EML,228,0,504
EMN,300,0,631
EMNZ,296,0,630
ES,238,0,530
ESK,234,0,530
EST,145,0,203
ETN,173,0,438
FN,344,0,570
FWD,341,0,570
GBG,273,0,616
GD,216,0,261
GDG,213,0,261
GDM,158,0,188
GDR,191,0,497
GERP,336,0,606
GK,357,0,621
GLN,31,0,4
GN,338,0,606
GND,193,0,252
GNN,342,0,621
GO,215,0,470
GP,98,0,60
GR,184,0,250
GS,236,0,474
GV,234,0,609
GVC,235,0,624
GVM,239,0,624
GVMW,233,0,609
GW,314,0,560
GZ,152,0,130
HAD,246,0,556
HB,24,0,17
HBZM,196,0,262
HD,232,0,504
HDB,267,0,603
HDE,250,0,553
HDG,337,0,570
HDR,304,0,641
HDRZ,303,0,641
HFD,235,0,325
HGL,230,0,511
HGLG,228,0,511
HGLO,232,0,530
HGV,280,0,553
HGZ,349,0,629
HIL,252,0,369
HK,249,0,579
HKS,276,0,596
HLG,353,0,571
HLGH,354,0,575
HLM,242,0,519
HLMS,241,0,540
HLO,257,0,546
HM,114,0,167
HMBH,113,0,167
HMBV,114,0,115
HMH,115,0,171
HMN,159,0,217
HN,266,0,540
HNK,267,0,596
HNO,244,0,553
HNP,369,0,573
HON,220,0,529
HOR,196,0,261
HR,298,0,553
HRL,20,38.41935483870968,0
HRLW,18,38.41935483870968,0
HRN,332,0,606
HRT,87,0,139
HT,136,0,115
HTN,176,0,284
HTNC,175,0,284
HTO,137,0,188
HVL,201,0,500
HVS,202,0,261
HVSM,203,0,262
HVSP,201,0,261
HWD,269,0,622
HWZB,234,0,540
HZE,93,0,55
IJT,352,0,571
KBD,218,0,474
KBK,194,0,463
KLP,180,0,482
KMA,241,0,553
KMR,12,38.41935483870968,0
KMW,374,0,578
KPN,247,0,553
KPNZ,247,0,553
KRD,28,36.54838709677419,28
KRG,225,0,474
KTR,166,0,217
KW,346,0,627
KZ,235,0,543
LAA,236,0,624
LC,202,0,463
LDL,233,0,352
LDM,172,0,232
LEDN,234,0,359
LG,23,36.54838709677419,17
LLS,257,0,405
LLZM,229,0,346
LP,364,0,633
LTN,181,0,483
LTV,220,0,465
LUT,23,0,33
LW,327,0,553
LWC,330,0,570
MAS,191,0,261
MDB,255,0,474
MES,0,0,0
MG,337,0,570
MMLH,127,0,171
MP,260,0,553
MRB,259,0,600
MRN,202,0,388
MT,6,38.41935483870968,0
MTH,347,0,629
MTN,3,38.41935483870968,0
MTR,7,38.41935483870968,2
MZ,83,0,53
NDB,208,0,262
NH,27,0,17
NKK,216,0,501
NM,137,0,182
NMD,142,0,203
NMGO,140,0,203
NMH,134,0,182
NML,138,0,203
NS,244,0,501
NSCH,382,0,636
NVD,243,0,536
NVP,240,0,453
NWK,225,0,346
O,155,0,188
OBD,275,0,632
ODB,193,0,443
ODZ,241,0,530
OMN,255,0,560
OP,162,0,217
OST,211,0,529
OT,133,0,234
OTB,160,0,460
OVN,244,0,556
OW,154,0,191
PMO,248,0,541
PMR,247,0,540
PMW,246,0,543
PT,223,0,504
RAI,218,0,264
RAT,250,0,553
RB,215,0,474
RD,376,0,637
RH,166,0,463
RHN,225,0,391
RL,207,0,465
RLB,205,0,654
RM,52,0,4
RS,143,0,191
RSD,186,0,438
RSN,227,0,529
RSW,231,0,609
RTA,222,0,508
RTB,211,0,555
RTD,212,0,438
RTN,217,0,508
RTST,207,0,660
RTZ,208,0,660
RV,63,0,53
RVS,153,0,203
SBK,32,0,17
SD,204,0,285
SDA,365,0,627
SDM,216,0,508
SDT,197,0,262
SDTB,199,0,557
SGL,4,38.41935483870968,0
SGN,283,0,632
SHL,230,0,275
SK,349,0,570
SKND,348,0,570
SM,57,0,53
SN,30,0,17
SOG,10,38.41935483870968,0
SPTN,249,0,574
SPTZ,247,0,574
SRN,34,0,4
SSH,242,0,369
ST,203,0,285
STD,27,0,2
STM,360,0,633
STV,378,0,578
STZ,202,0,285
SWD,349,0,621
SWK,274,0,603
TB,141,0,115
TBG,192,0,497
TBR,146,0,128
TBU,142,0,128
TG,70,0,67
TL,170,0,231
TPSW,168,0,231
TWL,206,0,529
UHM,373,0,637
UHZ,370,0,637
UST,365,0,636
UT,184,0,188
UTG,246,0,578
UTLN,180,0,312
UTLR,187,0,261
UTO,187,0,261
UTT,189,0,261
UTVR,183,0,312
UTZL,186,0,261
VB,238,0,653
VD,197,0,463
VDL,16,38.41935483870968,0
VDM,365,0,634
VEM,189,0,463
VG,132,0,234
VH,242,0,369
VHP,253,0,600
VK,7,38.41935483870968,0
VL,75,0,86
VLB,105,0,139
VNDC,217,0,390
VNDW,216,0,390
VP,162,0,463
VRY,98,0,139
VS,261,0,476
VSS,260,0,476
VST,239,0,454
VSV,199,0,497
VTN,191,0,266
VZ,246,0,599
WAD,224,0,346
WADN,225,0,346
WADT,223,0,346
WC,146,0,203
WD,200,0,261
WDN,235,0,536
WF,164,0,460
WFM,362,0,636
WH,218,0,539
WK,365,0,573
WL,181,0,480
WM,239,0,543
WP,217,0,273
WR,392,0,645
WS,370,0,636
WSM,354,0,622
WT,76,0,53
WTV,161,0,462
WV,287,0,553
WW,220,0,516
WWW,221,0,516
WZ,241,0,553
YPB,237,0,346
ZA,156,0,217
ZB,357,0,630
ZBM,149,0,188
ZD,233,0,540
ZDK,236,0,543
ZH,350,0,621
ZL,232,0,539
ZLSH,237,0,553
ZLW,177,0,456
ZP,185,0,463
ZTM,232,0,346
ZTMO,231,0,346
ZV,170,0,460
ZVB,185,0,461
ZVT,250,0,557
ZWD,194,0,555
ZZS,236,0,543
