Station Code,Distance from MTH,Services from/to MTH,Disruptions on path to MTH
AC,226,0.0,436
AH,191,0.0,169
AHP,190,0.0,173
AHPR,188,0.0,172
AHZ,199,0.0,426
AKL,249,0.0,447
AKM,85,0.0,57
ALM,196,0.0,95
ALMB,190,0.0,95
ALMM,197,0.0,226
ALMO,188,0.0,95
ALMP,194,0.0,100
AMF,181,0.0,90
AMFS,178,0.0,90
AML,160,0.0,111
AMPO,199,0.0,227
AMR,265,0.0,375
AMRI,162,0.0,181
AMRN,266,0.0,450
ANA,295,0.0,461
APD,161,0.0,90
APDM,162,0.0,125
APDO,158,0.0,166
APG,47,0.0,50
APN,237,0.0,340
ARN,380,0.0,600
ASA,223,0.0,229
ASB,223,0.0,229
ASD,226,0.0,90
ASDL,233,0.0,348
ASDM,222,0.0,330
ASDZ,225,0.0,226
ASHD,224,0.0,243
ASN,37,0.0,23
ASS,230,0.0,348
ASSP,221,0.0,234
ATN,219,0.0,180
AVAT,175,0.0,96
BD,293,0.0,489
BDE,335,0.0,627
BDG,229,0.0,331
BDM,28,0.0,39
BDPB,298,0.0,812
BET,272,0.0,403
BF,32,0.0,39
BGN,328,0.0,599
BHDV,260,0.0,467
BHV,193,0.0,334
BK,328,0.0,628
BKF,284,0.0,433
BKG,283,0.0,429
BKL,214,0.0,403
BL,53,0.0,76
BLL,248,0.0,385
BMN,169,0.0,166
BMR,235,0.0,461
BN,169,0.0,181
BNC,200,0.0,331
BNK,210,0.0,403
BNN,197,0.0,330
BNZ,202,0.0,347
BP,43,0.0,38
BR,270,0.0,490
BRD,269,0.0,564
BRN,190,0.0,330
BSD,235,0.0,446
BSK,243,0.0,421
BSKS,244,0.0,444
BSMZ,202,0.0,91
BTL,262,0.0,476
BV,255,0.0,369
BZL,360,0.0,630
CAS,253,0.0,372
CK,225,0.0,458
CL,220,0.0,431
CO,170,0.0,110
CPS,247,0.0,488
CVM,345,0.0,645
DA,157,0.0,100
DB,214,0.0,403
DDN,179,0.0,200
DDR,277,0.0,478
DDRS,274,0.0,478
DDZD,278,0.0,595
DEI,71,0.0,55
DID,208,0.0,178
DL,127,0.0,90
DLD,190,0.0,330
DLN,174,0.0,124
DMN,219,0.0,233
DMNZ,219,0.0,91
DN,298,0.0,542
DR,175,0.0,166
DRH,253,0.0,386
DRON,147,0.0,90
DRP,78,0.0,69
DT,271,0.0,503
DTC,219,0.0,198
DTCH,217,0.0,198
DTCP,271,0.0,558
DV,146,0.0,100
DVC,150,0.0,166
DVD,221,0.0,226
DVN,198,0.0,175
DVNK,255,0.0,438
DWE,50,0.0,61
DZ,51,0.0,68
DZW,50,0.0,68
EC,308,0.0,625
ED,208,0.0,426
EDC,210,0.0,448
EDN,350,0.0,629
EEM,58,0.0,67
EGH,344,0.0,644
EGHM,345,0.0,644
EHS,281,0.0,479
EHV,282,0.0,479
EKZ,287,0.0,441
EML,158,0.0,93
EMN,190,0.0,125
EMNZ,186,0.0,124
ES,182,0.0,200
ESK,178,0.0,200
EST,202,0.0,426
ETN,304,0.0,812
FN,84,0.0,55
FWD,53,0.0,38
GBG,163,0.0,110
GD,234,0.0,403
GDG,231,0.0,403
GDM,228,0.0,403
GDR,224,0.0,215
GERP,11,63.45161290322581,2
GK,32,0.0,38
GLN,324,0.0,627
GN,13,63.45161290322581,23
GND,263,0.0,467
GNN,17,0.0,38
GO,189,0.0,233
GP,288,0.0,541
GR,254,0.0,465
GS,365,0.0,600
GV,263,0.0,488
GVC,262,0.0,406
GVM,263,0.0,523
GVMW,264,0.0,503
GW,80,0.0,55
GZ,283,0.0,491
HAD,249,0.0,369
HB,335,0.0,658
HBZM,266,0.0,477
HD,154,0.0,90
HDB,157,0.0,97
HDE,133,0.0,90
HDG,57,0.0,38
HDR,307,0.0,470
HDRZ,306,0.0,470
HFD,241,0.0,300
HGL,174,0.0,181
HGLG,176,0.0,200
HGLO,176,0.0,200
HGV,67,0.0,76
HGZ,2,65.16129032258064,0
HIL,256,0.0,369
HK,252,0.0,408
HKS,279,0.0,425
HLG,93,0.0,56
HLGH,94,0.0,60
HLM,245,0.0,348
HLMS,244,0.0,369
HLO,260,0.0,375
HM,295,0.0,541
HMBH,296,0.0,545
HMBV,292,0.0,541
HMH,294,0.0,541
HMN,216,0.0,440
HN,269,0.0,369
HNK,270,0.0,425
HNO,127,0.0,90
HNP,109,0.0,58
HON,165,0.0,166
HOR,203,0.0,91
HR,96,0.0,55
HRL,339,0.0,627
HRLW,341,0.0,644
HRN,15,0.0,23
HRT,280,0.0,542
HT,250,0.0,403
HTN,210,0.0,403
HTNC,211,0.0,431
HTO,251,0.0,476
HVL,187,0.0,330
HVS,197,0.0,90
HVSM,198,0.0,91
HVSP,198,0.0,91
HWD,272,0.0,451
HWZB,237,0.0,369
HZE,293,0.0,547
IJT,92,0.0,56
KBD,347,0.0,600
KBK,170,0.0,126
KLP,215,0.0,448
KMA,244,0.0,382
KMR,347,0.0,644
KMW,114,0.0,63
KPN,130,0.0,90
KPNZ,130,0.0,90
KRD,347,0.0,655
KRG,354,0.0,600
KTR,223,0.0,440
KW,1,63.45161290322581,0
KZ,238,0.0,372
LAA,263,0.0,435
LC,179,0.0,166
LDL,251,0.0,421
LDM,242,0.0,447
LEDN,252,0.0,428
LG,342,0.0,644
LLS,172,0.0,81
LLZM,247,0.0,488
LP,39,0.0,50
LTN,207,0.0,347
LTV,197,0.0,168
LUT,324,0.0,627
LW,67,0.0,38
LWC,64,0.0,48
MAS,209,0.0,403
MDB,384,0.0,627
MES,347,0.0,629
MG,77,0.0,55
MMLH,220,0.0,447
MP,87,0.0,76
MRB,149,0.0,97
MRN,222,0.0,435
MT,341,0.0,627
MTH,0,0.0,0
MTN,344,0.0,629
MTR,342,0.0,629
MZ,303,0.0,552
NDB,203,0.0,91
NH,332,0.0,658
NKK,170,0.0,93
NM,210,0.0,426
NMD,215,0.0,447
NMGO,213,0.0,447
NMH,213,0.0,447
NML,209,0.0,440
NS,142,0.0,90
NSCH,35,20.258064516129032,14
NVD,147,0.0,99
NVP,246,0.0,428
NWK,243,0.0,488
O,234,0.0,447
OBD,278,0.0,369
ODB,308,0.0,600
ODZ,185,0.0,200
OMN,138,0.0,97
OP,219,0.0,440
OST,136,0.0,90
OT,271,0.0,519
OTB,195,0.0,426
OVN,247,0.0,385
OW,235,0.0,468
PMO,251,0.0,348
PMR,250,0.0,369
PMW,249,0.0,372
PT,163,0.0,90
RAI,224,0.0,229
RAT,133,0.0,90
RB,344,0.0,600
RD,51,0.0,54
RH,181,0.0,169
RHN,245,0.0,438
RL,184,0.0,168
RLB,265,0.0,558
RM,295,0.0,576
RS,246,0.0,468
RSD,315,0.0,595
RSN,163,0.0,111
RSW,266,0.0,503
RTA,248,0.0,488
RTB,259,0.0,558
RTD,258,0.0,488
RTN,253,0.0,490
RTST,263,0.0,558
RTZ,262,0.0,558
RV,284,0.0,562
RVS,226,0.0,426
SBK,327,0.0,657
SD,194,0.0,344
SDA,18,30.32258064516129,5
SDM,262,0.0,558
SDT,267,0.0,477
SDTB,270,0.0,478
SGL,351,0.0,643
SGN,286,0.0,461
SHL,236,0.0,300
SK,89,0.0,55
SKND,88,0.0,55
SM,290,0.0,576
SN,329,0.0,658
SOG,349,0.0,644
SPTN,252,0.0,385
SPTZ,250,0.0,385
SRN,313,0.0,654
SSH,257,0.0,428
ST,195,0.0,344
STD,320,0.0,625
STM,35,0.0,50
STV,118,0.0,63
STZ,196,0.0,334
SWD,24,0.0,38
SWK,101,0.0,126
TB,272,0.0,476
TBG,225,0.0,215
TBR,277,0.0,489
TBU,273,0.0,489
TG,277,0.0,543
TL,235,0.0,443
TPSW,237,0.0,443
TWL,151,0.0,166
UHM,48,0.0,54
UHZ,45,0.0,54
UST,40,0.0,53
UT,202,0.0,330
UTG,249,0.0,407
UTLN,206,0.0,403
UTLR,205,0.0,403
UTO,199,0.0,330
UTT,207,0.0,403
UTVR,203,0.0,403
UTZL,204,0.0,403
VB,259,0.0,488
VD,174,0.0,166
VDL,343,0.0,644
VDM,18,32.0,5
VEM,166,0.0,166
VG,254,0.0,476
VH,260,0.0,438
VHP,155,0.0,100
VK,352,0.0,644
VL,272,0.0,542
VLB,242,0.0,489
VNDC,237,0.0,437
VNDW,236,0.0,437
VP,185,0.0,172
VRY,249,0.0,490
VS,390,0.0,627
VSS,389,0.0,600
VST,257,0.0,523
VSV,228,0.0,199
VTN,209,0.0,408
VZ,162,0.0,101
WAD,242,0.0,488
WADN,243,0.0,488
WADT,241,0.0,488
WC,219,0.0,426
WD,218,0.0,330
WDN,155,0.0,111
WF,199,0.0,426
WFM,37,0.0,53
WH,129,0.0,90
WK,105,0.0,58
WL,214,0.0,198
WM,242,0.0,372
WP,212,0.0,227
WR,45,17.548387096774192,23
WS,23,30.32258064516129,14
WSM,29,0.0,39
WT,310,0.0,541
WTV,194,0.0,175
WV,107,0.0,55
WW,207,0.0,180
WWW,206,0.0,180
WZ,124,0.0,90
YPB,255,0.0,406
ZA,213,0.0,440
ZB,10,65.16129032258064,1
ZBM,237,0.0,446
ZD,236,0.0,369
ZDK,239,0.0,372
ZH,25,0.0,38
ZL,115,0.0,76
ZLSH,120,0.0,90
ZLW,292,0.0,595
ZP,162,0.0,166
ZTM,250,0.0,403
ZTMO,249,0.0,488
ZV,203,0.0,178
ZVB,300,0.0,600
ZVT,253,0.0,385
ZWD,276,0.0,663
ZZS,239,0.0,372
