Station Code,Distance from MTN,Services from/to MTN,Disruptions on path to MTN
AC,205,0.0,202
AH,153,0.0,203
AHP,154,0.0,460
AHPR,156,0.0,460
AHZ,145,0.0,217
AKL,176,0.0,213
AKM,306,0.0,603
ALM,230,0.0,255
ALMB,236,0.0,386
ALMM,229,0.0,254
ALMO,238,0.0,386
ALMP,232,0.0,386
AMF,202,0.0,242
AMFS,205,0.0,482
AML,237,0.0,529
AMPO,227,0.0,254
AMR,251,0.0,96
AMRI,239,0.0,599
AMRN,252,0.0,171
ANA,281,0.0,182
APD,200,0.0,463
APDM,199,0.0,464
APDO,203,0.0,498
APG,369,0.0,633
APN,202,0.0,63
ARN,248,0.0,443
ASA,214,0.0,242
ASB,210,0.0,242
ASD,220,0.0,242
ASDL,227,0.0,500
ASDM,216,0.0,279
ASDZ,216,0.0,256
ASHD,209,0.0,329
ASN,307,0.0,553
ASS,224,0.0,500
ASSP,217,0.0,293
ATN,205,0.0,497
AVAT,208,0.0,488
BD,159,0.0,115
BDE,9,0.0,2
BDG,208,0.0,243
BDM,350,0.0,622
BDPB,164,0.0,438
BET,111,0.0,115
BF,354,0.0,622
BGN,196,0.0,443
BHDV,187,0.0,233
BHV,190,0.0,242
BK,16,0.0,33
BKF,278,0.0,585
BKG,277,0.0,581
BKL,193,0.0,169
BL,291,0.0,553
BLL,219,0.0,56
BMN,175,0.0,463
BMR,109,0.0,140
BN,232,0.0,530
BNC,185,0.0,226
BNK,187,0.0,293
BNN,188,0.0,242
BNZ,183,0.0,226
BP,348,0.0,570
BR,74,0.0,87
BRD,198,0.0,555
BRN,205,0.0,266
BSD,162,0.0,212
BSK,208,0.0,144
BSKS,209,0.0,167
BSMZ,204,0.0,243
BTL,121,0.0,53
BV,229,0.0,58
BZL,228,0.0,474
CAS,239,0.0,93
CK,119,0.0,168
CL,163,0.0,212
CO,277,0.0,616
CPS,202,0.0,204
CVM,29,36.54838709677419,32
DA,248,0.0,599
DB,191,0.0,337
DDN,222,0.0,478
DDR,189,0.0,438
DDRS,192,0.0,555
DDZD,188,0.0,461
DEI,328,0.0,570
DID,172,0.0,460
DL,241,0.0,553
DLD,193,0.0,262
DLN,281,0.0,630
DMN,219,0.0,293
DMNZ,214,0.0,245
DN,102,0.0,87
DR,169,0.0,460
DRH,224,0.0,57
DRON,261,0.0,553
DRP,335,0.0,584
DT,177,0.0,31
DTC,183,0.0,480
DTCH,181,0.0,480
DTCP,178,0.0,132
DV,198,0.0,463
DVC,202,0.0,529
DVD,212,0.0,242
DVN,162,0.0,462
DVNK,184,0.0,49
DWE,341,0.0,570
DZ,373,0.0,651
DZW,372,0.0,651
EC,36,0.0,6
ED,170,0.0,203
EDC,172,0.0,225
EDN,12,0.0,2
EEM,380,0.0,650
EGH,28,36.54838709677419,31
EGHM,29,0.0,31
EHS,102,0.0,115
EHV,101,0.0,53
EKZ,281,0.0,593
EML,225,0.0,482
EMN,297,0.0,631
EMNZ,293,0.0,630
ES,235,0.0,530
ESK,231,0.0,530
EST,142,0.0,203
ETN,170,0.0,438
FN,341,0.0,570
FWD,338,0.0,570
GBG,270,0.0,616
GD,200,0.0,46
GDG,203,0.0,131
GDM,155,0.0,169
GDR,188,0.0,497
GERP,333,0.0,606
GK,354,0.0,621
GLN,28,0.0,4
GN,335,0.0,606
GND,190,0.0,233
GNN,339,0.0,621
GO,212,0.0,470
GP,95,0.0,60
GR,181,0.0,231
GS,233,0.0,443
GV,171,0.0,31
GVC,172,0.0,46
GVM,176,0.0,46
GVMW,170,0.0,31
GW,311,0.0,610
GZ,149,0.0,111
HAD,212,0.0,56
HB,27,0.0,31
HBZM,193,0.0,243
HD,229,0.0,485
HDB,264,0.0,603
HDE,247,0.0,553
HDG,334,0.0,570
HDR,293,0.0,191
HDRZ,292,0.0,191
HFD,211,0.0,46
HGL,227,0.0,511
HGLG,225,0.0,511
HGLO,229,0.0,530
HGV,277,0.0,553
HGZ,346,0.0,629
HIL,205,0.0,56
HK,232,0.0,76
HKS,273,0.0,577
HLG,350,0.0,571
HLGH,351,0.0,575
HLM,216,0.0,56
HLMS,217,0.0,56
HLO,246,0.0,76
HM,111,0.0,115
HMBH,110,0.0,115
HMBV,111,0.0,115
HMH,112,0.0,119
HMN,156,0.0,217
HN,263,0.0,521
HNK,264,0.0,577
HNO,241,0.0,553
HNP,366,0.0,573
HON,217,0.0,463
HOR,193,0.0,242
HR,295,0.0,610
HRL,23,38.41935483870968,14
HRLW,21,38.41935483870968,14
HRN,329,0.0,606
HRT,84,0.0,139
HT,133,0.0,96
HTN,173,0.0,265
HTNC,172,0.0,265
HTO,134,0.0,169
HVL,198,0.0,243
HVS,199,0.0,242
HVSM,200,0.0,243
HVSP,198,0.0,242
HWD,258,0.0,172
HWZB,224,0.0,56
HZE,90,0.0,55
IJT,349,0.0,571
KBD,215,0.0,443
KBK,191,0.0,463
KLP,177,0.0,225
KMA,238,0.0,534
KMR,15,38.41935483870968,14
KMW,371,0.0,578
KPN,244,0.0,553
KPNZ,244,0.0,553
KRD,31,36.54838709677419,42
KRG,222,0.0,443
KTR,163,0.0,217
KW,343,0.0,627
KZ,232,0.0,524
LAA,173,0.0,46
LC,199,0.0,463
LDL,188,0.0,56
LDM,169,0.0,213
LEDN,187,0.0,46
LG,26,36.54838709677419,31
LLS,254,0.0,386
LLZM,187,0.0,75
LP,361,0.0,633
LTN,178,0.0,226
LTV,217,0.0,465
LUT,20,0.0,33
LW,324,0.0,553
LWC,327,0.0,570
MAS,188,0.0,242
MDB,252,0.0,470
MES,3,38.41935483870968,0
MG,334,0.0,570
MMLH,124,0.0,171
MP,257,0.0,553
MRB,256,0.0,600
MRN,199,0.0,369
MT,3,38.41935483870968,0
MTH,344,0.0,629
MTN,0,0.0,0
MTR,4,38.41935483870968,2
MZ,80,0.0,53
NDB,205,0.0,243
NH,30,0.0,31
NKK,213,0.0,482
NM,134,0.0,182
NMD,139,0.0,203
NMGO,137,0.0,203
NMH,131,0.0,182
NML,135,0.0,203
NS,241,0.0,482
NSCH,379,0.0,636
NVD,240,0.0,470
NVP,206,0.0,56
NWK,206,0.0,260
O,152,0.0,169
OBD,264,0.0,182
ODB,190,0.0,443
ODZ,238,0.0,530
OMN,252,0.0,560
OP,159,0.0,217
OST,208,0.0,529
OT,130,0.0,96
OTB,157,0.0,460
OVN,218,0.0,56
OW,151,0.0,169
PMO,245,0.0,500
PMR,244,0.0,521
PMW,243,0.0,524
PT,220,0.0,482
RAI,215,0.0,245
RAT,247,0.0,553
RB,212,0.0,474
RD,373,0.0,637
RH,163,0.0,461
RHN,222,0.0,372
RL,204,0.0,465
RLB,198,0.0,202
RM,49,0.0,4
RS,140,0.0,169
RSD,183,0.0,438
RSN,224,0.0,463
RSW,172,0.0,31
RTA,201,0.0,202
RTB,192,0.0,202
RTD,191,0.0,132
RTN,196,0.0,202
RTST,196,0.0,202
RTZ,195,0.0,202
RV,60,0.0,53
RVS,150,0.0,203
SBK,31,0.0,34
SD,201,0.0,266
SDA,362,0.0,627
SDM,187,0.0,132
SDT,194,0.0,243
SDTB,196,0.0,555
SGL,7,38.41935483870968,14
SGN,272,0.0,182
SHL,216,0.0,75
SK,346,0.0,570
SKND,345,0.0,570
SM,54,0.0,53
SN,33,0.0,35
SOG,13,38.41935483870968,14
SPTN,223,0.0,56
SPTZ,221,0.0,56
SRN,31,0.0,4
SSH,195,0.0,56
ST,200,0.0,266
STD,24,0.0,2
STM,357,0.0,633
STV,375,0.0,578
STZ,199,0.0,266
SWD,346,0.0,621
SWK,271,0.0,603
TB,138,0.0,96
TBG,189,0.0,497
TBR,143,0.0,109
TBU,139,0.0,109
TG,67,0.0,67
TL,167,0.0,212
TPSW,165,0.0,212
TWL,203,0.0,529
UHM,370,0.0,637
UHZ,367,0.0,637
UST,362,0.0,636
UT,181,0.0,169
UTG,235,0.0,76
UTLN,177,0.0,293
UTLR,184,0.0,242
UTO,184,0.0,242
UTT,186,0.0,242
UTVR,180,0.0,293
UTZL,183,0.0,242
VB,175,0.0,75
VD,194,0.0,463
VDL,19,38.41935483870968,14
VDM,362,0.0,634
VEM,186,0.0,463
VG,129,0.0,96
VH,195,0.0,56
VHP,250,0.0,600
VK,10,38.41935483870968,14
VL,72,0.0,86
VLB,102,0.0,139
VNDC,214,0.0,371
VNDW,213,0.0,371
VP,159,0.0,461
VRY,95,0.0,139
VS,258,0.0,470
VSS,257,0.0,443
VST,182,0.0,49
VSV,196,0.0,497
VTN,188,0.0,247
VZ,243,0.0,599
WAD,208,0.0,131
WADN,209,0.0,131
WADT,207,0.0,131
WC,143,0.0,203
