Station Code,Distance from MTR,Services from/to MTR,Disruptions on path to MTR
AC,203,0.0,202
AH,151,0.0,203
AHP,152,0.0,460
AHPR,154,0.0,460
AHZ,143,0.0,217
AKL,174,0.0,213
AKM,304,0.0,603
ALM,228,0.0,255
ALMB,234,0.0,386
ALMM,227,0.0,254
ALMO,236,0.0,386
ALMP,230,0.0,386
AMF,200,0.0,242
AMFS,203,0.0,482
AML,235,0.0,529
AMPO,225,0.0,254
AMR,255,0.0,84
AMRI,237,0.0,599
AMRN,256,0.0,159
ANA,285,0.0,170
APD,198,0.0,463
APDM,197,0.0,464
APDO,201,0.0,498
APG,367,0.0,633
APN,206,0.0,51
ARN,246,0.0,443
ASA,212,0.0,242
ASB,208,0.0,242
ASD,218,0.0,242
ASDL,225,0.0,500
ASDM,214,0.0,279
ASDZ,214,0.0,256
ASHD,207,0.0,329
ASN,305,0.0,553
ASS,222,0.0,500
ASSP,215,0.0,293
ATN,203,0.0,497
AVAT,206,0.0,488
BD,157,0.0,115
BDE,7,37.64516129032258,2
BDG,206,0.0,243
BDM,348,0.0,622
BDPB,162,0.0,438
BET,109,0.0,115
BF,352,0.0,622
BGN,194,0.0,443
BHDV,185,0.0,233
BHV,188,0.0,242
BK,14,37.64516129032258,33
BKF,276,0.0,585
BKG,275,0.0,581
BKL,191,0.0,169
BL,289,0.0,553
BLL,223,0.0,44
BMN,173,0.0,463
BMR,107,0.0,140
BN,230,0.0,530
BNC,183,0.0,226
BNK,185,0.0,293
BNN,186,0.0,242
BNZ,181,0.0,226
BP,346,0.0,570
BR,72,0.0,87
BRD,196,0.0,555
BRN,203,0.0,266
BSD,160,0.0,212
BSK,212,0.0,132
BSKS,213,0.0,155
BSMZ,202,0.0,243
BTL,119,0.0,53
BV,233,0.0,46
BZL,226,0.0,474
CAS,243,0.0,81
CK,117,0.0,168
CL,161,0.0,212
CO,275,0.0,616
CPS,206,0.0,192
CVM,33,36.54838709677419,20
DA,246,0.0,599
DB,189,0.0,337
DDN,220,0.0,478
DDR,187,0.0,438
DDRS,190,0.0,555
DDZD,186,0.0,461
DEI,326,0.0,570
DID,170,0.0,460
DL,239,0.0,553
DLD,191,0.0,262
DLN,279,0.0,630
DMN,217,0.0,293
DMNZ,212,0.0,245
DN,100,0.0,87
DR,167,0.0,460
DRH,228,0.0,45
DRON,259,0.0,553
DRP,333,0.0,584
DT,181,0.0,19
DTC,181,0.0,480
DTCH,179,0.0,480
DTCP,182,0.0,120
DV,196,0.0,463
DVC,200,0.0,529
DVD,210,0.0,242
DVN,160,0.0,462
DVNK,188,0.0,37
DWE,339,0.0,570
DZ,371,0.0,651
DZW,370,0.0,651
EC,34,35.645161290322584,6
ED,168,0.0,203
EDC,170,0.0,225
EDN,8,17.548387096774192,0
EEM,378,0.0,650
EGH,32,36.54838709677419,19
EGHM,33,0.0,19
EHS,100,0.0,115
EHV,99,0.0,53
EKZ,279,0.0,593
