Station Code,Distance from NMGO,Services from/to NMGO,Disruptions on path to NMGO
AC,104,0.0,387
AH,22,31.096774193548388,21
AHP,23,23.161290322580644,278
AHPR,25,23.161290322580644,280
AHZ,14,31.06451612903226,35
AKL,77,0.0,82
AKM,175,0.0,421
ALM,120,0.0,571
ALMB,126,0.0,702
ALMM,119,0.0,570
ALMO,128,0.0,702
ALMP,122,0.0,702
AMF,73,0.0,318
AMFS,76,0.0,558
AML,106,0.0,347
AMPO,117,0.0,570
AMR,157,0.0,844
AMRI,108,0.0,417
AMRN,158,0.0,919
ANA,187,0.0,930
APD,69,0.0,281
APDM,68,0.0,282
APDO,72,0.0,316
APG,238,0.0,451
APN,115,0.0,361
ARN,172,0.0,470
ASA,113,0.0,351
ASB,109,0.0,351
ASD,118,0.0,559
ASDL,125,0.0,838
ASDM,114,0.0,577
ASDZ,115,0.0,354
ASHD,110,0.0,365
ASN,176,0.0,371
ASS,122,0.0,817
ASSP,113,0.0,577
ATN,74,0.0,315
AVAT,79,0.0,564
BD,83,28.258064516129032,111
BDE,128,0.0,202
BDG,107,0.0,352
BDM,219,0.0,440
BDPB,88,27.483870967741936,434
BET,62,0.0,141
BF,223,0.0,440
BGN,120,0.0,439
BHDV,88,0.0,102
BHV,85,0.0,562
BK,121,0.0,202
BKF,176,0.0,902
BKG,175,0.0,898
BKL,92,0.0,354
BL,160,0.0,376
BLL,140,0.0,854
BMN,44,23.161290322580644,281
BMR,28,0.0,35
BN,101,0.0,348
BNC,54,0.0,301
BNK,72,0.0,332
BNN,57,0.0,317
BNZ,52,0.0,301
BP,217,0.0,388
BR,63,0.0,64
BRD,114,0.0,232
BRN,82,0.0,558
BSD,63,0.0,81
BSK,121,0.0,442
BSKS,122,0.0,465
BSMZ,94,0.0,559
BTL,52,0.0,98
BV,147,0.0,877
BZL,152,0.0,470
CAS,145,0.0,841
CK,18,0.0,32
CL,64,0.0,81
CO,146,0.0,434
CPS,125,0.0,436
CVM,138,0.0,219
DA,117,0.0,417
DB,68,0.0,300
DDN,91,0.0,296
DDR,105,27.483870967741936,115
DDRS,102,0.0,113
DDZD,106,27.483870967741936,232
DEI,197,0.0,388
DID,41,0.0,278
DL,110,0.0,371
DLD,82,0.0,558
DLN,150,0.0,448
DMN,111,0.0,576
DMNZ,111,0.0,576
DN,91,0.0,116
DR,38,23.193548387096776,278
DRH,145,0.0,873
DRON,130,0.0,371
DRP,204,0.0,402
DT,139,0.0,302
DTC,52,0.0,298
DTCH,50,0.0,298
DTCP,138,0.0,302
DV,67,0.032258064516129,281
DVC,71,0.0,347
DVD,111,0.0,351
DVN,31,0.0,280
DVNK,133,0.0,459
DWE,210,0.0,388
DZ,242,0.0,469
DZW,241,0.0,469
EC,101,0.0,199
ED,39,0.0,278
EDC,41,0.0,300
EDN,143,0.0,203
EEM,249,0.0,468
EGH,137,0.0,218
EGHM,138,0.0,218
EHS,71,0.0,217
EHV,72,0.0,98
EKZ,179,0.0,910
EML,96,0.0,561
EMN,166,0.0,449
EMNZ,162,0.0,448
ES,104,0.0,348
ESK,100,0.0,348
EST,11,31.06451612903226,21
ETN,94,0.0,434
FN,210,0.0,388
FWD,207,0.0,388
GBG,139,0.0,434
GD,112,0.0,351
GDG,109,0.0,351
GDM,56,0.0,38
GDR,57,0.0,315
GERP,202,0.0,424
GK,223,0.0,439
GLN,117,0.0,201
GN,204,0.0,424
GND,91,0.0,102
GNN,208,0.0,439
GO,81,0.0,288
GP,78,0.0,160
GR,82,0.0,100
GS,157,0.0,470
GV,141,0.0,436
GVC,140,0.0,436
GVM,141,0.0,544
GVMW,142,0.0,451
GW,180,0.0,378
GZ,73,28.258064516129032,113
HAD,141,0.0,854
HB,128,0.0,232
HBZM,94,0.0,112
HD,100,0.0,561
HDB,133,0.0,421
HDE,116,0.0,371
HDG,203,0.0,388
HDR,199,0.0,939
HDRZ,198,0.0,939
HFD,131,0.0,415
HGL,96,0.0,329
HGLG,94,0.0,329
HGLO,98,0.0,348
HGV,146,0.0,371
HGZ,215,0.0,447
HIL,148,0.0,459
HK,144,0.0,877
HKS,171,0.0,894
HLG,219,0.0,389
HLGH,220,0.0,393
HLM,137,0.0,817
HLMS,136,0.0,838
HLO,152,0.0,844
HM,85,0.0,160
HMBH,86,0.0,164
HMBV,82,0.0,160
HMH,84,0.0,160
HMN,25,0.0,35
HN,161,0.0,838
HNK,162,0.0,894
HNO,110,0.0,371
HNP,235,0.0,391
