Station Code,Distance from NS,Services from/to NS,Disruptions on path to NS
AC,84,0.0,349
AH,90,0.0,280
AHP,91,0.0,537
AHPR,93,0.0,539
AHZ,98,0.0,537
AKL,107,0.0,438
AKM,104,0.0,64
ALM,86,0.0,253
ALMB,92,0.0,384
ALMM,85,0.0,252
ALMO,94,0.0,384
ALMP,88,0.0,384
AMF,39,35.87096774193548,0
AMFS,36,35.83870967741935,14
AML,72,0.0,26
AMPO,83,0.0,252
AMR,123,0.0,526
AMRI,74,0.0,96
AMRN,124,0.0,601
ANA,153,0.0,612
APD,73,0.0,14
APDM,74,0.0,49
APDO,70,0.0,90
APG,167,0.0,94
APN,95,0.0,250
ARN,238,0.0,624
ASA,81,0.0,244
ASB,81,0.0,244
ASD,84,0.0,241
ASDL,91,0.0,520
ASDM,80,0.0,259
ASDZ,83,0.0,244
ASHD,82,0.0,258
ASN,105,0.0,14
ASS,88,0.0,499
ASSP,79,0.0,259
ATN,131,0.0,104
AVAT,33,35.83870967741935,6
BD,151,0.0,399
BDE,232,0.0,500
BDG,87,0.0,241
BDM,148,0.0,83
BDPB,156,0.0,722
BET,130,0.0,429
BF,152,0.0,83
BGN,186,0.0,593
BHDV,118,0.0,458
BHV,51,35.483870967741936,244
BK,225,0.0,500
BKF,142,0.0,584
BKG,141,0.0,580
BKL,72,0.0,316
BL,89,0.0,19
BLL,106,0.0,536
BMN,81,0.0,90
BMR,134,0.0,572
BN,81,0.0,96
BNC,58,0.0,241
BNK,68,0.0,313
BNN,55,0.0,240
BNZ,60,0.0,257
BP,146,0.0,31
BR,169,0.0,601
BRD,127,0.0,483
BRN,48,0.0,240
BSD,93,0.0,437
BSK,101,0.0,331
BSKS,102,0.0,354
BSMZ,60,0.0,241
BTL,120,0.0,386
BV,113,0.0,559
BZL,218,0.0,624
CAS,111,0.0,523
CK,124,0.0,569
CL,78,0.0,341
CO,82,0.0,34
CPS,105,0.0,398
CVM,242,0.0,517
DA,69,0.0,24
DB,72,0.0,313
DDN,91,0.0,115
DDR,135,0.0,471
DDRS,132,0.0,469
DDZD,136,0.0,588
DEI,126,0.0,31
DID,109,0.0,537
DL,39,0.0,14
DLD,48,35.483870967741936,240
DLN,86,0.0,48
DMN,77,0.0,258
DMNZ,77,0.0,258
DN,162,0.0,452
DR,87,0.0,90
DRH,111,0.0,555
DRON,59,0.0,14
DRP,133,0.0,45
DT,129,0.0,413
DTC,120,0.0,557
DTCH,118,0.0,557
DTCP,129,0.0,468
DV,58,0.0,24
DVC,62,0.0,90
DVD,79,0.0,241
DVN,99,0.0,539
DVNK,113,0.0,348
DWE,139,0.0,31
DZ,171,0.0,112
DZW,170,0.0,112
EC,205,0.0,497
ED,73,0.0,258
EDC,71,0.0,257
EDN,247,0.0,501
EEM,178,0.0,111
EGH,241,0.0,516
EGHM,242,0.0,516
EHS,139,0.0,505
EHV,140,0.0,386
EKZ,145,0.0,592
EML,16,35.83870967741935,3
EMN,102,0.0,49
EMNZ,98,0.0,48
ES,94,0.0,115
ESK,90,0.0,115
EST,101,0.0,537
ETN,162,0.0,722
FN,139,0.0,31
FWD,136,0.0,31
GBG,75,0.0,34
GD,92,0.064516129032258,313
GDG,89,0.0,241
GDM,86,0.0,394
GDR,125,0.0,574
GERP,131,0.0,67
GK,152,0.0,82
GLN,221,0.0,499
GN,133,0.0,67
GND,121,0.0,458
GNN,137,0.0,82
GO,101,0.0,148
GP,146,0.0,448
GR,112,0.0,456
GS,223,0.0,624
GV,121,0.0,398
GVC,120,0.0,398
GVM,121,0.0,433
GVMW,122,0.0,413
GW,109,0.0,21
GZ,141,0.0,401
HAD,107,0.0,536
HB,232,0.0,530
HBZM,124,0.0,468
HD,12,35.83870967741935,0
HDB,69,0.0,21
HDE,9,36.67741935483871,0
HDG,132,0.0,31
HDR,165,0.0,621
HDRZ,164,0.0,621
HFD,99,0.0,368
HGL,86,0.0,96
HGLG,88,0.0,115
HGLO,88,0.0,115
HGV,75,0.0,14
HGZ,144,0.0,90
HIL,114,0.0,576
HK,110,0.0,559
HKS,137,0.0,576
HLG,148,0.0,32
HLGH,149,0.0,36
HLM,103,0.0,499
HLMS,102,0.0,520
HLO,118,0.0,526
HM,153,0.0,448
HMBH,154,0.0,452
HMBV,150,0.0,448
HMH,152,0.0,448
HMN,115,0.0,551
HN,127,0.0,520
HNK,128,0.0,576
HNO,39,0.0,14
HNP,164,0.0,34
HON,77,0.0,90
HOR,61,0.0,241
HR,93,0.032258064516129,14
HRL,236,0.0,499
HRLW,238,0.0,516
HRN,127,0.0,67
HRT,179,0.0,653
HT,108,0.0,313
HTN,68,0.0,313
HTNC,69,0.0,341
HTO,109,0.0,386
HVL,45,0.0,240
HVS,55,0.0,240
HVSM,56,0.0,241
HVSP,56,0.0,241
HWD,130,0.0,602
HWZB,95,0.0,520
HZE,151,0.0,454
IJT,147,0.0,32
KBD,205,0.0,624
KBK,82,0.0,50
KLP,80,0.0,280
KMA,102,0.0,533
KMR,244,0.0,516
KMW,169,0.0,39
KPN,42,0.0,14
KPNZ,42,0.0,14
KRD,244,0.0,527
KRG,212,0.0,624
KTR,110,0.0,437
KW,141,0.0,88
KZ,96,0.0,523
LAA,121,0.0,427
LC,91,0.0,90
LDL,109,0.0,331
LDM,100,0.0,438
LEDN,110,0.0,338
LG,239,0.0,516
LLS,84,0.0,14
LLZM,105,0.0,398
LP,159,0.0,94
LTN,65,0.0,257
LTV,109,0.0,92
LUT,221,0.0,499
LW,122,0.032258064516129,14
LWC,125,0.0,31
MAS,67,0.0,313
MDB,242,0.0,624
MES,244,0.0,501
MG,132,0.0,31
MMLH,119,0.0,558
MP,55,0.032258064516129,14
MRB,61,0.0,21
MRN,80,0.0,345
MT,238,0.0,499
MTH,142,0.0,90
MTN,241,0.0,501
MTR,239,0.0,501
MZ,161,0.0,459
NDB,61,0.0,241
NH,229,0.0,530
NKK,28,35.83870967741935,3
NM,109,0.0,537
NMD,114,0.0,558
NMGO,112,0.0,558
NMH,112,0.0,558
NML,108,0.0,551
NS,0,0.0,0
NSCH,177,0.0,97
NVD,59,0.0,14
NVP,104,0.0,496
NWK,101,0.0,398
O,127,0.0,386
OBD,136,0.0,612
ODB,166,0.0,593
ODZ,97,0.0,115
OMN,50,0.0,21
OP,114,0.0,440
OST,48,0.0,14
OT,129,0.0,429
OTB,86,0.0,280
OVN,105,0.0,536
OW,126,0.0,389
PMO,109,0.0,521
PMR,108,0.0,520
PMW,107,0.0,523
PT,21,35.83870967741935,17
RAI,82,0.0,244
RAT,45,0.0,14
RB,202,0.0,624
RD,171,0.0,98
RH,93,0.0,93
RHN,103,0.0,348
RL,96,0.0,92
RLB,123,0.0,477
RM,192,0.0,448
RS,115,0.0,389
RSD,173,0.0,588
RSN,75,0.0,26
RSW,124,0.0,413
RTA,106,0.064516129032258,398
RTB,117,0.0,468
RTD,116,0.064516129032258,398
RTN,111,0.0,400
RTST,121,0.0,477
RTZ,120,0.0,477
RV,183,0.0,673
RVS,125,0.0,537
SBK,224,0.0,529
SD,52,0.0,254
SDA,160,0.0,88
SDM,120,0.0,468
SDT,125,0.0,468
