Station Code,Distance from NSCH,Services from/to NSCH,Disruptions on path to NSCH
AC,261,0.0,446
AH,226,0.0,176
AHP,225,0.0,180
AHPR,223,0.0,179
AHZ,234,0.0,433
AKL,284,0.0,535
AKM,120,0.0,87
ALM,231,0.0,108
ALMB,225,0.0,108
ALMM,232,0.0,239
ALMO,223,0.0,97
ALMP,229,0.0,113
AMF,216,0.0,97
AMFS,213,0.0,97
AML,195,0.0,109
AMPO,234,0.0,240
AMR,300,0.0,524
AMRI,197,0.0,179
AMRN,301,0.0,599
ANA,330,0.0,610
APD,196,0.0,97
APDM,197,0.0,132
APDO,193,0.0,173
APG,82,0.0,57
APN,272,0.0,347
ARN,415,0.0,721
ASA,258,0.0,242
ASB,258,0.0,242
ASD,261,0.0,239
ASDL,268,0.0,518
ASDM,257,0.0,356
ASDZ,260,0.0,239
ASHD,259,0.0,256
ASN,72,0.0,30
ASS,265,0.0,497
ASSP,256,0.0,356
ATN,254,0.0,187
AVAT,210,0.0,103
BD,328,0.0,496
BDE,370,0.0,635
BDG,264,0.0,338
BDM,63,0.0,46
BDPB,333,0.0,819
BET,307,0.0,526
BF,67,0.0,46
BGN,363,0.0,690
BHDV,295,0.0,555
BHV,228,0.0,341
BK,363,0.0,635
BKF,319,0.0,582
BKG,318,0.0,578
BKL,249,0.0,413
BL,88,0.0,83
BLL,283,0.0,534
BMN,204,0.0,173
BMR,270,0.0,468
BN,204,0.0,179
BNC,235,0.0,338
BNK,245,0.0,410
BNN,232,0.0,337
BNZ,237,0.0,354
BP,78,0.0,45
BR,305,0.0,497
BRD,304,0.0,580
BRN,225,0.0,337
BSD,270,0.0,534
BSK,278,0.0,428
BSKS,279,0.0,451
BSMZ,237,0.0,338
BTL,297,0.0,483
BV,290,0.0,557
BZL,395,0.0,721
CAS,288,0.0,521
CK,260,0.0,465
CL,255,0.0,438
CO,205,0.0,117
CPS,282,0.0,495
CVM,380,0.0,652
DA,192,0.0,107
DB,249,0.0,410
DDN,214,0.0,198
DDR,312,0.0,568
DDRS,309,0.0,566
DDZD,313,0.0,685
DEI,106,0.0,85
DID,243,0.0,185
DL,162,0.0,97
DLD,225,0.0,337
DLN,209,0.0,131
DMN,254,0.0,355
DMNZ,254,0.0,355
DN,333,0.0,549
DR,210,0.0,173
DRH,288,0.0,553
DRON,182,0.0,97
DRP,113,0.0,99
DT,306,0.0,510
DTC,254,0.0,205
DTCH,252,0.0,205
DTCP,306,0.0,565
DV,181,0.0,107
DVC,185,0.0,173
DVD,256,0.0,239
DVN,233,0.0,182
DVNK,290,0.0,445
DWE,85,0.0,68
DZ,86,0.0,75
DZW,85,0.0,75
EC,343,0.0,632
ED,243,0.0,433
EDC,245,0.0,455
EDN,385,0.0,636
EEM,93,0.0,74
