Station Code,distance_NWK,services_per_day_NWK,n_of_disruptions_NWK
AC,56,36.483870967741936,127
AH,99,0,158
AHP,100,0,415
AHPR,102,0,417
AHZ,107,0,415
AKL,63,0,260
AKM,205,0,462
ALM,90,0,171
ALMB,96,0,302
ALMM,89,0,170
ALMO,98,0,302
ALMP,92,0,302
AMF,62,0,158
AMFS,65,0,398
AML,159,0,464
AMPO,87,0,170
AMR,106,2.838709677419355,325
AMRI,161,0,534
AMRN,107,0,400
ANA,136,0,411
APD,105,0,398
APDM,106,0,433
APDO,108,0,433
APG,268,0,492
APN,27,0,108
ARN,138,0,164
ASA,74,36.483870967741936,158
ASB,70,36.483870967741936,158
ASD,80,36.483870967741936,158
ASDL,83,0,256
ASDM,76,36.483870967741936,195
ASDZ,76,0,161
ASHD,71,36.483870967741936,172
ASN,206,0,412
ASS,84,36.193548387096776,416
ASSP,77,0,209
ATN,151,0,452
AVAT,68,0,404
BD,65,0,128
BDE,213,0,345
BDG,35,0,189
BDM,249,0,481
BDPB,60,0,250
BET,111,0,274
BF,253,0,481
BGN,86,0,133
BHDV,52,0,258
BHV,50,0,158
BK,206,0,345
BKF,138,0,501
BKG,137,0,497
BKL,44,36.483870967741936,94
BL,190,0,417
BLL,74,0,283
BMN,121,0,418
BMR,143,0,450
BN,168,0,534
BNC,81,0,399
BNK,49,0,158
BNN,78,0,398
BNZ,83,0,415
BP,247,0,429
BR,171,0,325
BRD,26,0,143
BRN,65,0,182
BSD,74,0,282
BSK,21,0,85
BSKS,20,0,85
BSMZ,64,0,159
BTL,101,0,231
BV,84,0,303
BZL,118,0,164
CAS,94,2.838709677419355,322
CK,133,0,447
CL,59,0,186
CO,183,0,432
CPS,4,38.516129032258064,0
CVM,223,0,362
DA,170,0,534
DB,53,0,158
DDN,163,0,448
DDR,35,0,128
DDRS,38,0,245
DDZD,36,0,245
DEI,227,0,429
DID,118,0,415
DL,140,0,412
DLD,53,0,178
DLN,187,0,446
DMN,79,0,209
DMNZ,74,0,161
DN,143,0,297
DR,115,0,415
DRH,79,0,302
DRON,139,0,316
DRP,234,0,443
DT,29,0,128
DTC,129,0,435
DTCH,127,0,435
DTCP,28,0,128
DV,120,0,398
DVC,124,0,464
DVD,72,36.483870967741936,158
DVN,108,0,417
DVNK,45,0,206
DWE,240,0,429
DZ,272,0,510
DZW,271,0,510
EC,186,0,342
ED,82,0,158
EDC,84,0,180
EDN,228,0,346
EEM,279,0,509
EGH,222,0,361
EGHM,223,0,361
EHS,120,0,350
EHV,121,0,231
EKZ,141,0,509
EML,85,0,401
EMN,203,0,447
EMNZ,199,0,446
ES,176,0,500
ESK,172,0,500
EST,110,0,415
ETN,76,0,451
FN,240,0,429
FWD,237,0,429
GBG,176,0,432
GD,9,38.38709677419355,0
GDG,12,38.38709677419355,85
GDM,67,0,239
GDR,134,0,452
GERP,232,0,465
GK,253,0,480
GLN,202,0,344
GN,234,0,465
GND,49,0,248
GNN,238,0,480
GO,153,0,440
GP,127,0,293
GR,58,0,258
GS,123,0,164
GV,37,0,229
GVC,37,0,85
GVM,41,0,114
GVMW,36,0,229
GW,210,0,419
GZ,75,0,451
HAD,67,0,206
HB,213,0,375
HBZM,46,0,248
HD,89,0,401
HDB,170,0,419
HDE,110,0,398
HDG,233,0,429
HDR,148,0,420
HDRZ,147,0,420
HFD,66,0,206
HGL,168,0,481
HGLG,166,0,481
HGLO,170,0,500
HGV,176,0,412
HGZ,245,0,488
HIL,60,0,206
HK,87,0,321
HKS,133,0,493
HLG,249,0,430
HLGH,250,0,434
HLM,71,0,246
HLMS,72,0,283
HLO,101,2.838709677419355,325
HM,134,0,293
HMBH,135,0,297
HMBV,131,0,293
HMH,133,0,293
HMN,98,0,285
HN,123,0,437
HNK,124,0,493
HNO,140,0,412
HNP,265,0,432
HON,139,0,464
HOR,53,0,158
HR,194,0,412
HRL,217,0,344
HRLW,219,0,361
HRN,228,0,465
HRT,161,0,325
HT,89,0,158
HTN,49,0,158
HTNC,50,0,186
HTO,90,0,231
HVL,68,0,398
HVS,59,0,158
HVSM,60,0,159
HVSP,58,0,158
HWD,113,0,401
HWZB,79,0,283
HZE,132,0,299
IJT,248,0,430
KBD,105,0,164
KBK,114,0,434
KLP,75,0,158
KMA,95,36.193548387096776,322
KMR,225,0,361
KMW,270,0,437
KPN,143,0,412
KPNZ,143,0,412
KRD,225,0,372
KRG,112,0,164
KTR,91,0,282
KW,242,0,486
KZ,92,36.193548387096776,440
LAA,38,0,114
LC,140,0,433
LDL,41,0,189
LDM,70,0,278
LEDN,42,0,196
LG,220,0,361
LLS,114,0,302
LLZM,22,0,85
LP,260,0,492
LTN,88,0,415
LTV,158,0,435
LUT,202,0,344
LW,223,0,412
LWC,226,0,429
MAS,48,0,158
MDB,142,0,164
MES,225,0,346
MG,233,0,429
MMLH,128,0,436
MP,156,0,412
MRB,162,0,419
MRN,61,0,190
MT,219,0,344
MTH,243,0,488
MTN,222,0,346
MTR,220,0,346
MZ,142,0,304
NDB,65,0,159
NH,210,0,375
NKK,73,0,398
NM,118,0,415
NMD,123,0,436
NMGO,121,0,436
NMH,121,0,436
NML,117,0,429
NS,101,0,398
NSCH,278,0,495
NVD,160,0,412
NVP,61,0,206
NWK,0,0,0
O,108,0,231
OBD,119,0,411
ODB,66,0,250
ODZ,179,0,500
OMN,151,0,419
OP,95,0,285
OST,130,0,464
OT,94,0,464
OTB,95,0,180
OVN,73,0,283
OW,107,0,234
PMO,105,0,438
PMR,104,0,437
PMW,103,0,440
PT,80,0,401
RAI,75,0,161
RAT,146,0,412
RB,102,0,164
RD,272,0,496
RH,109,0,418
RHN,84,0,193
RL,145,0,435
RLB,22,0,137
RM,173,0,293
RS,96,0,234
RSD,73,0,128
RSN,146,0,464
RSW,34,0,229
RTA,5,38.516129032258064,56
RTB,16,0,128
RTD,15,38.516129032258064,58
RTN,10,38.516129032258064,58
RTST,20,0,137
RTZ,19,0,137
RV,184,0,342
RVS,116,0,252
SBK,205,0,374
SD,61,0,182
SDA,261,0,486
SDM,19,0,128
SDT,45,0,247
SDTB,42,0,247
SGL,229,0,360
SGN,127,0,411
SHL,71,0,206
SK,245,0,429
SKND,244,0,429
SM,178,0,342
SN,207,0,375
SOG,227,0,361
SPTN,78,0,301
SPTZ,76,0,301
SRN,191,0,371
SSH,50,0,206
ST,60,0,182
STD,198,0,342
STM,256,0,492
STV,274,0,437
STZ,59,0,182
SWD,245,0,480
SWK,170,0,462
TB,86,0,451
TBG,135,0,452
TBR,81,0,470
TBU,85,0,472
TG,178,0,378
TL,79,0,282
TPSW,77,0,282
TWL,115,0,433
UHM,269,0,496
UHZ,266,0,496
UST,261,0,495
UT,41,1.903225806451613,85
UTG,90,36.193548387096776,321
UTLN,45,0,158
UTLR,38,1.8709677419354838,108
UTO,44,0,158
UTT,36,1.8709677419354838,103
UTVR,42,0,158
UTZL,43,0,158
VB,34,0,85
VD,135,0,433
VDL,221,0,361
VDM,261,0,493
VEM,119,0,435
VG,93,0,231
VH,50,0,206
VHP,168,0,422
VK,230,0,361
VL,173,0,377
VLB,150,0,478
VNDC,76,0,192
VNDW,75,0,192
VP,105,0,418
VRY,157,0,479
VS,148,0,166
VSS,147,0,166
VST,47,0,117
VSV,142,0,452
VTN,34,1.8709677419354838,94
VZ,165,0,534
WAD,17,0,85
WADN,18,0,85
WADT,16,0,85
WC,123,0,255
WD,25,38.38709677419355,93
WDN,154,0,471
WF,91,0,180
WFM,258,0,495
WH,137,0,474
WK,261,0,432
WL,124,0,435
WM,96,36.193548387096776,440
WP,74,0,170
WR,288,0,504
WS,266,0,495
WSM,250,0,481
WT,149,0,293
WTV,104,0,417
WV,183,0,412
WW,163,0,471
WWW,164,0,471
WZ,119,0,411
YPB,30,0,85
ZA,101,0,285
ZB,253,0,489
ZBM,76,0,282
ZD,90,36.193548387096776,437
ZDK,93,0,440
ZH,246,0,480
ZL,128,0,398
ZLSH,133,0,412
ZLW,50,0,245
ZP,123,0,433
ZTM,25,0,85
ZTMO,24,0,85
ZV,113,0,415
ZVB,58,0,250
ZVT,79,0,284
ZWD,33,0,242
ZZS,93,36.193548387096776,440
