Station Code,Distance from O,Services from/to O,Disruptions on path to O
AC,91,0.0,106
AH,43,44.354838709677416,3
AHP,44,0.7096774193548387,260
AHPR,46,0.7096774193548387,260
AHZ,35,7.903225806451613,35
AKL,62,0.0,117
AKM,196,0.0,403
ALM,116,0.0,159
ALMB,122,0.0,290
ALMM,115,0.0,158
ALMO,124,0.0,290
ALMP,118,0.0,290
AMF,88,0.0,146
AMFS,91,0.0,386
AML,127,0.0,329
AMPO,113,0.0,158
AMR,145,0.0,431
AMRI,129,0.0,399
AMRN,146,0.0,506
ANA,175,0.0,517
APD,90,0.0,263
APDM,89,0.0,264
APDO,93,0.0,298
APG,259,0.0,433
APN,102,0.0,156
ARN,151,0.0,414
ASA,100,0.0,146
ASB,96,0.0,146
ASD,106,0.0,146
ASDL,113,0.0,404
ASDM,102,0.0,183
ASDZ,102,0.0,160
ASHD,95,0.0,233
ASN,197,0.0,353
ASS,110,0.0,404
ASSP,103,0.0,197
ATN,95,0.0,297
AVAT,94,0.0,392
BD,62,64.80645161290323,86
BDE,143,0.0,167
BDG,94,0.0,147
BDM,240,0.0,422
BDPB,67,27.483870967741936,409
BET,41,0.9032258064516128,73
BF,244,0.0,422
BGN,99,0.0,414
BHDV,73,0.0,137
BHV,76,0.0,146
BK,136,0.0,168
BKF,164,0.0,489
BKG,163,0.0,485
BKL,79,0.0,73
BL,181,0.0,353
BLL,128,0.0,441
BMN,65,0.7096774193548387,263
BMR,49,0.0,35
BN,122,0.0,330
BNC,75,0.0,283
BNK,73,0.0,197
BNN,78,0.0,299
BNZ,73,0.0,283
BP,238,0.0,370
BR,84,0.0,64
BRD,99,0.0,265
BRN,91,0.0,170
BSD,48,0.0,116
BSK,108,0.0,237
BSKS,109,0.0,260
BSMZ,90,0.0,147
BTL,31,0.9032258064516128,73
BV,135,0.0,425
BZL,131,0.0,445
CAS,133,0.0,428
CK,39,0.0,32
CL,49,0.0,116
CO,167,0.0,416
CPS,112,0.0,231
CVM,153,0.0,185
DA,138,0.0,399
DB,77,0.0,241
DDN,112,0.0,278
DDR,90,27.483870967741936,148
DDRS,87,0.0,148
DDZD,91,27.483870967741936,432
DEI,218,0.0,370
DID,62,0.0,260
DL,131,0.0,353
DLD,79,0.0,166
DLN,171,0.0,430
DMN,105,0.0,197
DMNZ,100,0.0,149
DN,73,0.9032258064516128,120
DR,59,34.774193548387096,260
DRH,133,0.0,442
DRON,151,0.0,353
DRP,225,0.0,384
DT,124,0.0,265
DTC,73,0.0,280
DTCH,71,0.0,280
DTCP,123,0.0,335
DV,88,31.61290322580645,263
DVC,92,0.0,329
DVD,98,0.0,146
DVN,52,0.0,262
DVNK,120,0.0,254
DWE,231,0.0,370
DZ,263,0.0,451
DZW,262,0.0,451
EC,116,0.0,165
ED,60,0.0,260
EDC,62,0.0,282
EDN,158,0.0,169
EEM,270,0.0,450
EGH,152,0.0,184
EGHM,153,0.0,184
EHS,50,0.9032258064516128,149
EHV,51,0.9032258064516128,73
EKZ,167,0.0,497
EML,111,0.0,386
EMN,187,0.0,431
EMNZ,183,0.0,430
ES,125,0.0,330
ESK,121,0.0,330
EST,32,7.903225806451613,21
ETN,73,36.54838709677419,409
FN,231,0.0,370
FWD,228,0.0,370
GBG,160,0.0,416
GD,99,0.0,146
GDG,96,0.0,146
GDM,41,0.0,73
GDR,78,0.0,297
GERP,223,0.0,406
GK,244,0.0,421
GLN,132,0.0,167
GN,225,0.0,406
GND,76,0.0,137
GNN,229,0.0,421
GO,102,0.0,270
GP,57,0.0,135
GR,67,0.0,135
GS,136,0.0,414
GV,128,0.0,231
GVC,127,0.0,149
GVM,128,0.0,339
GVMW,129,0.0,246
GW,201,0.0,410
GZ,52,28.483870967741936,88
HAD,129,0.0,425
HB,143,0.0,198
HBZM,79,0.0,147
HD,115,0.0,389
HDB,154,0.0,403
HDE,136,0.0,386
HDG,224,0.0,370
HDR,187,0.0,526
HDRZ,186,0.0,526
HFD,118,0.0,234
HGL,117,0.0,311
HGLG,115,0.0,311
HGLO,119,0.0,330
HGV,167,0.0,353
HGZ,236,0.0,429
HIL,135,0.0,254
HK,132,0.0,464
HKS,159,0.0,481
HLG,240,0.0,371
HLGH,241,0.0,375
HLM,125,0.0,404
HLMS,124,0.0,425
HLO,140,0.0,431
HM,64,0.9032258064516128,116
HMBH,65,0.9032258064516128,120
HMBV,61,0.9032258064516128,135
HMH,63,0.9032258064516128,135
HMN,46,0.0,35
HN,149,0.0,425
HNK,150,0.0,481
HNO,131,0.0,353
HNP,256,0.0,373
HON,107,0.0,263
HOR,79,0.0,146
HR,185,0.0,410
HRL,147,0.0,167
HRLW,149,0.0,184
HRN,219,0.0,406
HRT,91,0.0,148
HT,19,67.29032258064517,0
HTN,59,0.0,169
HTNC,58,0.0,169
HTO,18,29.806451612903224,0
HVL,88,0.0,300
HVS,85,0.0,146
HVSM,86,0.0,147
HVSP,84,0.0,146
HWD,152,0.0,507
HWZB,117,0.0,425
HZE,62,0.0,141
IJT,239,0.0,371
KBD,118,0.0,414
KBK,81,0.0,263
KLP,67,0.0,282
KMA,124,0.0,438
KMR,155,0.0,184
KMW,261,0.0,378
KPN,134,0.0,353
KPNZ,134,0.0,353
KRD,155,0.0,195
KRG,125,0.0,414
KTR,53,0.0,35
KW,233,0.0,427
KZ,118,0.0,428
LAA,128,0.0,178
LC,89,0.0,263
LDL,116,0.0,237
LDM,55,0.0,117
LEDN,117,0.0,244
LG,150,0.0,184
LLS,140,0.0,290
LLZM,112,0.0,231
LP,251,0.0,433
LTN,68,0.0,283
LTV,107,0.0,265
LUT,132,0.0,167
LW,214,0.0,353
LWC,217,0.0,370
MAS,74,0.0,146
MDB,155,0.0,441
MES,155,0.0,169
MG,224,0.0,370
MMLH,34,0.0,21
MP,147,0.0,353
MRB,146,0.0,400
MRN,85,0.0,273
MT,149,0.0,167
MTH,234,0.0,429
MTN,152,0.0,169
MTR,150,0.0,169
MZ,72,0.0,146
NDB,91,0.0,147
NH,140,0.0,198
NKK,99,0.0,386
NM,24,66.58064516129032,0
NMD,19,30.161290322580644,3
NMGO,21,30.161290322580644,4
NMH,27,0.0,21
NML,25,7.903225806451613,21
NS,127,0.0,386
NSCH,269,0.0,436
NVD,130,0.0,270
NVP,123,0.0,362
NWK,108,0.0,231
O,0,0.0,0
OBD,158,0.0,425
ODB,93,0.0,414
ODZ,128,0.0,330
OMN,142,0.0,360
OP,49,0.0,35
OST,98,31.61290322580645,329
OT,40,0.0,116
OTB,47,0.0,260
OVN,127,0.0,441
OW,1,29.806451612903224,0
PMO,131,0.0,404
PMR,130,0.0,425
PMW,129,0.0,428
PT,106,0.0,386
RAI,101,0.0,149
RAT,137,0.0,353
RB,115,0.0,445
RD,263,0.0,437
RH,53,0.7096774193548387,261
RHN,108,0.0,276
RL,94,0.0,265
RLB,103,0.0,364
RM,103,0.0,116
RS,12,29.83870967741936,0
RSD,86,36.54838709677419,409
RSN,114,0.0,263
RSW,129,0.0,366
RTA,113,0.0,231
RTB,109,0.0,265
RTD,110,0.0,265
RTN,115,0.0,335
RTST,105,0.0,265
RTZ,106,0.0,265
RV,98,0.0,136
RVS,8,30.161290322580644,0
SBK,135,0.0,197
SD,87,0.0,170
SDA,252,0.0,427
SDM,114,0.0,335
SDT,80,0.0,147
SDTB,83,0.0,148
SGL,159,0.0,183
SGN,166,0.0,517
SHL,113,0.0,160
SK,236,0.0,370
SKND,235,0.0,370
SM,104,0.0,150
SN,137,0.0,198
SOG,157,0.0,184
SPTN,132,0.0,441
SPTZ,130,0.0,441
SRN,121,0.0,194
SSH,125,0.0,254
ST,86,0.0,170
STD,128,0.0,165
STM,247,0.0,433
STV,265,0.0,378
STZ,85,0.0,170
SWD,236,0.0,421
SWK,161,0.0,403
TB,41,64.80645161290323,73
TBG,79,0.0,297
TBR,46,28.483870967741936,86
TBU,42,28.387096774193548,86
TG,91,0.0,117
TL,53,0.0,116
TPSW,51,0.0,116
TWL,93,0.0,329
UHM,260,0.0,437
UHZ,257,0.0,437
UST,252,0.0,436
UT,67,0.0,73
UTG,129,0.0,463
UTLN,63,0.0,197
UTLR,70,0.0,146
UTO,70,0.0,146
UTT,72,0.0,146
UTVR,66,0.0,197
UTZL,69,0.0,146
VB,124,0.0,231
VD,84,0.0,263
VDL,151,0.0,184
VDM,252,0.0,434
VEM,76,0.0,263
VG,23,0.9032258064516128,73
VH,125,0.0,254
VHP,140,0.0,400
VK,160,0.0,184
VL,86,0.0,116
VLB,56,0.0,63
VNDC,100,0.0,275
VNDW,99,0.0,275
VP,49,0.7096774193548387,261
VRY,63,0.0,64
VS,161,0.0,441
VSS,160,0.0,414
VST,122,0.0,339
VSV,86,0.0,297
VTN,74,0.0,151
VZ,133,0.0,399
WAD,107,0.0,231
WADN,108,0.0,231
WADT,106,0.0,231
WC,15,30.161290322580644,3
WD,83,0.0,146
WDN,122,0.0,270
WF,51,0.0,260
WFM,249,0.0,436
WH,105,31.61290322580645,339
WK,252,0.0,373
WL,68,0.0,280
WM,122,0.0,428
WP,100,0.0,158
WR,279,0.0,445
WS,257,0.0,436
WSM,241,0.0,422
WT,79,0.0,116
WTV,48,0.0,262
WV,174,0.0,353
WW,107,0.0,316
WWW,108,0.0,316
WZ,128,0.0,353
YPB,120,0.0,149
ZA,43,0.0,35
ZB,244,0.0,430
ZBM,32,0.0,73
ZD,116,0.0,425
ZDK,119,0.0,428
ZH,237,0.0,421
ZL,119,31.61290322580645,339
ZLSH,124,0.0,353
ZLW,77,27.483870967741936,427
ZP,72,34.774193548387096,263
ZTM,115,0.0,146
ZTMO,114,0.0,231
ZV,57,0.0,260
ZVB,85,0.0,432
ZVT,133,0.0,441
ZWD,92,0.0,265
ZZS,119,0.0,428
