Station Code,distance_ODZ,services_per_day_ODZ,n_of_disruptions_ODZ
AC,162,0,451
AH,85,0,70
AHP,84,0,74
AHPR,82,0,73
AHZ,93,0,327
AKL,162,0,388
AKM,147,0,165
ALM,151,0,126
ALMB,145,0,126
ALMM,152,0,257
ALMO,143,0,115
ALMP,149,0,131
AMF,117,0,102
AMFS,120,0,342
AML,25,0,19
AMPO,154,0,258
AMR,201,0,628
AMRI,23,0,20
AMRN,202,0,703
ANA,231,0,714
APD,74,0,67
APDM,73,0,68
APDO,76,0,155
APG,210,0,195
APN,173,0,352
ARN,279,0,814
ASA,159,0,346
ASB,159,0,346
ASD,162,0,343
ASDL,169,0,622
ASDM,158,0,361
ASDZ,161,0,346
ASHD,160,0,360
ASN,148,0,115
ASS,166,0,601
ASSP,157,0,361
ATN,113,0,81
AVAT,123,0,348
BD,190,0,455
BDE,229,0,529
BDG,165,0,343
BDM,191,0,184
BDPB,195,0,778
BET,169,0,485
BF,195,0,184
BGN,227,0,783
BHDV,173,0,408
BHV,129,0,346
BK,222,0,529
BKF,220,0,686
BKG,219,0,682
BKL,150,0,418
BL,132,0,120
BLL,184,0,638
BMN,63,0,67
BMR,129,0,362
BN,16,0,19
BNC,117,0,350
BNK,135,0,381
BNN,120,0,366
BNZ,115,0,350
BP,189,0,132
BR,164,0,391
BRD,199,0,538
BRN,126,0,342
BSD,148,0,387
BSK,179,0,433
BSKS,180,0,456
BSMZ,138,0,343
BTL,159,0,442
BV,191,0,661
BZL,259,0,814
CAS,189,0,625
CK,119,0,359
CL,149,0,387
CO,65,0,106
CPS,183,0,500
CVM,239,0,546
DA,36,0,89
DB,131,0,349
DDN,16,34.0,19
DDR,190,0,421
DDRS,187,0,419
DDZD,191,0,538
DEI,169,0,132
DID,102,0,79
DL,66,0,93
DLD,126,0,342
DLN,69,0,120
DMN,155,0,360
DMNZ,155,0,360
DN,192,0,443
DR,69,0,67
DRH,189,0,657
DRON,102,0,115
DRP,176,0,146
DT,207,0,515
DTC,113,0,99
DTCH,111,0,99
DTCP,207,0,570
DV,64,0,89
DVC,60,0,96
DVD,157,0,343
DVN,92,0,76
DVNK,191,0,450
DWE,182,0,132
DZ,214,0,213
DZW,213,0,213
EC,202,0,526
ED,102,0,327
EDC,104,0,349
EDN,244,0,530
EEM,221,0,212
EGH,238,0,545
EGHM,239,0,545
EHS,178,0,561
EHV,179,0,442
EKZ,223,0,694
EML,113,0,118
EMN,85,0,121
EMNZ,81,0,120
ES,19,0,19
ESK,15,0,19
