Station Code,Distance from OP,Services from/to OP,Disruptions on path to OP
AC,78,0.0,152
AH,28,28.032258064516128,14
AHP,29,0.0,271
AHPR,31,0.0,271
AHZ,20,0.0,14
AKL,49,0.0,47
AKM,181,0.0,414
ALM,103,0.0,132
ALMB,109,0.0,263
ALMM,102,0.0,131
ALMO,111,0.0,263
ALMP,105,0.0,263
AMF,75,0.0,119
AMFS,78,0.0,359
AML,112,0.0,340
AMPO,100,0.0,131
AMR,132,0.0,404
AMRI,114,0.0,410
AMRN,133,0.0,479
ANA,162,0.0,490
APD,75,0.0,274
APDM,74,0.0,275
APDO,78,0.0,309
APG,244,0.0,444
APN,89,0.0,129
ARN,180,0.0,200
ASA,87,0.0,119
ASB,83,0.0,46
ASD,93,0.0,119
ASDL,100,0.0,377
ASDM,89,0.0,156
ASDZ,89,0.0,60
ASHD,82,0.0,279
ASN,182,0.0,364
ASS,97,0.0,377
ASSP,90,0.0,170
ATN,80,0.0,308
AVAT,81,0.0,365
BD,93,0.0,132
BDE,150,0.0,215
BDG,81,0.0,120
BDM,225,0.0,433
BDPB,98,0.0,455
BET,72,0.0,119
BF,229,0.0,433
BGN,128,0.0,199
BHDV,60,0.0,67
BHV,63,0.0,119
BK,143,0.0,216
BKF,151,0.0,462
BKG,150,0.0,458
BKL,66,0.0,119
BL,166,0.0,364
BLL,115,0.0,414
BMN,50,0.0,274
BMR,50,0.0,49
BN,107,0.0,341
BNC,60,0.0,294
BNK,60,0.0,127
BNN,63,0.0,310
BNZ,58,0.0,294
BP,223,0.0,381
BR,85,0.0,78
BRD,86,0.0,195
BRN,78,0.0,143
BSD,35,0.0,46
BSK,95,0.0,210
BSKS,96,0.0,233
BSMZ,77,0.0,120
BTL,62,0.0,119
BV,122,0.0,398
BZL,160,0.0,230
CAS,120,0.0,401
CK,40,0.0,46
CL,36,0.0,46
CO,152,0.0,427
CPS,99,0.0,204
CVM,160,0.0,233
DA,123,0.0,410
DB,64,0.0,171
DDN,97,0.0,289
DDR,77,0.0,78
DDRS,74,0.0,78
DDZD,78,0.0,195
DEI,203,0.0,381
DID,47,0.0,271
DL,116,0.0,364
DLD,66,0.0,139
DLN,156,0.0,441
DMN,92,0.0,170
DMNZ,87,0.0,122
DN,104,0.0,166
DR,44,0.0,271
DRH,120,0.0,415
DRON,136,0.0,364
DRP,210,0.0,395
DT,111,0.0,195
DTC,58,0.0,291
DTCH,56,0.0,291
DTCP,110,0.0,265
DV,73,0.0,274
DVC,77,0.0,340
DVD,85,0.0,119
DVN,37,0.0,273
DVNK,107,0.0,227
DWE,216,0.0,381
DZ,248,0.0,462
DZW,247,0.0,462
EC,123,0.0,213
ED,45,0.0,271
EDC,47,0.0,293
EDN,165,0.0,217
EEM,255,0.0,461
EGH,159,0.0,232
EGHM,160,0.0,232
EHS,81,0.0,195
EHV,82,0.0,119
EKZ,154,0.0,470
EML,98,0.0,359
EMN,172,0.0,442
EMNZ,168,0.0,441
ES,110,0.0,341
ESK,106,0.0,341
EST,17,28.032258064516128,0
ETN,104,0.0,455
FN,216,0.0,381
FWD,213,0.0,381
GBG,145,0.0,427
GD,86,0.0,119
GDG,83,0.0,119
GDM,28,0.0,3
GDR,63,0.0,308
GERP,208,0.0,417
GK,229,0.0,432
GLN,139,0.0,215
GN,210,0.0,417
GND,63,0.0,67
GNN,214,0.0,432
GO,87,0.0,281
GP,88,0.0,181
GR,54,0.0,65
GS,165,0.0,200
GV,115,0.0,204
GVC,114,0.0,122
GVM,115,0.0,312
GVMW,116,0.0,219
GW,186,0.0,421
GZ,83,0.0,134
HAD,116,0.0,398
HB,150,0.0,246
HBZM,66,0.0,77
HD,102,0.0,362
HDB,139,0.0,414
HDE,122,0.0,364
HDG,209,0.0,381
HDR,174,0.0,499
HDRZ,173,0.0,499
HFD,105,0.0,134
HGL,102,0.0,322
HGLG,100,0.0,322
HGLO,104,0.0,341
HGV,152,0.0,364
HGZ,221,0.0,440
HIL,122,0.0,227
HK,119,0.0,437
HKS,146,0.0,454
HLG,225,0.0,382
HLGH,226,0.0,386
HLM,112,0.0,377
HLMS,111,0.0,398
HLO,127,0.0,404
HM,95,0.0,162
HMBH,96,0.0,166
HMBV,92,0.0,181
HMH,94,0.0,181
HMN,3,28.032258064516128,0
HN,136,0.0,398
HNK,137,0.0,454
HNO,116,0.0,364
HNP,241,0.0,384
HON,92,0.0,274
HOR,66,0.0,119
HR,170,0.0,421
HRL,154,0.0,215
HRLW,156,0.0,232
HRN,204,0.0,417
HRT,95,0.0,130
HT,50,0.0,46
HTN,46,0.0,99
HTNC,45,0.0,99
HTO,51,0.0,119
HVL,73,0.0,311
HVS,72,0.0,119
HVSM,73,0.0,120
HVSP,71,0.0,119
HWD,139,0.0,480
HWZB,104,0.0,398
HZE,93,0.0,187
IJT,224,0.0,382
KBD,147,0.0,200
KBK,66,0.0,274
KLP,52,0.0,293
KMA,111,0.0,411
KMR,162,0.0,232
KMW,246,0.0,389
KPN,119,0.0,364
KPNZ,119,0.0,364
KRD,162,0.0,243
KRG,154,0.0,200
KTR,4,28.032258064516128,0
KW,218,0.0,438
KZ,105,0.0,401
LAA,115,0.0,151
LC,74,0.0,274
LDL,103,0.0,210
LDM,42,0.0,47
LEDN,104,0.0,217
LG,157,0.0,232
LLS,127,0.0,263
LLZM,99,0.0,204
LP,236,0.0,444
LTN,53,0.0,294
LTV,92,0.0,276
LUT,139,0.0,215
LW,199,0.0,364
LWC,202,0.0,381
MAS,61,0.0,119
MDB,184,0.0,227
MES,162,0.0,217
MG,209,0.0,381
MMLH,35,0.0,35
MP,132,0.0,364
MRB,131,0.0,411
MRN,72,0.0,203
MT,156,0.0,215
MTH,219,0.0,440
MTN,159,0.0,217
MTR,157,0.0,217
MZ,103,0.0,192
NDB,78,0.0,120
NH,147,0.0,246
NKK,86,0.0,359
NM,25,0.0,14
NMD,30,0.0,35
NMGO,28,0.0,35
NMH,28,0.0,35
NML,24,0.0,14
NS,114,0.0,359
NSCH,254,0.0,447
NVD,115,0.0,281
NVP,110,0.0,262
NWK,95,0.0,204
O,49,0.0,35
OBD,145,0.0,398
ODB,108,0.0,200
ODZ,113,0.0,341
