Station Code,Distance from PMR,Services from/to PMR,Disruptions on path to PMR
AC,39,0.0,293
AH,120,0.0,573
AHP,121,0.0,830
AHPR,123,0.0,830
AHZ,128,0.0,830
AKL,110,0.0,396
AKM,212,0.0,343
ALM,54,0.0,279
ALMB,60,0.0,410
ALMM,53,0.0,286
ALMO,62,0.0,410
ALMP,56,0.0,410
AMF,69,0.0,293
AMFS,72,0.0,533
AML,166,0.0,599
AMPO,51,0.0,286
AMR,43,0.0,8
AMRI,168,0.0,669
AMRN,42,0.0,66
ANA,59,0.0,66
APD,112,0.0,533
APDM,113,0.0,568
APDO,115,0.0,568
APG,275,0.0,373
APN,79,0.0,38
ARN,225,0.0,146
ASA,30,1.2903225806451613,279
ASB,34,1.2903225806451613,279
ASD,24,1.967741935483871,21
ASDL,23,25.35483870967742,21
ASDM,28,0.0,279
ASDZ,36,0.0,279
ASHD,35,0.0,293
ASN,213,0.0,293
ASS,20,31.90322580645161,0
ASSP,29,0.0,279
ATN,172,0.0,867
AVAT,75,0.0,539
BD,152,0.0,141
BDE,235,0.0,541
BDG,81,0.0,280
BDM,256,0.0,362
BDPB,147,0.0,263
BET,133,0.0,352
BF,260,0.0,362
BGN,173,0.0,262
BHDV,121,0.0,416
BHV,72,0.0,352
BK,228,0.0,542
BKF,34,2.4516129032258065,64
BKG,33,2.4516129032258065,60
BKL,51,0.0,420
BL,197,0.0,293
BLL,38,0.0,58
BMN,137,0.0,568
BMR,164,0.0,608
BN,175,0.0,669
BNC,88,0.0,534
BNK,71,0.0,352
BNN,85,0.0,533
BNZ,90,0.0,550
BP,254,0.0,550
BR,193,0.0,522
BRD,113,0.0,147
BRN,60,0.0,280
BSD,96,0.0,395
BSK,85,0.0,119
BSKS,86,0.0,142
BSMZ,48,0.0,297
BTL,123,0.0,425
BV,33,0.0,5
BZL,205,0.0,293
CAS,31,0.0,5
CK,154,0.0,605
CL,81,0.0,380
CO,190,0.0,313
CPS,99,0.0,365
CVM,234,0.0,57
DA,177,0.0,303
DB,75,0.0,352
DDN,170,0.0,583
DDR,122,0.0,141
DDRS,125,0.0,258
DDZD,123,0.0,258
DEI,234,0.0,550
DID,139,0.0,830
DL,147,0.0,293
DLD,72,0.0,294
DLN,194,0.0,327
DMN,31,0.0,279
DMNZ,34,0.0,319
DN,165,0.0,494
DR,136,0.0,830
DRH,38,0.0,23
DRON,103,0.0,424
DRP,241,0.0,564
DT,88,0.0,39
DTC,150,0.0,850
DTCH,148,0.0,850
DTCP,89,0.0,140
DV,127,0.0,533
DVC,131,0.0,568
DVD,32,0.0,316
DVN,129,0.0,832
DVNK,67,19.12903225806452,21
DWE,247,0.0,550
DZ,279,0.0,391
DZW,278,0.0,391
EC,208,0.0,539
ED,103,0.0,551
EDC,101,0.0,550
EDN,250,0.0,543
EEM,286,0.0,390
EGH,233,0.0,56
EGHM,234,0.0,56
EHS,142,0.0,428
EHV,143,1.2903225806451613,428
EKZ,37,2.4516129032258065,72
EML,92,0.0,533
EMN,210,0.0,328
EMNZ,206,0.0,327
ES,183,0.0,635
ESK,179,0.0,635
EST,131,0.0,830
ETN,163,0.0,464
FN,247,0.0,550
FWD,244,0.0,550
GBG,183,0.0,313
GD,86,0.0,280
GDG,83,0.0,280
GDM,89,0.0,352
GDR,155,0.0,867
GERP,239,0.0,346
GK,260,0.0,361
GLN,224,0.0,541
GN,241,0.0,346
GND,124,0.0,416
GNN,245,0.0,361
GO,160,0.0,575
GP,149,0.0,490
GR,115,0.0,414
GS,210,0.0,146
GV,80,0.0,24
GVC,79,19.12903225806452,24
GVM,75,19.12903225806452,21
GVMW,81,0.0,39
GW,217,0.0,350
GZ,144,0.0,440
HAD,39,0.0,21
HB,232,0.0,56
HBZM,127,0.0,426
HD,96,0.0,536
HDB,177,0.0,300
HDE,117,0.0,533
HDG,240,0.0,550
HDR,71,0.0,75
HDRZ,70,0.0,75
HFD,40,25.35483870967742,71
HGL,175,0.0,616
HGLG,173,0.0,616
HGLO,177,0.0,635
HGV,183,0.0,293
HGZ,252,0.0,369
HIL,46,0.0,21
HK,30,0.0,41
HKS,29,2.4516129032258065,56
HLG,256,0.0,551
HLGH,257,0.0,555
HLM,35,0.0,21
HLMS,34,0.0,21
HLO,38,0.0,8
HM,156,0.0,490
HMBH,157,0.0,494
HMBV,153,0.0,490
HMH,155,0.0,490
HMN,120,0.0,398
HN,19,32.67741935483871,0
HNK,20,23.225806451612904,56
HNO,147,0.0,293
HNP,272,0.0,553
HON,146,0.0,568
HOR,59,0.0,279
HR,201,0.0,350
HRL,228,0.0,39
HRLW,230,0.0,56
HRN,235,0.0,346
HRT,183,0.0,522
HT,111,1.2903225806451613,352
HTN,71,0.0,352
HTNC,72,0.0,380
HTO,112,0.0,425
HVL,75,0.0,533
HVS,53,0.0,279
HVSM,52,0.0,330
HVSP,54,0.0,280
HWD,36,0.0,56
HWZB,27,0.0,21
HZE,154,0.0,496
IJT,255,0.0,551
KBD,192,0.0,146
KBK,121,0.0,569
KLP,97,0.0,352
KMA,22,0.0,15
KMR,236,0.0,56
KMW,277,0.0,558
KPN,150,0.0,5
KPNZ,120,0.0,425
KRD,236,0.0,67
KRG,199,0.0,146
KTR,113,0.0,395
KW,249,0.0,367
KZ,16,0.0,5
LAA,78,19.12903225806452,24
LC,147,0.0,568
LDL,65,0.0,31
LDM,103,0.0,396
LEDN,64,19.12903225806452,21
LG,231,0.0,56
LLS,78,0.0,410
LLZM,94,0.0,53
LP,267,0.0,373
LTN,95,0.0,550
LTV,165,0.0,570
LUT,224,0.0,541
LW,230,0.0,533
LWC,233,0.0,550
MAS,56,0.0,293
MDB,229,0.0,173
MES,247,0.0,543
MG,240,0.0,550
MMLH,149,0.0,594
MP,163,0.0,293
MRB,169,0.0,300
MRN,83,0.0,384
MT,241,1.2903225806451613,541
MTH,250,0.0,369
MTN,244,0.0,543
MTR,242,0.0,543
MZ,164,0.0,501
NDB,47,0.0,286
NH,232,0.0,572
NKK,80,0.0,533
NM,139,0.0,573
NMD,144,0.0,594
NMGO,142,0.0,594
NMH,142,0.0,594
NML,138,0.0,844
NS,108,0.0,533
NSCH,285,0.0,376
NVD,167,0.0,302
NVP,45,19.12903225806452,71
NWK,95,0.0,365
O,130,0.0,425
OBD,30,0.0,56
ODB,153,0.0,263
ODZ,186,0.0,635
OMN,158,0.0,300
OP,117,0.0,398
OST,137,0.0,599
OT,132,0.0,468
OTB,116,0.0,573
OVN,37,0.0,58
OW,129,0.0,425
PMO,1,31.967741935483872,0
PMR,0,0.0,0
PMW,1,31.548387096774192,0
PT,87,0.0,533
RAI,35,0.0,319
RAT,153,0.0,293
RB,189,0.0,263
RD,279,0.0,377
RH,130,0.0,831
RHN,106,0.0,387
RL,152,0.0,570
RLB,109,0.0,141
RM,195,1.2903225806451613,490
RS,118,0.0,425
RSD,160,0.0,141
RSN,153,0.0,568
RSW,83,0.0,39
RTA,100,0.0,365
RTB,103,0.0,141
RTD,102,0.0,71
RTN,105,0.0,367
RTST,107,0.0,141
RTZ,106,0.0,141
RV,206,0.0,539
RVS,138,0.0,446
SBK,227,0.0,571
SD,64,0.0,294
SDA,268,0.0,367
SDM,98,0.0,140
SDT,128,0.0,426
SDTB,129,0.0,258
SGL,244,0.0,56
SGN,50,0.0,66
SHL,35,25.35483870967742,21
SK,252,0.0,550
SKND,251,0.0,550
SM,200,0.0,539
SN,229,0.0,572
SOG,238,0.0,56
SPTN,39,0.0,24
SPTZ,40,0.0,58
SRN,213,0.0,568
SSH,56,19.12903225806452,71
ST,65,0.0,294
STD,220,1.2903225806451613,539
STM,263,0.0,373
STV,281,0.0,558
STZ,66,0.0,294
SWD,252,0.0,361
SWK,177,0.0,343
TB,133,0.0,425
TBG,156,0.0,867
TBR,138,0.0,438
TBU,134,0.0,438
TG,200,0.0,491
TL,101,0.0,395
TPSW,99,0.0,395
TWL,122,0.0,568
UHM,276,0.0,377
UHZ,273,0.0,377
UST,268,0.0,376
UT,63,1.2903225806451613,279
UTG,27,0.0,40
UTLN,67,0.0,352
