station,distance,services_per_day,n_of_disruptions
AC,38,0,296
AH,119,0,563
AHP,120,0,820
AHPR,122,0,822
AHZ,127,0,820
AKL,109,0,480
AKM,211,0,434
ALM,53,0,282
ALMB,59,0,413
ALMM,52,0,303
ALMO,61,0,413
ALMP,55,0,413
AMF,68,0,283
AMFS,71,0,523
AML,165,0,589
AMPO,50,0,303
AMR,42,0,6
AMRI,167,0,659
AMRN,43,0,81
ANA,60,0,67
APD,111,0,523
APDM,112,0,558
APDO,114,0,558
APG,274,0,512
APN,78,0,91
ARN,224,0,180
ASA,29,1.2903225806451613,282
ASB,33,1.2903225806451613,282
ASD,23,1.6129032258064515,24
ASDL,22,25.35483870967742,24
ASDM,27,0,282
ASDZ,35,0,282
ASHD,34,0,296
ASN,212,0,432
ASS,19,31.548387096774192,3
ASSP,28,0,296
ATN,171,0,857
AVAT,74,0,529
BD,151,0,144
BDE,234,0,542
BDG,86,0,172
BDM,255,0,501
BDPB,146,0,266
BET,132,0,471
BF,259,0,501
BGN,172,0,149
BHDV,120,0,500
BHV,71,0,355
BK,227,0,542
BKF,35,1.7419354838709677,65
BKG,34,1.7419354838709677,61
BKL,60,0,299
BL,196,0,432
BLL,37,0,61
BMN,136,0,558
BMR,163,0,855
BN,174,0,659
BNC,87,0,524
BNK,70,0,355
BNN,84,0,523
BNZ,89,0,540
BP,253,0,444
BR,192,0,522
BRD,112,0,159
BRN,59,0,283
BSD,95,0,479
BSK,84,0,172
BSKS,85,0,195
BSMZ,47,0,314
BTL,122,0,428
BV,32,0,39
BZL,204,0,180
CAS,30,0,3
CK,153,0,852
CL,80,0,383
CO,189,0,461
CPS,107,0,440
CVM,244,0,559
DA,176,0,659
DB,74,0,355
DDN,169,0,573
DDR,121,0,144
DDRS,124,0,261
DDZD,122,0,261
DEI,233,0,444
DID,138,0,820
DL,146,0,441
DLD,71,0,297
DLN,193,0,475
DMN,30,0,296
DMNZ,33,0,322
DN,164,0,494
DR,135,0,820
DRH,37,0,57
DRON,102,0,427
DRP,240,0,458
DT,87,0,118
DTC,149,0,840
DTCH,147,0,840
DTCP,88,0,219
DV,126,0,523
DVC,130,0,589
DVD,31,0,319
DVN,128,0,822
DVNK,66,19.129032258064516,84
DWE,246,0,444
DZ,278,0,530
DZW,277,0,530
EC,207,0,539
ED,102,0,541
EDC,100,0,540
EDN,249,0,543
EEM,285,0,529
EGH,243,0,558
EGHM,244,0,558
EHS,141,0,547
EHV,142,1.2903225806451613,428
EKZ,38,1.7419354838709677,73
EML,91,0,526
EMN,209,0,476
