Station Code,Distance from PT,Services from/to PT,Disruptions on path to PT
AC,63,0.0,346
AH,69,0.0,280
AHP,70,0.0,537
AHPR,72,0.0,537
AHZ,77,0.0,537
AKL,86,0.0,357
AKM,125,0.0,64
ALM,65,0.0,253
ALMB,71,0.0,384
ALMM,64,0.0,252
ALMO,73,0.0,384
ALMP,67,0.0,384
AMF,18,35.903225806451616,0
AMFS,15,35.83870967741935,11
AML,93,0.0,35
AMPO,62,0.0,252
AMR,102,0.0,539
AMRI,95,0.0,105
AMRN,103,0.0,614
ANA,132,0.0,625
APD,61,0.0,240
APDM,62,0.0,275
APDO,64,0.0,275
APG,188,0.0,94
APN,74,0.0,250
ARN,217,0.0,510
ASA,60,0.0,244
ASB,60,0.0,244
ASD,63,0.0,254
ASDL,70,0.0,512
ASDM,59,0.0,240
ASDZ,62,0.0,241
ASHD,61,0.0,258
ASN,126,0.032258064516129,14
ASS,67,0.0,512
ASSP,58,0.0,259
ATN,121,0.0,574
AVAT,12,35.83870967741935,3
BD,130,0.0,399
BDE,211,0.0,502
BDG,66,0.0,241
BDM,169,0.0,83
BDPB,135,0.0,722
BET,109,0.0,313
BF,173,0.0,83
BGN,165,0.0,509
BHDV,97,0.0,377
BHV,30,35.483870967741936,244
BK,204,0.0,503
BKF,121,0.0,597
BKG,120,0.0,593
BKL,51,0.0,313
BL,110,0.0,14
BLL,85,0.0,549
BMN,86,0.0,275
BMR,113,0.0,315
BN,102,0.0,105
BNC,37,0.0,241
BNK,47,0.0,313
BNN,34,0.0,240
BNZ,39,0.0,257
BP,167,0.0,31
BR,148,0.0,344
BRD,106,0.0,474
BRN,27,0.0,240
BSD,72,0.0,356
BSK,80,0.0,331
BSKS,81,0.0,354
BSMZ,39,0.0,241
BTL,99,0.0,386
BV,92,0.0,533
BZL,197,0.0,540
CAS,90,0.0,536
CK,103,0.0,312
CL,57,0.0,341
CO,103,0.0,34
CPS,84,0.0,398
CVM,221,0.0,520
DA,90,0.0,24
DB,51,0.0,313
DDN,112,0.0,124
DDR,114,0.0,388
DDRS,111,0.0,388
DDZD,115,0.0,505
DEI,147,0.0,31
DID,88,0.0,537
DL,60,0.0,14
DLD,27,35.483870967741936,240
DLN,107,0.0,48
DMN,56,0.0,258
DMNZ,56,0.0,241
DN,141,0.0,455
DR,85,0.0,537
DRH,90,0.0,550
DRON,80,0.0,14
DRP,154,0.0,45
DT,108,0.0,413
DTC,99,0.0,557
DTCH,97,0.0,557
DTCP,108,0.0,468
DV,76,0.0,240
DVC,80,0.0,275
DVD,58,0.0,241
DVN,78,0.0,539
DVNK,92,0.0,348
DWE,160,0.0,31
DZ,192,0.0,112
DZW,191,0.0,112
EC,184,0.0,500
ED,52,0.0,258
EDC,50,0.0,257
EDN,226,0.0,504
EEM,199,0.0,111
EGH,220,0.0,519
EGHM,221,0.0,519
EHS,118,0.0,389
EHV,119,0.0,389
EKZ,124,0.0,605
EML,5,36.67741935483871,0
EMN,123,0.0,49
EMNZ,119,0.0,48
ES,115,0.0,124
ESK,111,0.0,124
EST,80,0.0,537
ETN,141,0.0,722
FN,160,0.0,31
FWD,157,0.0,31
GBG,96,0.0,34
GD,71,0.032258064516129,313
GDG,68,0.0,313
GDM,65,0.0,313
GDR,104,0.0,574
GERP,152,0.0,67
GK,173,0.0,82
GLN,200,0.0,502
GN,154,0.032258064516129,67
GND,100,0.0,377
GNN,158,0.0,82
GO,109,0.0,282
GP,125,0.0,451
GR,91,0.0,375
GS,202,0.0,510
GV,100,0.0,398
GVC,99,0.0,316
