Station Code,Distance from RAT,Services from/to RAT,Disruptions on path to RAT
AC,129,0.0,360
AH,94,0.0,93
AHP,93,0.0,97
AHPR,91,0.0,96
AHZ,102,0.0,350
AKL,152,0.0,371
AKM,95,0.0,64
ALM,99,0.0,25
ALMB,93,0.0,25
ALMM,100,0.0,156
ALMO,91,0.0,14
ALMP,97,0.0,30
AMF,84,0.0,14
AMFS,81,0.0,14
AML,27,47.096774193548384,12
AMPO,102,0.0,157
AMR,168,0.0,299
AMRI,29,37.83870967741935,82
AMRN,169,0.0,374
ANA,198,0.0,385
APD,64,0.0,14
APDM,65,0.0,49
APDO,61,0.0,90
APG,158,0.0,94
APN,140,0.0,264
ARN,283,0.0,524
ASA,126,0.0,18
ASB,126,0.0,18
ASD,129,0.0,14
ASDL,136,0.0,272
ASDM,125,0.0,254
ASDZ,128,0.0,15
ASHD,127,0.0,32
ASN,96,0.0,14
ASS,133,0.0,272
ASSP,124,0.0,33
ATN,122,0.0,104
AVAT,78,0.0,20
BD,196,0.0,413
BDE,238,0.0,551
BDG,132,0.0,255
BDM,139,0.0,83
BDPB,201,0.0,736
BET,175,0.0,327
BF,143,0.0,83
BGN,231,0.0,523
BHDV,163,0.0,391
BHV,96,0.0,258
BK,231,0.0,552
BKF,187,0.0,357
BKG,186,0.0,353
BKL,117,0.0,327
BL,80,0.0,14
BLL,151,0.0,309
BMN,72,0.0,90
BMR,138,0.0,385
BN,36,37.83870967741935,82
BNC,103,0.0,255
BNK,113,0.0,327
BNN,100,0.0,254
BNZ,105,0.0,271
BP,137,0.0,31
BR,173,0.0,414
BRD,172,0.0,488
BRN,93,0.0,254
BSD,138,0.0,370
BSK,146,0.0,345
BSKS,147,0.0,368
BSMZ,105,0.0,15
BTL,165,0.0,400
BV,158,0.0,293
BZL,263,0.0,554
CAS,156,0.0,296
CK,128,0.0,382
CL,123,0.0,355
CO,67,0.0,99
CPS,150,0.0,412
CVM,248,0.0,569
DA,38,0.0,82
DB,117,0.0,327
DDN,46,0.0,101
DDR,180,0.0,402
DDRS,177,0.0,402
DDZD,181,0.0,519
DEI,117,0.0,31
DID,111,0.0,102
DL,30,0.0,14
DLD,93,0.0,254
DLN,71,0.0,113
DMN,122,0.0,32
DMNZ,122,0.0,15
DN,201,0.0,466
