Station Code,Distance from RB,Services from/to RB,Disruptions on path to RB
AC,158,0.0,311
AH,158,0.0,469
AHP,159,0.0,726
AHPR,161,0.0,726
AHZ,150,0.0,501
AKL,95,0.0,135
AKM,306,0.0,574
ALM,190,0.0,294
ALMB,196,0.0,425
ALMM,189,0.0,444
ALMO,198,0.0,425
ALMP,192,0.0,425
AMF,163,0.0,270
AMFS,166,0.0,510
AML,242,0.0,795
AMPO,187,0.0,444
AMR,189,0.0,288
AMRI,244,0.0,865
AMRN,190,0.0,363
ANA,219,0.0,374
APD,205,0.0,729
APDM,204,0.0,730
APDO,208,0.0,764
APG,369,0.0,604
APN,129,0.0,300
ARN,36,34.03225806451613,0
ASA,167,0.0,291
ASB,163,0.0,277
ASD,173,17.419354838709676,267
ASDL,166,0.0,317
ASDM,169,0.0,291
ASDZ,165,0.0,317
ASHD,162,0.0,438
ASN,307,0.0,524
ASS,169,17.419354838709676,248
ASSP,170,0.0,305
ATN,210,0.0,763
AVAT,169,0.0,516
BD,53,0.0,36
BDE,203,0.0,472
BDG,137,0.0,381
BDM,350,0.0,593
BDPB,58,0.0,359
BET,101,0.0,415
BF,354,0.0,593
BGN,16,39.58064516129032,0
BHDV,84,0.0,133
BHV,151,0.0,270
BK,196,0.0,473
BKF,223,0.0,333
BKG,222,0.0,329
BKL,146,0.0,278
BL,291,0.0,524
BLL,157,0.0,248
BMN,180,0.0,729
BMR,164,0.0,501
BN,237,0.0,796
BNC,182,0.0,511
BNK,148,0.0,278
BNN,179,0.0,510
BNZ,184,0.0,527
BP,348,0.0,527
BR,161,0.0,453
BRD,76,0.0,122
BRN,166,0.0,294
BSD,109,0.0,153
BSK,123,0.0,277
BSKS,122,0.0,277
BSMZ,165,0.0,271
BTL,91,0.0,372
BV,167,0.0,250
BZL,16,33.903225806451616,0
CAS,177,0.0,285
CK,154,0.0,498
CL,124,0.0,197
CO,282,0.0,882
CPS,98,0.0,194
CVM,213,0.0,490
DA,253,0.0,865
DB,152,0.0,322
DDN,227,0.0,744
DDR,67,21.677419354838708,5
DDRS,70,0.0,122
DDZD,66,0.064516129032258,5
DEI,328,0.0,527
DID,177,0.0,726
DL,241,0.0,524
DLD,154,0.0,290
DLN,286,0.0,896
DMN,172,0.0,305
DMNZ,167,0.0,294
DN,133,0.0,425
DR,174,0.0,726
DRH,162,0.0,249
DRON,239,0.0,439
DRP,335,0.0,541
DT,101,21.64516129032258,122
DTC,188,0.0,746
DTCH,186,0.0,746
DTCP,100,0.0,192
DV,203,0.0,729
DVC,207,0.0,795
DVD,165,0.0,291
DVN,167,0.0,728
DVNK,122,0.0,241
DWE,341,0.0,527
DZ,373,0.0,622
DZW,372,0.0,622
EC,176,0.0,470
ED,175,0.0,726
EDC,177,0.0,748
EDN,218,0.0,474
EEM,380,0.0,621
EGH,212,0.0,489
EGHM,213,0.0,489
EHS,110,0.0,491
EHV,111,0.0,359
EKZ,226,0.0,341
EML,186,0.0,510
EMN,302,0.0,897
EMNZ,298,0.0,896
ES,240,0.0,796
ESK,236,0.0,796
EST,147,0.0,487
ETN,42,0.0,36
FN,341,0.0,527
FWD,338,0.0,527
GBG,275,0.0,882
GD,111,0.0,192
GDG,114,0.0,277
GDM,116,0.0,154
GDR,193,0.0,763
GERP,333,0.0,577
GK,354,0.0,592
GLN,192,0.0,472
GN,335,0.0,577
GND,81,0.0,123
GNN,339,0.0,592
GO,217,0.0,736
GP,117,0.0,421
GR,90,0.0,133
GS,21,41.064516129032256,0
GV,109,19.451612903225808,223
GVC,110,0.0,238
GVM,114,0.0,238
GVMW,108,0.0,223
GW,311,0.0,581
GZ,63,0.0,359
HAD,150,17.419354838709676,248
HB,203,0.0,503
HBZM,78,0.0,123
HD,190,0.0,513
HDB,269,0.0,869
HDE,211,0.0,510
HDG,334,0.0,527
HDR,231,0.0,383
HDRZ,230,0.0,383
HFD,149,0.0,238
HGL,232,0.0,777
HGLG,230,0.0,777
HGLO,234,0.0,796
HGV,277,0.0,524
HGZ,346,0.0,600
HIL,143,0.0,248
HK,170,0.0,268
HKS,218,0.0,325
HLG,350,0.0,528
HLGH,351,0.0,532
HLM,154,17.419354838709676,248
HLMS,155,0.0,248
HLO,184,0.0,268
HM,124,0.0,421
HMBH,125,0.0,425
HMBV,121,0.0,421
HMH,123,0.0,421
HMN,147,0.0,200
HN,208,0.0,269
HNK,209,0.0,325
HNO,241,0.0,524
HNP,366,0.0,530
HON,222,0.0,729
HOR,154,0.0,270
HR,295,0.0,581
HRL,207,0.0,472
